pathogen,comparison,spearman_rho,p_value
SARS-CoV-2,ESM-LLR vs E*rare,-0.1226,1.3e-05
SARS-CoV-2,ESM-LLR vs P*E*rare,-0.1208,1.7e-05
SARS-CoV-2,ESM-LLR vs minority_E,-0.1632,0.0
SARS-CoV-2,ESM-LLR vs P*minority_E,-0.1668,0.0
SARS-CoV-2,ESM-LLR vs P*E,-0.1624,0.0
SARS-CoV-2,ESM-LLR vs H-score,-0.1624,0.0
SARS-CoV-2,ESM-LLR vs E_only,-0.162,0.0
SARS-CoV-2,ESM-LLR vs P*E^2,-0.1624,0.0
SARS-CoV-2,ESM-LLR vs rank(P*E),-0.1624,0.0
SARS-CoV-2,ESM-LLR vs DMS,-0.1163,3.9e-05
H3N2,ESM-LLR vs E*rare,0.2422,0.0
H3N2,ESM-LLR vs P*E*rare,0.2509,0.0
H3N2,ESM-LLR vs minority_E,0.266,0.0
H3N2,ESM-LLR vs P*minority_E,0.28,0.0
H3N2,ESM-LLR vs P*E,0.2673,0.0
H3N2,ESM-LLR vs H-score,0.2673,0.0
H3N2,ESM-LLR vs E_only,0.2535,0.0
H3N2,ESM-LLR vs P*E^2,0.2637,0.0
H3N2,ESM-LLR vs rank(P*E),0.2673,0.0
H3N2,ESM-LLR vs DMS,0.4669,0.0
Norovirus,ESM-LLR vs E*rare,0.6311,0.0
Norovirus,ESM-LLR vs P*E*rare,0.6326,0.0
Norovirus,ESM-LLR vs minority_E,0.5907,0.0
Norovirus,ESM-LLR vs P*minority_E,0.5901,0.0
Norovirus,ESM-LLR vs P*E,0.5794,0.0
Norovirus,ESM-LLR vs H-score,0.5794,0.0
Norovirus,ESM-LLR vs E_only,0.5831,0.0
Norovirus,ESM-LLR vs P*E^2,0.5806,0.0
Norovirus,ESM-LLR vs rank(P*E),0.5794,0.0
HIV-1,ESM-LLR vs E*rare,-0.3477,0.0
HIV-1,ESM-LLR vs P*E*rare,-0.3353,0.0
HIV-1,ESM-LLR vs minority_E,-0.1305,0.005555
HIV-1,ESM-LLR vs P*minority_E,-0.18,0.000123
HIV-1,ESM-LLR vs P*E,-0.3236,0.0
HIV-1,ESM-LLR vs H-score,-0.3236,0.0
HIV-1,ESM-LLR vs E_only,-0.363,0.0
HIV-1,ESM-LLR vs P*E^2,-0.3391,0.0
HIV-1,ESM-LLR vs rank(P*E),-0.3236,0.0
HIV-1,ESM-LLR vs DMS,-0.0371,0.454684
Dengue,ESM-LLR vs E*rare,0.196,1.2e-05
Dengue,ESM-LLR vs P*E*rare,0.2132,2e-06
Dengue,ESM-LLR vs minority_E,0.1903,2.2e-05
Dengue,ESM-LLR vs P*minority_E,0.1955,1.3e-05
Dengue,ESM-LLR vs P*E,0.2114,2e-06
Dengue,ESM-LLR vs H-score,0.2114,2e-06
Dengue,ESM-LLR vs E_only,0.2156,1e-06
Dengue,ESM-LLR vs P*E^2,0.2127,2e-06
Dengue,ESM-LLR vs rank(P*E),0.2114,2e-06
RSV,ESM-LLR vs E*rare,0.1603,0.00016
RSV,ESM-LLR vs P*E*rare,0.1539,0.000293
RSV,ESM-LLR vs minority_E,0.0866,0.042269
RSV,ESM-LLR vs P*minority_E,0.1046,0.014149
RSV,ESM-LLR vs P*E,0.1602,0.000161
RSV,ESM-LLR vs H-score,0.1602,0.000161
RSV,ESM-LLR vs E_only,0.1752,3.6e-05
RSV,ESM-LLR vs P*E^2,0.1651,0.0001
RSV,ESM-LLR vs rank(P*E),0.1602,0.000161
RSV,ESM-LLR vs DMS,,
Influenza_B,ESM-LLR vs E*rare,-0.013,0.759218
Influenza_B,ESM-LLR vs P*E*rare,-0.029,0.493134
Influenza_B,ESM-LLR vs minority_E,-0.0599,0.157033
Influenza_B,ESM-LLR vs P*minority_E,-0.0398,0.347588
Influenza_B,ESM-LLR vs P*E,-0.0407,0.336073
Influenza_B,ESM-LLR vs H-score,-0.0407,0.336073
Influenza_B,ESM-LLR vs E_only,-0.0362,0.39282
Influenza_B,ESM-LLR vs P*E^2,-0.0389,0.357583
Influenza_B,ESM-LLR vs rank(P*E),-0.0407,0.336073
MERS,ESM-LLR vs E*rare,-0.1406,0.0
MERS,ESM-LLR vs P*E*rare,-0.1094,6.4e-05
MERS,ESM-LLR vs minority_E,-0.0297,0.279308
MERS,ESM-LLR vs P*minority_E,-0.002,0.941001
MERS,ESM-LLR vs P*E,0.0368,0.179386
MERS,ESM-LLR vs H-score,0.0368,0.179386
MERS,ESM-LLR vs E_only,0.0111,0.684695
MERS,ESM-LLR vs P*E^2,0.0283,0.303131
MERS,ESM-LLR vs rank(P*E),0.0368,0.179386
HCV,ESM-LLR vs E*rare,0.0195,0.719822
HCV,ESM-LLR vs P*E*rare,0.036,0.507958
HCV,ESM-LLR vs minority_E,0.0189,0.728142
HCV,ESM-LLR vs P*minority_E,0.038,0.48484
HCV,ESM-LLR vs P*E,0.0568,0.296356
HCV,ESM-LLR vs H-score,0.0568,0.296356
HCV,ESM-LLR vs E_only,0.0475,0.382565
HCV,ESM-LLR vs P*E^2,0.0551,0.310879
HCV,ESM-LLR vs rank(P*E),0.0568,0.296356
