pathogen,scoring,detector,family,n_detected,n_escape,n_overlap,enrichment,p_value
SARS-CoV-2,freq,Wavelet(t=1.0),Wavelet,125,30,2,0.6715,0.8165031722240529
SARS-CoV-2,freq,Wavelet(t=1.5),Wavelet,81,30,1,0.5181,0.8672302326268662
SARS-CoV-2,freq,Wavelet(t=2.0),Wavelet,50,30,1,0.8393,0.7077795134791244
SARS-CoV-2,freq,KDE(p=75),KDE,315,30,17,2.2649,0.0001808450178665988
SARS-CoV-2,freq,KDE(p=80),KDE,252,30,12,1.9984,0.00877114300314456
SARS-CoV-2,freq,KDE(p=85),KDE,189,30,4,0.8882,0.6819252953673234
SARS-CoV-2,freq,SlidingTest(p=0.01),SlidingTest,21,30,1,1.9984,0.39984798104933955
SARS-CoV-2,freq,SlidingTest(p=0.05),SlidingTest,21,30,1,1.9984,0.39984798104933955
SARS-CoV-2,freq,GradPeak(p=0.2),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,freq,GradPeak(p=0.5),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,freq,LocalContrast(z=1.0),LocalContrast,46,30,2,1.8246,0.30042257592124366
SARS-CoV-2,freq,LocalContrast(z=1.5),LocalContrast,45,30,2,1.8652,0.29140829307183125
SARS-CoV-2,freq,LocalContrast(z=2.0),LocalContrast,37,30,1,1.1342,0.5956592190434712
SARS-CoV-2,freq,"CUSUM(d=0.3,h=3.0)",CUSUM,1,30,0,0.0,1.0
SARS-CoV-2,freq,"CUSUM(d=0.5,h=4.0)",CUSUM,1,30,0,0.0,1.0
SARS-CoV-2,freq,"CUSUM(d=0.5,h=5.0)",CUSUM,1,30,0,0.0,1.0
SARS-CoV-2,freq,AdaptiveKnee,AdaptiveKnee,5,30,1,8.3933,0.11377018402013124
SARS-CoV-2,freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,6,30,1,6.9944,0.13497185425888408
SARS-CoV-2,freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,17,30,1,2.4686,0.33810483883145837
SARS-CoV-2,freq,Spectral(z=1.5),Spectral,11,30,1,3.8152,0.23383564903301646
SARS-CoV-2,freq,Spectral(z=2.0),Spectral,9,30,1,4.663,0.1956763183022881
SARS-CoV-2,freq,Bayes(prior=0.1),Bayes,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,freq,Bayes(prior=0.15),Bayes,48,30,2,1.7486,0.3184095781270273
SARS-CoV-2,freq,AdaptWin(s=90),AdaptWin,5,30,1,8.3933,0.11377018402013124
SARS-CoV-2,freq,AdaptWin(s=85),AdaptWin,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,freq,FreqThresh(p=80),FreqThresh,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,freq,FreqThresh(p=85),FreqThresh,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,freq,FreqThresh(p=90),FreqThresh,5,30,1,8.3933,0.11377018402013124
SARS-CoV-2,freq,FreqThresh(p=95),FreqThresh,3,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=10,k=1.0)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=10,k=1.5)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=10,k=2.0)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=20,k=1.0)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=20,k=1.5)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=20,k=2.0)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=50,k=1.0)",SWAN,2,30,0,0.0,1.0
