pathogen,feature,auc,spearman_rho,p_value,n_positions,n_layer_a
SARS-CoV-2,freq,0.5216,0.0315,0.264489,1259,25
SARS-CoV-2,entropy,0.5215,0.0314,0.265926,1259,25
SARS-CoV-2,rare_freq,0.5225,0.0334,0.235976,1259,25
SARS-CoV-2,homoplasy,0.4906,-0.0066,0.813749,1259,25
SARS-CoV-2,esm2_llr,0.586,0.0416,0.140381,1259,25
SARS-CoV-2,plddt,0.5128,0.0062,0.826817,1259,25
SARS-CoV-2,sasa,0.5038,0.0019,0.947578,1259,25
SARS-CoV-2,grantham,0.5222,0.033,0.241443,1259,25
SARS-CoV-2,dnds_proxy,0.5229,0.034,0.227976,1259,25
SARS-CoV-2,semantic_change,0.5233,0.0347,0.219197,1259,25
H3N2,freq,0.5478,0.0347,0.419126,543,25
H3N2,entropy,0.5334,0.0242,0.572863,543,25
H3N2,rare_freq,0.5349,0.0254,0.554308,543,25
H3N2,homoplasy,0.6388,0.103,0.016366,543,25
H3N2,esm2_llr,0.4051,-0.0689,0.10878,543,25
H3N2,plddt,0.787,0.2084,1e-06,543,25
H3N2,sasa,0.4165,-0.0606,0.158162,543,25
H3N2,grantham,0.5536,0.0389,0.365542,543,25
H3N2,dnds_proxy,0.5478,0.0347,0.420011,543,25
H3N2,semantic_change,0.6492,0.1083,0.011554,543,25
Norovirus,freq,0.7598,0.154,0.000347,536,15
Norovirus,entropy,0.7624,0.1554,0.000304,536,15
Norovirus,rare_freq,0.6436,0.086,0.046693,536,15
Norovirus,homoplasy,0.9435,0.2555,0.0,536,15
Norovirus,esm2_llr,0.7629,0.1502,0.000485,536,15
Norovirus,plddt,0.6743,0.0996,0.021082,536,15
Norovirus,sasa,0.7472,0.1413,0.001041,536,15
Norovirus,grantham,0.5691,0.0408,0.34581,536,15
Norovirus,dnds_proxy,0.7558,0.1511,0.000447,536,15
Norovirus,semantic_change,0.6131,0.0668,0.122503,536,15
HIV-1,freq,0.7132,0.163,0.000518,450,23
HIV-1,entropy,0.7297,0.1755,0.000183,450,23
HIV-1,rare_freq,0.5921,0.0744,0.11516,450,23
HIV-1,homoplasy,0.686,0.1419,0.002552,450,23
HIV-1,esm2_llr,0.3386,-0.1232,0.008915,450,23
HIV-1,plddt,0.3587,-0.1081,0.021872,450,23
HIV-1,sasa,0.5334,0.0255,0.58984,450,23
HIV-1,grantham,0.561,0.0466,0.324304,450,23
HIV-1,dnds_proxy,0.6275,0.0973,0.039048,450,23
HIV-1,semantic_change,0.6446,0.1103,0.019256,450,23
Dengue,freq,0.5771,0.0582,0.198293,490,24
Dengue,entropy,0.5774,0.0584,0.196522,490,24
Dengue,rare_freq,0.5482,0.0373,0.410453,490,24
Dengue,homoplasy,0.7697,0.2037,5e-06,490,24
Dengue,esm2_llr,0.5207,0.0155,0.732012,490,24
Dengue,plddt,0.6776,0.1328,0.003225,490,24
Dengue,sasa,0.4738,-0.0196,0.665635,490,24
Dengue,grantham,0.6027,0.0774,0.086889,490,24
Dengue,dnds_proxy,0.5582,0.0439,0.332231,490,24
Dengue,semantic_change,0.495,-0.0038,0.933573,490,24
RSV,freq,0.262,-0.1548,0.000268,550,20
RSV,entropy,0.2627,-0.1544,0.000279,550,20
RSV,rare_freq,0.2583,-0.1573,0.000213,550,20
RSV,homoplasy,0.503,0.002,0.962687,550,20
RSV,esm2_llr,0.2836,-0.1403,0.000967,550,20
RSV,plddt,0.5612,0.0397,0.352975,550,20
RSV,sasa,0.5078,0.0051,0.90541,550,20
RSV,grantham,0.3285,-0.1116,0.008827,550,20
RSV,dnds_proxy,0.2572,-0.158,0.0002,550,20
RSV,semantic_change,0.3397,-0.1043,0.014436,550,20
Influenza_B,freq,0.7835,0.1689,5.9e-05,560,17
Influenza_B,entropy,0.7731,0.1626,0.000111,560,17
Influenza_B,rare_freq,0.6403,0.0836,0.047875,560,17
Influenza_B,homoplasy,0.8053,0.1831,1.3e-05,560,17
Influenza_B,esm2_llr,0.5867,0.0515,0.223326,560,17
Influenza_B,plddt,0.4864,-0.0081,0.848624,560,17
Influenza_B,sasa,0.5994,0.0591,0.162381,560,17
Influenza_B,grantham,0.529,0.0173,0.68368,560,17
Influenza_B,dnds_proxy,0.7504,0.1489,0.000408,560,17
Influenza_B,semantic_change,0.6302,0.0774,0.06736,560,17
MERS,freq,0.5146,0.0043,0.875766,1330,9
MERS,entropy,0.5438,0.0125,0.64961,1330,9
MERS,rare_freq,0.6645,0.0474,0.084061,1330,9
MERS,homoplasy,0.6813,0.0516,0.060011,1330,9
MERS,esm2_llr,0.6948,0.0553,0.043717,1330,9
MERS,plddt,0.1619,-0.0962,0.000441,1330,9
MERS,sasa,0.5785,0.0226,0.410962,1330,9
MERS,grantham,0.47,-0.0085,0.756349,1330,9
MERS,dnds_proxy,0.4775,-0.0064,0.81564,1330,9
MERS,semantic_change,0.6652,0.0469,0.087216,1330,9
HCV,freq,0.677,0.2265,2.5e-05,340,54
HCV,entropy,0.679,0.2284,2.1e-05,340,54
HCV,rare_freq,0.4241,-0.0996,0.06665,340,54
HCV,homoplasy,0.4048,-0.1206,0.026132,340,54
HCV,esm2_llr,0.4474,-0.0667,0.220247,340,54
HCV,plddt,0.4735,-0.0338,0.534386,340,54
HCV,sasa,0.4878,-0.0155,0.776465,340,54
HCV,grantham,0.3825,-0.1488,0.005991,340,54
HCV,dnds_proxy,0.68,0.2283,2.1e-05,340,54
HCV,semantic_change,0.3789,-0.1533,0.004607,340,54
Zika,freq,0.5059,0.0085,0.856904,452,27
Zika,entropy,0.5049,0.007,0.881821,452,27
Zika,rare_freq,0.5,,,452,27
Zika,homoplasy,0.5814,0.0691,0.142612,452,27
Zika,esm2_llr,0.5197,0.0161,0.732297,452,27
Zika,plddt,0.4256,-0.0611,0.194636,452,27
Zika,sasa,0.5151,0.0124,0.792894,452,27
Zika,grantham,0.5479,0.0393,0.404292,452,27
Zika,dnds_proxy,0.4428,-0.0487,0.301515,452,27
Zika,semantic_change,0.4448,-0.0453,0.336697,452,27
Rabies,freq,0.3703,-0.1216,0.006961,491,39
Rabies,entropy,0.369,-0.1229,0.006398,491,39
Rabies,rare_freq,0.4105,-0.0841,0.062738,491,39
Rabies,homoplasy,0.4076,-0.0876,0.052289,491,39
Rabies,esm2_llr,0.4155,-0.0792,0.079652,491,39
Rabies,plddt,0.6504,0.1409,0.001746,491,39
Rabies,sasa,0.3955,-0.0979,0.030022,491,39
