min_cluster_size,min_samples,precision,recall,f1,enrichment_ratio,n_detected,n_clusters
3,2,0.08326949593994178,0.8689048760991207,0.1519748339741349,1.9904138585867939,13054,2487
3,3,0.08333333333333333,0.8257394084732215,0.15138858357148088,1.9919397815081268,12396,1522
3,5,0.07738295156848257,0.920863309352518,0.1427686206469203,1.8497061556773258,14887,19
3,7,0.080532869192663,0.9616306954436451,0.14861943294829824,1.9249995103662685,14938,7
5,2,0.08368587031766787,0.8697042366107114,0.1526803255683413,2.0003665708307135,13001,1011
5,3,0.07917672298203271,0.9440447641886491,0.14610008041071318,1.8925831713283168,14916,21
5,5,0.07744492208490059,0.9216626698641087,0.1428836978747134,1.8511874541205295,14888,18
5,7,0.080532869192663,0.9616306954436451,0.14861943294829824,1.9249995103662685,14938,7
10,2,0.07824978189383262,0.9320543565147882,0.14437840515106487,1.8704262413839146,14901,17
10,3,0.07818791946308724,0.9312549960031974,0.14426351309516436,1.8689475265425244,14900,17
10,5,0.08059441729700784,0.9624300559552358,0.14873378628783201,1.9264707117765192,14939,7
10,7,0.080532869192663,0.9616306954436451,0.14861943294829824,1.9249995103662685,14938,7
15,2,0.07738295156848257,0.920863309352518,0.1427686206469203,1.8497061556773258,14887,12
15,3,0.07732097272605132,0.9200639488409272,0.14265352915659663,1.848224658215118,14886,12
15,5,0.08059441729700784,0.9624300559552358,0.14873378628783201,1.9264707117765192,14939,7
15,7,0.07570659488559893,0.8992805755395683,0.1396561355595556,1.8096357369017306,14860,8
