pathogen,null_type,method,metric,observed,null_mean,null_sd,observed_percentile,p_one_sided_primary,p_two_sided_sensitivity,n_perm,n_valid,degenerate_null,skip_reason
SARS-CoV-2,sasa_strat,4-core,mcc,-0.009523339493959788,-0.00018564785954665048,0.028230209736617964,53.761,0.7289227107728923,1.0,100000,1,False,
SARS-CoV-2,sasa_strat,4-core,window_mcc,0.5570690604396827,0.5232827631472399,0.06533067065240754,69.21300000000001,0.3078869211307887,0.5998940010599894,100000,1,False,
SARS-CoV-2,sasa_strat,4-core,p20,0.05,0.019785,0.031078992502975383,94.215,0.33027669723302766,0.33027669723302766,100000,1,False,
SARS-CoV-2,sasa_strat,4-core,enrichment,0.7993650793650793,0.9960888253968253,0.5947457710192837,53.761,0.7289227107728923,1.0,100000,1,False,
SARS-CoV-2,plddt_strat,4-core,mcc,-0.009523339493959788,0.00451677722257847,0.02875397737938942,46.794000000000004,0.7856021439785602,0.7549524504754952,100000,1,False,
SARS-CoV-2,plddt_strat,4-core,window_mcc,0.5570690604396827,0.5504274244256533,0.057749421674901456,54.282,0.45724542754572456,0.9090609093909061,100000,1,False,
SARS-CoV-2,plddt_strat,4-core,p20,0.05,0.0210705,0.03179872685737591,93.609,0.34967650323496763,0.34967650323496763,100000,1,False,
SARS-CoV-2,plddt_strat,4-core,enrichment,0.7993650793650793,1.0951581365079364,0.6057803539515882,46.794000000000004,0.7856021439785602,0.7549524504754952,100000,1,False,
SARS-CoV-2,sasa_freq_joint,4-core,mcc,-0.009523339493959788,0.0005999551688585668,0.028401239365598043,52.676,0.7390226097739022,0.7676623233767662,100000,1,False,
SARS-CoV-2,sasa_freq_joint,4-core,window_mcc,0.5570690604396827,0.5225672095959979,0.0654414442407914,69.711,0.3029169708302917,0.5944540554594454,100000,1,False,
SARS-CoV-2,sasa_freq_joint,4-core,p20,0.05,0.0203095,0.03130653621450319,93.992,0.33876661233387667,0.33876661233387667,100000,1,False,
SARS-CoV-2,sasa_freq_joint,4-core,enrichment,0.7993650793650793,1.0126396793650791,0.5983489730324433,52.676,0.7390226097739022,0.7676623233767662,100000,1,False,
SARS-CoV-2,plddt_ent_joint,4-core,mcc,-0.009523339493959788,-0.0029038608976992594,0.026565255388099004,57.565999999999995,0.7076629233707663,1.0,100000,1,False,
SARS-CoV-2,plddt_ent_joint,4-core,window_mcc,0.5570690604396827,0.524787555930178,0.059189424812500446,70.575,0.2942670573294267,0.5804941950580494,100000,1,False,
SARS-CoV-2,plddt_ent_joint,4-core,p20,0.05,0.0194185,0.030535992824042908,94.544,0.3274567254327457,0.3274567254327457,100000,1,False,
SARS-CoV-2,plddt_ent_joint,4-core,enrichment,0.7993650793650793,0.9388223111111109,0.5596690015953081,57.565999999999995,0.7076629233707663,1.0,100000,1,False,
SARS-CoV-2,sasa_strat,3-core,mcc,0.0010801761971333413,-0.0004933480785974079,0.02821527448243522,63.788,0.5592944070559295,1.0,100000,1,False,
SARS-CoV-2,sasa_strat,3-core,window_mcc,0.49726813000533654,0.541163754487154,0.03896668853480211,13.436,0.8706912930870692,0.26432735672643276,100000,1,False,
SARS-CoV-2,sasa_strat,3-core,p20,0.05,0.020019,0.03107152456832462,94.12899999999999,0.33481665183348164,0.33481665183348164,100000,1,False,
SARS-CoV-2,sasa_strat,3-core,enrichment,1.0153225806451613,0.993001729032258,0.4002410160766637,63.788,0.5592944070559295,1.0,100000,1,False,
SARS-CoV-2,plddt_strat,3-core,mcc,0.0010801761971333413,0.002503391112464046,0.02843015690952062,59.833999999999996,0.6004339956600434,1.0,100000,1,False,
SARS-CoV-2,plddt_strat,3-core,window_mcc,0.49726813000533654,0.5444289237401607,0.03835183441018812,11.456,0.8908910910890891,0.22432775672243277,100000,1,False,
SARS-CoV-2,plddt_strat,3-core,p20,0.05,0.020866499999999996,0.031547807812112715,93.753,0.34764652353476466,0.34764652353476466,100000,1,False,
SARS-CoV-2,plddt_strat,3-core,enrichment,1.0153225806451613,1.0355112548387098,0.403289179262431,59.833999999999996,0.6004339956600434,1.0,100000,1,False,
SARS-CoV-2,sasa_freq_joint,3-core,mcc,0.0010801761971333413,-0.0010746874239160552,0.02797440088269099,64.606,0.5522744772552275,1.0,100000,1,False,
SARS-CoV-2,sasa_freq_joint,3-core,window_mcc,0.49726813000533654,0.5398789811723034,0.03853328494043378,13.930000000000001,0.8675613243867561,0.2735472645273547,100000,1,False,
SARS-CoV-2,sasa_freq_joint,3-core,p20,0.05,0.018324500000000004,0.02966711478640955,95.086,0.3121968780312197,0.3121968780312197,100000,1,False,
SARS-CoV-2,sasa_freq_joint,3-core,enrichment,1.0153225806451613,0.9847552790322582,0.3968241613383662,64.606,0.5522744772552275,1.0,100000,1,False,
SARS-CoV-2,plddt_ent_joint,3-core,mcc,0.0010801761971333413,-0.0009322514109655373,0.028048313972261454,64.492,0.5527344726552734,1.0,100000,1,False,
SARS-CoV-2,plddt_ent_joint,3-core,window_mcc,0.49726813000533654,0.5409582954148614,0.03884265256549071,13.44,0.8705912940870592,0.2651373486265137,100000,1,False,
SARS-CoV-2,plddt_ent_joint,3-core,p20,0.05,0.019413000000000003,0.030687708141860323,94.396,0.3256567434325657,0.3256567434325657,100000,1,False,
SARS-CoV-2,plddt_ent_joint,3-core,enrichment,1.0153225806451613,0.9867757709677422,0.3978726377616405,64.492,0.5527344726552734,1.0,100000,1,False,
H3N2,sasa_strat,4-core,mcc,0.15925169286627322,-0.008316162020950974,0.040641729376455264,99.98899999999999,0.0007799922000779992,0.0007799922000779992,100000,1,False,
H3N2,sasa_strat,4-core,window_mcc,0.6679900118129282,0.7006370135837905,0.09145818847990686,32.861000000000004,0.6713932860671393,0.7244727552724473,100000,1,False,
H3N2,sasa_strat,4-core,p20,0.15,0.03564850000000001,0.040553784629181036,99.62100000000001,0.029099709002909972,0.029099709002909972,100000,1,False,
H3N2,sasa_strat,4-core,enrichment,3.159272727272727,0.8872422545454545,0.5510558553714691,99.98899999999999,0.0007799922000779992,0.0007799922000779992,100000,1,False,
H3N2,plddt_strat,4-core,mcc,0.15925169286627322,0.02864441426230149,0.0481723529277547,99.69200000000001,0.013019869801301986,0.013019869801301986,100000,1,False,
H3N2,plddt_strat,4-core,window_mcc,0.6679900118129282,0.7527739233843409,0.06201227955929842,9.538,0.9046209537904621,0.15394846051539485,100000,1,False,
H3N2,plddt_strat,4-core,p20,0.15,0.0506645,0.047292001858136645,98.723,0.07034929650703493,0.07034929650703493,100000,1,False,
H3N2,plddt_strat,4-core,enrichment,3.159272727272727,1.38838584,0.6531625881854994,99.69200000000001,0.013019869801301986,0.013019869801301986,100000,1,False,
H3N2,sasa_freq_joint,4-core,mcc,0.15925169286627322,0.02105342995429439,0.04425981151615589,99.931,0.004259957400425996,0.004259957400425996,100000,1,False,
H3N2,sasa_freq_joint,4-core,window_mcc,0.6679900118129282,0.7336420929647234,0.08241591353085626,19.993,0.8000719992800072,0.41486585134148657,100000,1,False,
H3N2,sasa_freq_joint,4-core,p20,0.15,0.0699075,0.05288540860908612,96.642,0.14591854081459185,0.14591854081459185,100000,1,False,
H3N2,sasa_freq_joint,4-core,enrichment,3.159272727272727,1.2854606836363638,0.6001129545374312,99.931,0.004259957400425996,0.004259957400425996,100000,1,False,
H3N2,plddt_ent_joint,4-core,mcc,0.15925169286627322,0.04263689663675097,0.046443973223083565,99.645,0.01770982290177098,0.01770982290177098,100000,1,False,
H3N2,plddt_ent_joint,4-core,window_mcc,0.6679900118129282,0.7825853611716392,0.0523990916640376,2.924,0.9707602923970761,0.02959970400295997,100000,1,False,
H3N2,plddt_ent_joint,4-core,p20,0.15,0.0693595,0.05301117580048569,96.61,0.14406855931440685,0.14406855931440685,100000,1,False,
H3N2,plddt_ent_joint,4-core,enrichment,3.159272727272727,1.5781080654545454,0.6297277154284359,99.645,0.01770982290177098,0.01770982290177098,100000,1,False,
H3N2,sasa_strat,3-core,mcc,0.07187513251627016,-0.01177219623799476,0.03935466487596119,98.68900000000001,0.04984950150498495,0.04984950150498495,100000,1,False,
H3N2,sasa_strat,3-core,window_mcc,0.5672045724996745,0.7012948599488399,0.08499739814237615,6.68,0.93320066799332,0.1055989440105599,100000,1,False,
H3N2,sasa_strat,3-core,p20,0.2,0.03700650000000001,0.041376852922255944,99.961,0.004459955400445996,0.004459955400445996,100000,1,False,
