method,null_type,metric,n_pathogens,n_significant_at_0.05_one_sided,stouffer_z_one_sided,stouffer_p_one_sided,min_p_one_sided,max_p_one_sided
4-core,iid,mcc,12,5,-inf,1.0,9.99990000099999e-06,1.0
4-core,iid,window_mcc,12,1,-inf,1.0,0.00451,1.0
4-core,iid,p20,12,2,-inf,1.0,8e-05,1.0
4-core,iid,enrichment,12,5,-inf,1.0,9.99990000099999e-06,1.0
4-core,circular_shift,mcc,12,3,-inf,1.0,0.00206,1.0
4-core,circular_shift,window_mcc,12,3,1.948244622396602,0.02569284992592587,0.01643,0.9877
4-core,circular_shift,p20,12,2,-inf,1.0,0.00573,1.0
4-core,circular_shift,enrichment,12,3,-inf,1.0,0.00206,1.0
4-core,protein_block_shuffle,mcc,12,2,-inf,1.0,9.99990000099999e-06,1.0
4-core,protein_block_shuffle,window_mcc,12,1,-inf,1.0,0.03413,1.0
4-core,protein_block_shuffle,p20,12,1,-inf,1.0,0.02718,1.0
4-core,protein_block_shuffle,enrichment,12,2,-inf,1.0,9.99990000099999e-06,1.0
4-core,local_burden_preserving,mcc,12,1,-inf,1.0,6e-05,1.0
4-core,local_burden_preserving,window_mcc,12,0,-inf,1.0,0.43771,1.0
4-core,local_burden_preserving,p20,12,1,-inf,1.0,0.04595,1.0
4-core,local_burden_preserving,enrichment,12,1,-inf,1.0,6e-05,1.0
3-core,iid,mcc,12,4,-inf,1.0,9.99990000099999e-06,1.0
3-core,iid,window_mcc,12,2,-inf,1.0,0.01302,1.0
3-core,iid,p20,12,4,-inf,1.0,0.00014,1.0
3-core,iid,enrichment,12,4,-inf,1.0,9.99990000099999e-06,1.0
3-core,circular_shift,mcc,12,4,-inf,1.0,0.00171,1.0
3-core,circular_shift,window_mcc,12,5,2.1752790432070905,0.014804605996152522,0.02662,0.98226
3-core,circular_shift,p20,12,2,-inf,1.0,0.00539,1.0
3-core,circular_shift,enrichment,12,4,-inf,1.0,0.00171,1.0
3-core,protein_block_shuffle,mcc,12,3,-inf,1.0,4e-05,1.0
3-core,protein_block_shuffle,window_mcc,12,0,-inf,1.0,0.23072,1.0
3-core,protein_block_shuffle,p20,12,1,-inf,1.0,0.02704,1.0
3-core,protein_block_shuffle,enrichment,12,3,-inf,1.0,4e-05,1.0
3-core,local_burden_preserving,mcc,12,1,-inf,1.0,0.00019,1.0
3-core,local_burden_preserving,window_mcc,12,0,-inf,1.0,0.72527,1.0
3-core,local_burden_preserving,p20,12,1,-inf,1.0,0.04693,1.0
3-core,local_burden_preserving,enrichment,12,1,-inf,1.0,0.00019,1.0
