Pathogen,N,pearson_rho,pearson_p,spearman_rho,spearman_p,status
SARS-CoV-2,1259,0.7534555254635515,3.705946578561161e-231,0.9634820555532604,0.0,ok
H3N2,543,0.8029675952671451,1.1147366751293536e-123,0.9653878406268626,6.158825e-318,ok
Influenza_B,560,0.8247960451697707,2.7495777234518866e-140,0.9391571492802684,3.927178685790497e-261,ok
HCV,340,0.7374541199202682,1.4434308855066717e-59,0.9804540340517908,9.718153179513694e-241,ok
HIV-1,450,0.0431506397296219,0.3611148655943469,0.15789595668785197,0.0007758453918180661,ok
RSV,550,0.8045545779371414,4.0995910973683375e-126,0.9674335332137837,0.0,ok
Norovirus,536,0.8123138073399041,3.824492454897905e-127,0.9732699214728842,0.0,ok
Dengue,490,0.8279862743294398,1.0911161130619718e-124,0.9464346467286328,1.0081406398790649e-241,ok
MERS,1330,0.8364550277872302,0.0,0.9626684568631061,0.0,ok
Rabies,490,0.6793220910346861,1.3738725868704405e-67,0.9486300676481157,4.867211399163795e-246,ok
EV-A71,260,0.8012762554626811,1.7182321497006712e-59,0.918500544244616,5.93426432412065e-106,ok
Zika,451,0.643473428142676,4.4570519332785077e-54,0.7126281158225901,3.979997211514143e-71,ok
