slug,n_positions,mean_freq,std_freq,mean_entropy,std_entropy,mean_hscore,variable_pos_frac,top10pct_hscore_density
chikungunya_virus_e2,540,0.08778,0.089994,0.365171,0.356122,0.635343,0.5278,2.189175
dengue_e,495,0.146546,0.12516,0.611092,0.450043,2.851593,0.796,5.691554
eastern_equine_encephalitis_virus_e2,420,0.026876,0.065975,0.103516,0.244745,0.187567,0.1524,1.592302
hcov-229e_spike,1173,0.014143,0.064655,0.054323,0.200979,0.133058,0.0853,1.332678
hcov-nl63_spike,1356,0.013238,0.065802,0.041392,0.179792,0.121088,0.0531,1.215863
hendra_virus_g,604,0.005612,0.025954,0.029061,0.098371,0.024583,0.106,0.246606
hiv1_gp120,500,0.733662,0.147082,3.153594,0.705963,7.776939,1.0,8.35983
japanese_encephalitis_virus_e,506,0.010938,0.04045,0.063875,0.126317,0.053386,0.1917,0.506352
lassa_gpc,491,0.023695,0.068564,0.109467,0.265689,0.200178,0.2057,1.936021
marburg_virus_gp,871,0.062329,0.121307,0.253979,0.404506,0.631775,0.4994,5.015658
measles_virus_h,620,0.018992,0.061065,0.079464,0.196544,0.127471,0.2145,1.223161
mumps_virus_hn,582,0.003925,0.016567,0.025356,0.078909,0.013654,0.067,0.134974
nipah_virus_g,602,0.012292,0.050516,0.046323,0.173143,0.09215,0.0797,0.923551
norovirus_vp1,540,0.395905,0.170522,1.772042,0.763019,5.81558,0.9944,7.421938
tick-borne_encephalitis_virus_e,496,0.018759,0.077515,0.062984,0.206317,0.166879,0.0827,1.679315
venezuelan_equine_encephalitis_virus_e2,520,0.033616,0.033095,0.185038,0.180355,0.121573,0.5481,0.389259
western_equine_encephalitis_virus_e2,504,0.210124,0.186582,0.54635,0.484915,2.046067,0.5714,4.186717
wnv_e,501,0.00998,0.039706,0.045228,0.159823,0.06654,0.1018,0.66645
yfv_e,499,0.018556,0.063084,0.073298,0.193385,0.126988,0.1683,1.232745
