test,source,value,metric,SS,df
ANOVA,scoring,0.06300859615193659,omega_squared,6.1713459221007225,19
ANOVA,family,0.012622864062045783,omega_squared,1.249460083368726,13
ANOVA,pathogen,0.11732879249881036,omega_squared,11.45549188308262,10
ANOVA,scoring×family,0.03879655995106081,omega_squared,4.135699335244131,247
ANOVA,scoring×pathogen,0.29625198394914415,omega_squared,29.159911891148912,190
ANOVA,family×pathogen,0.08150374503176447,omega_squared,8.133289214161529,130
ANOVA,Residual,0.0,omega_squared,37.20755685757002,7970
Friedman,top20_combos,7.6879665776316255,chi_squared,0.9895444532672729,19
LOPO,match_rate,0.0,proportion,0.0315084393939394,11
LOPO,mean_gen_mcc,0.0315084393939394,MCC,0.2654241515151515,11
Fairness,rpb_vs_freq_mcc,0.9727272727272729,spearman_rho,5.14217704904919e-07,11
LayerAvsC,H3N2,-0.5502573063304794,spearman_rho,0.011941736015039181,20
LayerAvsC,HIV-1,0.3057775292492935,spearman_rho,0.18982529051568503,20
LayerAvsC,RSV,0.8108524657756516,spearman_rho,1.4480059610067832e-05,20
LayerAvsC,Rabies,0.32481203007518794,spearman_rho,0.16232315576999945,20
LayerAvsC,SARS-CoV-2,-0.1042693483543182,spearman_rho,0.6617651919349776,20
