pathogen,split_year,n_train,n_test,n_emergent,n_positions,score,top_k,mcc,f1,auroc,topk_enrichment_fold,topk_fisher_p_one_sided
H3N2,2023,51,283,12,587,freq,30,-0.0358,0.0,0.5144,0.0,1.0
H3N2,2023,51,283,12,587,entropy,30,-0.0335,0.0,0.5144,0.0,1.0
H3N2,2023,51,283,12,587,freq+entropy,30,-0.0364,0.0,0.5144,0.0,1.0
H3N2,2024,55,279,9,587,freq,30,-0.029,0.0,0.3858,0.0,1.0
H3N2,2024,55,279,9,587,entropy,30,-0.029,0.0,0.3858,0.0,1.0
H3N2,2024,55,279,9,587,freq+entropy,30,-0.029,0.0,0.3858,0.0,1.0
H3N2,2025,57,277,9,587,freq,30,-0.03,0.0,0.378,0.0,1.0
H3N2,2025,57,277,9,587,entropy,30,-0.0295,0.0,0.378,0.0,1.0
H3N2,2025,57,277,9,587,freq+entropy,30,-0.0295,0.0,0.378,0.0,1.0
H3N2,2026,91,243,5,587,freq,30,-0.0226,0.0,0.4409,0.0,1.0
H3N2,2026,91,243,5,587,entropy,30,-0.023,0.0,0.4402,0.0,1.0
H3N2,2026,91,243,5,587,freq+entropy,30,-0.0226,0.0,0.4402,0.0,1.0
Influenza_B,2020,51,234,12,629,freq,30,-0.0323,0.0,0.6488,0.0,1.0
Influenza_B,2020,51,234,12,629,entropy,30,-0.0323,0.0,0.6488,0.0,1.0
Influenza_B,2020,51,234,12,629,freq+entropy,30,-0.0323,0.0,0.6488,0.0,1.0
Influenza_B,2021,59,226,10,629,freq,30,-0.0294,0.0,0.6821,0.0,1.0
Influenza_B,2021,59,226,10,629,entropy,30,-0.0294,0.0,0.6821,0.0,1.0
Influenza_B,2021,59,226,10,629,freq+entropy,30,-0.0294,0.0,0.6821,0.0,1.0
Influenza_B,2022,94,191,8,629,freq,30,-0.028,0.0,0.6765,0.0,1.0
Influenza_B,2022,94,191,8,629,entropy,30,-0.0284,0.0,0.6765,0.0,1.0
Influenza_B,2022,94,191,8,629,freq+entropy,30,-0.028,0.0,0.6765,0.0,1.0
Influenza_B,2023,108,177,8,629,freq,30,-0.028,0.0,0.677,0.0,1.0
Influenza_B,2023,108,177,8,629,entropy,30,-0.028,0.0,0.6768,0.0,1.0
Influenza_B,2023,108,177,8,629,freq+entropy,30,-0.028,0.0,0.6768,0.0,1.0
Influenza_B,2024,113,172,5,629,freq,30,-0.023,0.0,0.6133,0.0,1.0
Influenza_B,2024,113,172,5,629,entropy,30,-0.0233,0.0,0.6133,0.0,1.0
Influenza_B,2024,113,172,5,629,freq+entropy,30,-0.0233,0.0,0.6133,0.0,1.0
Influenza_B,2025,126,159,4,629,freq,30,-0.0208,0.0,0.663,0.0,1.0
Influenza_B,2025,126,159,4,629,entropy,30,-0.0208,0.0,0.663,0.0,1.0
Influenza_B,2025,126,159,4,629,freq+entropy,30,-0.0208,0.0,0.663,0.0,1.0
Influenza_B,2026,194,91,2,629,freq,30,-0.0126,0.0,0.9131,0.0,1.0
Influenza_B,2026,194,91,2,629,entropy,30,-0.0126,0.0,0.9131,0.0,1.0
Influenza_B,2026,194,91,2,629,freq+entropy,30,-0.0126,0.0,0.9131,0.0,1.0
Dengue,1998,30,255,226,795,freq,30,0.0,0.4427,0.4971,26.5,1.0
Dengue,1998,30,255,226,795,entropy,30,0.0,0.4427,0.4971,26.5,1.0
Dengue,1998,30,255,226,795,freq+entropy,30,0.0,0.4427,0.4971,26.5,1.0
Dengue,1999,33,252,226,795,freq,30,0.0,0.4427,0.4992,26.5,1.0
Dengue,1999,33,252,226,795,entropy,30,0.0,0.4427,0.4992,26.5,1.0
