pathogen,method,d1_n_pass,d1_n_total,d1_pass,d1_fail,d2_boot_lo,d2_pass,d2_fail,d3_aggregate_median,d3_aggregate_pct10,d3_pass,d3_fail,d4_n_pos,d4_n_rankable,d4_prevalence,d4_pass,d4_fail,inv_n_upper_neg,inv_median_rho,inversion_pass,inversion_fail,callable,abstention_reason,observed_mcc,observed_enrichment,observed_tp20,observed_tp50,observed_tp80,any_method_inversion
SARS-CoV-2,3-core,5,11,0,1,1.058923140274507,0,1,0.8472222222222222,0.4925373134328358,1,0,25,1259,0.019857029388403495,1,0,0,0.5030303030303029,1,0,0,"D1,D2",0.0010801761971333413,1.0153225806451613,1,1,3,0
SARS-CoV-2,4-core,4,11,0,1,0.9929482458254408,0,1,0.5492957746478874,0.35294117647058826,0,1,25,1259,0.019857029388403495,1,0,0,0.37426130267530777,1,0,0,"D1,D2,D3",-0.009523339493959788,0.7993650793650793,1,1,1,0
H3N2,3-core,5,10,0,1,0.9529612345465619,0,1,0.8472222222222222,0.5151515151515151,1,0,25,543,0.04604051565377532,1,0,0,0.46580086580086577,1,0,0,"D1,D2",0.07187513251627016,1.9745454545454546,4,5,10,0
H3N2,4-core,3,11,0,1,0.8218037880687044,0,1,0.6363636363636364,0.30392156862745096,0,1,25,543,0.04604051565377532,1,0,0,0.12727272727272726,1,0,0,"D1,D2,D3",0.15925169286627322,3.159272727272727,3,7,11,0
Norovirus,3-core,4,10,0,1,0.9082663834644282,0,1,0.8472222222222222,0.3854166666666667,0,1,15,536,0.027985074626865673,1,0,0,0.46580086580086577,1,0,0,"D1,D2,D3",0.3941903161996844,7.94074074074074,5,12,13,0
Norovirus,4-core,3,11,0,1,0.7729726371931624,0,1,0.4375,0.2912621359223301,0,1,15,536,0.027985074626865673,1,0,0,0.12727272727272726,1,0,0,"D1,D2,D3",0.4317723171749656,8.602469135802469,5,13,13,0
HIV-1,3-core,4,10,0,1,1.0008790875082774,0,1,0.8947368421052632,0.5428571428571428,1,0,23,450,0.051111111111111114,1,0,0,0.46580086580086577,1,0,0,"D1,D2",0.09081647771175144,2.1739130434782608,1,7,11,0
HIV-1,4-core,4,11,0,1,0.9621465689586947,0,1,0.5873015873015873,0.35294117647058826,0,1,23,450,0.051111111111111114,1,0,0,0.12727272727272726,1,0,0,"D1,D2,D3",-0.010090719745750161,0.8695652173913043,1,2,5,0
Dengue,3-core,4,10,0,1,0.9359920023916065,0,1,0.8888888888888888,0.5384615384615384,1,0,24,490,0.04897959183673469,1,0,0,0.46580086580086577,1,0,0,"D1,D2",0.11347042117083507,2.5,2,6,8,0
Dengue,4-core,3,11,0,1,0.833655298126381,0,1,0.6129032258064516,0.35,0,1,24,490,0.04897959183673469,1,0,0,0.12727272727272726,1,0,0,"D1,D2,D3",0.14498998260717816,2.9166666666666665,3,8,9,0
RSV,3-core,5,10,0,1,1.291079261828799,1,0,0.8472222222222222,0.5068493150684932,1,0,20,550,0.03636363636363636,1,0,0,0.5306772707237827,1,0,0,D1,-0.06475239082381762,0.0,0,0,1,0
RSV,4-core,4,11,0,1,1.0648149649807512,0,1,0.5714285714285714,0.2975609756097561,0,1,20,550,0.03636363636363636,1,0,0,0.37426130267530777,1,0,0,"D1,D2,D3",-0.06475239082381762,0.0,0,0,3,0
Influenza_B,3-core,3,10,0,1,0.9172178482334636,0,1,0.8888888888888888,0.5151515151515151,1,0,17,560,0.030357142857142857,1,0,0,0.46580086580086577,1,0,0,"D1,D2",0.21857219780854706,4.705882352941177,4,7,10,0
Influenza_B,4-core,3,11,0,1,0.7926551598989203,0,1,0.5873015873015873,0.373134328358209,0,1,17,560,0.030357142857142857,1,0,0,0.12727272727272726,1,0,0,"D1,D2,D3",0.21857219780854706,4.705882352941177,4,7,9,0
MERS,3-core,5,10,0,1,1.292519772089038,1,0,0.9285714285714286,0.8888888888888888,1,0,9,1330,0.006766917293233083,0,1,0,0.5306772707237827,1,0,0,"D1,D4",-0.027513674254937545,0.0,0,0,0,1
MERS,4-core,5,11,0,1,1.3575568204251662,1,0,0.7777777777777778,0.5384615384615384,1,0,9,1330,0.006766917293233083,0,1,2,0.37310438707059995,0,1,0,"D1,D4,INV",-0.027513674254937545,0.0,0,0,0,1
HCV,3-core,4,10,0,1,0.979718248530676,0,1,0.8472222222222222,0.4864864864864865,1,0,54,340,0.1588235294117647,1,0,0,0.5306772707237827,1,0,0,"D1,D2",0.2574957597788094,2.7777777777777777,9,20,25,0
