pathogen,split_year,n_train,n_test,n_emergent,n_positions,score,top_k,mcc,f1,auroc,topk_enrichment_fold,topk_fisher_p_one_sided
H3N2,2023,51,283,12,587,freq+entropy,30,-0.0364,0.0,0.5144,0.0,1.0
H3N2,2023,51,283,12,587,freq+entropy+plddt,30,-0.0335,0.0,0.4901,0.0,1.0
H3N2,2023,51,283,12,587,freq+entropy+homoplasy,30,-0.0335,0.0,0.5017,0.0,1.0
H3N2,2023,51,283,12,587,freq+entropy+plddt+homoplasy,30,-0.0335,0.0,0.4747,0.0,1.0
H3N2,2024,55,279,9,587,freq+entropy,30,-0.029,0.0,0.3858,0.0,1.0
H3N2,2024,55,279,9,587,freq+entropy+plddt,30,-0.029,0.0,0.4637,0.0,1.0
H3N2,2024,55,279,9,587,freq+entropy+homoplasy,30,-0.029,0.0,0.4094,0.0,1.0
H3N2,2024,55,279,9,587,freq+entropy+plddt+homoplasy,30,-0.029,0.0,0.4894,0.0,1.0
H3N2,2025,57,277,9,587,freq+entropy,30,-0.0295,0.0,0.378,0.0,1.0
H3N2,2025,57,277,9,587,freq+entropy+plddt,30,-0.029,0.0,0.4605,0.0,1.0
H3N2,2025,57,277,9,587,freq+entropy+homoplasy,30,-0.029,0.0,0.4049,0.0,1.0
H3N2,2025,57,277,9,587,freq+entropy+plddt+homoplasy,30,-0.029,0.0,0.486,0.0,1.0
H3N2,2026,91,243,5,587,freq+entropy,30,-0.0226,0.0,0.4402,0.0,1.0
H3N2,2026,91,243,5,587,freq+entropy+plddt,30,-0.0215,0.0,0.4617,0.0,1.0
H3N2,2026,91,243,5,587,freq+entropy+homoplasy,30,-0.0215,0.0,0.3347,0.0,1.0
H3N2,2026,91,243,5,587,freq+entropy+plddt+homoplasy,30,-0.0215,0.0,0.3964,0.0,1.0
Influenza_B,2020,51,234,12,629,freq+entropy,30,-0.0323,0.0,0.6488,0.0,1.0
Influenza_B,2020,51,234,12,629,freq+entropy+plddt,30,-0.0312,0.0,0.5449,0.0,1.0
Influenza_B,2020,51,234,12,629,freq+entropy+homoplasy,30,-0.0323,0.0,0.6887,0.0,1.0
Influenza_B,2020,51,234,12,629,freq+entropy+plddt+homoplasy,30,-0.0312,0.0,0.6035,0.0,1.0
Influenza_B,2021,59,226,10,629,freq+entropy,30,-0.0294,0.0,0.6821,0.0,1.0
Influenza_B,2021,59,226,10,629,freq+entropy+plddt,30,-0.0284,0.0,0.5872,0.0,1.0
Influenza_B,2021,59,226,10,629,freq+entropy+homoplasy,30,-0.0294,0.0,0.7607,0.0,1.0
Influenza_B,2021,59,226,10,629,freq+entropy+plddt+homoplasy,30,-0.0284,0.0,0.6792,0.0,1.0
Influenza_B,2022,94,191,8,629,freq+entropy,30,-0.028,0.0,0.6765,0.0,1.0
Influenza_B,2022,94,191,8,629,freq+entropy+plddt,30,-0.0254,0.0,0.5549,0.0,1.0
Influenza_B,2022,94,191,8,629,freq+entropy+homoplasy,30,-0.0254,0.0,0.7389,0.0,1.0
Influenza_B,2022,94,191,8,629,freq+entropy+plddt+homoplasy,30,-0.0254,0.0,0.6403,0.0,1.0
Influenza_B,2023,108,177,8,629,freq+entropy,30,-0.028,0.0,0.6768,0.0,1.0
Influenza_B,2023,108,177,8,629,freq+entropy+plddt,30,-0.0254,0.0,0.563,0.0,1.0
Influenza_B,2023,108,177,8,629,freq+entropy+homoplasy,30,-0.0254,0.0,0.7389,0.0,1.0
Influenza_B,2023,108,177,8,629,freq+entropy+plddt+homoplasy,30,-0.0254,0.0,0.6387,0.0,1.0
Influenza_B,2024,113,172,5,629,freq+entropy,30,-0.0233,0.0,0.6133,0.0,1.0
Influenza_B,2024,113,172,5,629,freq+entropy+plddt,30,-0.02,0.0,0.5399,0.0,1.0
Influenza_B,2024,113,172,5,629,freq+entropy+homoplasy,30,-0.02,0.0,0.6591,0.0,1.0
Influenza_B,2024,113,172,5,629,freq+entropy+plddt+homoplasy,30,-0.02,0.0,0.5567,0.0,1.0
Influenza_B,2025,126,159,4,629,freq+entropy,30,-0.0208,0.0,0.663,0.0,1.0
Influenza_B,2025,126,159,4,629,freq+entropy+plddt,30,-0.0179,0.0,0.5682,0.0,1.0
Influenza_B,2025,126,159,4,629,freq+entropy+homoplasy,30,-0.0179,0.0,0.6824,0.0,1.0
Influenza_B,2025,126,159,4,629,freq+entropy+plddt+homoplasy,30,-0.0179,0.0,0.5792,0.0,1.0
Influenza_B,2026,194,91,2,629,freq+entropy,30,-0.0126,0.0,0.9131,0.0,1.0
Influenza_B,2026,194,91,2,629,freq+entropy+plddt,30,-0.0126,0.0,0.8923,0.0,1.0
Influenza_B,2026,194,91,2,629,freq+entropy+homoplasy,30,-0.0126,0.0,0.8581,0.0,1.0
Influenza_B,2026,194,91,2,629,freq+entropy+plddt+homoplasy,30,-0.0126,0.0,0.8501,0.0,1.0
Dengue,1998,30,255,226,795,freq+entropy,30,0.0,0.4427,0.4971,26.5,1.0
Dengue,1998,30,255,226,795,freq+entropy+plddt,30,-0.037,0.0469,0.4243,0.704,0.8979
Dengue,1998,30,255,226,795,freq+entropy+homoplasy,30,-0.0077,0.0625,0.4977,0.938,0.6554
Dengue,1998,30,255,226,795,freq+entropy+plddt+homoplasy,30,-0.0077,0.0625,0.4856,0.938,0.6554
Dengue,1999,33,252,226,795,freq+entropy,30,0.0,0.4427,0.4992,26.5,1.0
Dengue,1999,33,252,226,795,freq+entropy+plddt,30,-0.037,0.0469,0.4276,0.704,0.8979
Dengue,1999,33,252,226,795,freq+entropy+homoplasy,30,0.0069,0.0703,0.4978,1.055,0.4935
Dengue,1999,33,252,226,795,freq+entropy+plddt+homoplasy,30,0.0069,0.0703,0.4861,1.055,0.4935
Dengue,2000,40,245,63,795,freq+entropy,30,-0.0792,0.0,0.3817,0.0,1.0
Dengue,2000,40,245,63,795,freq+entropy+plddt,30,-0.0581,0.0,0.3992,0.0,1.0
Dengue,2000,40,245,63,795,freq+entropy+homoplasy,30,-0.0591,0.0,0.3767,0.0,1.0
Dengue,2000,40,245,63,795,freq+entropy+plddt+homoplasy,30,-0.0581,0.0,0.4087,0.0,1.0
Dengue,2001,49,236,64,795,freq+entropy,30,-0.075,0.0,0.3939,0.0,1.0
Dengue,2001,49,236,64,795,freq+entropy+plddt,30,-0.0596,0.0,0.4042,0.0,1.0
Dengue,2001,49,236,64,795,freq+entropy+homoplasy,30,-0.0586,0.0,0.3822,0.0,1.0
Dengue,2001,49,236,64,795,freq+entropy+plddt+homoplasy,30,-0.0586,0.0,0.4118,0.0,1.0
Dengue,2002,75,210,65,795,freq+entropy,30,-0.0687,0.0,0.4038,0.0,1.0
