method,pathogen,calibration_slope,ece,brier
4-core,SARS-CoV-2,0.0039459703345454435,0.02287844459543085,0.02018521582274341
4-core,H3N2,1.5681880131322194,0.0033411845909326514,0.0428410758786666
4-core,Norovirus,2.896504243510393,0.03574792992194459,0.025066513187531055
4-core,HIV-1,0.6500914605962865,0.013191202578190701,0.04830260567240802
4-core,Dengue,1.0865017993119788,0.005386272688787483,0.045727317397414056
4-core,RSV,-0.23543355253640694,0.017322747288935042,0.03666973338408046
4-core,Influenza_B,2.1038483638992043,0.018081944210238135,0.028525089484405953
4-core,MERS,0.002606561507875693,0.04129470744250174,0.00946741437947734
4-core,HCV,3.818487788500393,0.11960521236900552,0.14550071367635048
4-core,Zika,-0.18493558554688985,0.026489856845973617,0.057260385487249224
4-core,Rabies,-0.7928838974503358,0.05283838154802249,0.07717148804191715
4-core,EV-A71,0.3088351514532363,0.06655186377761296,0.09715630176878996
3-core,SARS-CoV-2,0.11649512596128515,0.021859354179177136,0.020123977957887937
3-core,H3N2,0.8170885863187901,0.007292892642839089,0.04348355094372335
3-core,Norovirus,3.172132479071684,0.040842352370075066,0.024832954332274403
3-core,HIV-1,1.4269319637818851,0.004871270434247079,0.04706804339786397
3-core,Dengue,0.8155014999226857,0.00494328927235527,0.04600243982382021
3-core,RSV,-0.3025507274502054,0.024147190004816445,0.03779165789841924
3-core,Influenza_B,2.1761122085702684,0.020151548443538576,0.028283978441007336
3-core,MERS,-0.011746620766551896,0.041319147704875964,0.00936366097793976
3-core,HCV,3.920507150078915,0.12314661077801055,0.14529685563823613
3-core,Zika,0.02692838157377467,0.030028596471394154,0.057214935101478966
3-core,Rabies,-0.6552789021386025,0.062150213012789834,0.07749441656946354
3-core,EV-A71,0.9329367350761408,0.0666344842783019,0.09640509858626493
full-10,SARS-CoV-2,-0.11563422998746972,0.02064239144402195,0.02000471129322546
full-10,H3N2,1.6851951550687352,0.0052384723223126905,0.043276420703632044
