pathogen,null_type,method,metric,observed,null_mean,null_sd,observed_percentile,p_one_sided_primary,p_two_sided_sensitivity,n_perm
SARS-CoV-2,iid,4-core,mcc,-0.009523339493959788,-2.5529782759883237e-05,0.028205340654976197,53.495000000000005,0.73044,0.77085,100000
SARS-CoV-2,iid,4-core,window_mcc,0.5570690604396827,0.521138994215304,0.06539574465171206,70.59,0.29411,0.58373,100000
SARS-CoV-2,iid,4-core,p20,0.05,0.019683500000000003,0.030803162625775943,94.305,0.33018,0.33018,100000
SARS-CoV-2,iid,4-core,enrichment,0.7993650793650793,0.9994621460317458,0.5942218365082204,53.495000000000005,0.73044,0.77085,100000
SARS-CoV-2,circular_shift,4-core,mcc,-0.009523339493959788,0.00020345424411408387,0.03337466466449786,54.544000000000004,0.67404,0.81056,100000
SARS-CoV-2,circular_shift,4-core,window_mcc,0.5570690604396827,0.38087062457234816,0.12295108843817613,95.67099999999999,0.04547,0.15914,100000
SARS-CoV-2,circular_shift,4-core,p20,0.05,0.019891,0.03184883230198558,94.194,0.32805,0.32805,100000
SARS-CoV-2,circular_shift,4-core,enrichment,0.7993650793650793,1.0042863142857141,0.7031276371514066,54.544000000000004,0.67404,0.81056,100000
SARS-CoV-2,protein_block_shuffle,4-core,mcc,-0.009523339493959788,0.01592500048027452,0.0307942200187623,31.947,0.87769,0.54706,100000
SARS-CoV-2,protein_block_shuffle,4-core,window_mcc,0.5570690604396827,0.5137699184320046,0.03798173074578589,88.59,0.12054,0.25006,100000
SARS-CoV-2,protein_block_shuffle,4-core,p20,0.05,0.0409335,0.04169440703199891,80.976,0.58912,1.0,100000
SARS-CoV-2,protein_block_shuffle,4-core,enrichment,0.7993650793650793,1.3355032349206346,0.6487635869116426,31.947,0.87769,0.54706,100000
SARS-CoV-2,local_burden_preserving,4-core,mcc,-0.009523339493959788,0.006926895762269337,0.029625976737322583,43.791999999999994,0.80395,0.75909,100000
SARS-CoV-2,local_burden_preserving,4-core,window_mcc,0.5570690604396827,0.5460575117071101,0.06269000278519794,56.230000000000004,0.43771,0.85548,100000
SARS-CoV-2,local_burden_preserving,4-core,p20,0.05,0.0262885,0.03509899952633978,90.724,0.41923,1.0,100000
SARS-CoV-2,local_burden_preserving,4-core,enrichment,0.7993650793650793,1.1459338063492062,0.6241513804264489,43.791999999999994,0.80395,0.75909,100000
SARS-CoV-2,iid,3-core,mcc,0.0010801761971333413,-4.957758598775335e-05,0.02819192931991298,63.209,0.5639,1.0,100000
SARS-CoV-2,iid,3-core,window_mcc,0.49726813000533654,0.5397963981291144,0.038726360391946,14.038,0.86538,0.28103,100000
SARS-CoV-2,iid,3-core,p20,0.05,0.0197225,0.030772520107232033,94.326,0.33132,0.33132,100000
SARS-CoV-2,iid,3-core,enrichment,1.0153225806451613,0.9992967290322582,0.3999098588669689,63.209,0.5639,1.0,100000
SARS-CoV-2,circular_shift,3-core,mcc,0.0010801761971333413,5.4350600345991716e-05,0.030862621794102756,62.771,0.55649,1.0,100000
SARS-CoV-2,circular_shift,3-core,window_mcc,0.49726813000533654,0.41563899507255125,0.04702611351697592,97.758,0.03649,0.08007,100000
SARS-CoV-2,circular_shift,3-core,p20,0.05,0.019975,0.030868258373286953,94.254,0.33546,0.33546,100000
SARS-CoV-2,circular_shift,3-core,enrichment,1.0153225806451613,1.000770977419355,0.4377943270887275,62.771,0.55649,1.0,100000
SARS-CoV-2,protein_block_shuffle,3-core,mcc,0.0010801761971333413,0.015499567867967304,0.028880163070124962,41.438,0.76854,0.63875,100000
SARS-CoV-2,protein_block_shuffle,3-core,window_mcc,0.49726813000533654,0.48847416506814145,0.02461378729343816,66.025,0.39216,0.75829,100000
