method,d1_quorum,d2_lower_bound,n_callable,n_total,callable_fraction,mean_mcc_callable,sum_tp20_callable,sum_tp50_callable,sum_tp80_callable,callable_pathogens
3-core,5,1.05,3,12,0.25,-0.026653268034213137,2,3,8,SARS-CoV-2;RSV;Zika
3-core,5,1.1,2,12,0.16666666666666666,-0.04051999014988635,1,2,5,RSV;Zika
3-core,5,1.2,1,12,0.08333333333333333,-0.0647523908238176,0,0,1,RSV
3-core,5,1.5,0,12,0.0,,0,0,0,
3-core,6,1.05,0,12,0.0,,0,0,0,
3-core,6,1.1,0,12,0.0,,0,0,0,
3-core,6,1.2,0,12,0.0,,0,0,0,
3-core,6,1.5,0,12,0.0,,0,0,0,
3-core,7,1.05,0,12,0.0,,0,0,0,
3-core,7,1.1,0,12,0.0,,0,0,0,
3-core,7,1.2,0,12,0.0,,0,0,0,
3-core,7,1.5,0,12,0.0,,0,0,0,
3-core,8,1.05,0,12,0.0,,0,0,0,
3-core,8,1.1,0,12,0.0,,0,0,0,
3-core,8,1.2,0,12,0.0,,0,0,0,
3-core,8,1.5,0,12,0.0,,0,0,0,
4-core,5,1.05,1,12,0.08333333333333333,-0.0490986486903498,1,2,3,Rabies
4-core,5,1.1,1,12,0.08333333333333333,-0.0490986486903498,1,2,3,Rabies
4-core,5,1.2,1,12,0.08333333333333333,-0.0490986486903498,1,2,3,Rabies
4-core,5,1.5,0,12,0.0,,0,0,0,
4-core,6,1.05,0,12,0.0,,0,0,0,
4-core,6,1.1,0,12,0.0,,0,0,0,
4-core,6,1.2,0,12,0.0,,0,0,0,
4-core,6,1.5,0,12,0.0,,0,0,0,
4-core,7,1.05,0,12,0.0,,0,0,0,
4-core,7,1.1,0,12,0.0,,0,0,0,
4-core,7,1.2,0,12,0.0,,0,0,0,
4-core,7,1.5,0,12,0.0,,0,0,0,
4-core,8,1.05,0,12,0.0,,0,0,0,
4-core,8,1.1,0,12,0.0,,0,0,0,
4-core,8,1.2,0,12,0.0,,0,0,0,
4-core,8,1.5,0,12,0.0,,0,0,0,
