held_out,method,predicted_combo,test_mcc,oracle_combo,oracle_mcc,combo_match,gen_ratio,most_similar,similarity,predicted_family
Dengue,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,E*rare + FreqThresh(p=80),0.2563,False,0.0,,,
H3N2,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,E_only + SlidingTest(p=0.05),0.5488,False,0.0,,,
HCV,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,"E_only + CUSUM(d=0.5,h=5.0)",0.4425,False,0.0,,,
HIV-1,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,E*rare + SlidingTest(p=0.01),0.1816,False,0.0,,,
Influenza_B,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,H-score + Wavelet(t=2.0),0.3612,False,0.0,,,
MERS,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,rank(P*E) + SlidingTest(p=0.05),0.0879,False,0.0,,,
Norovirus,Naive,P*E + Wavelet(t=1.5),0.1924,P*E*rare + GradPeak(p=0.5),0.438,False,0.4393,,,
RSV,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,P*E + FreqThresh(p=95),0.2494,False,0.0,,,
SARS-CoV-2,Naive,"E_only + SWAN(w=10,k=1.5)",0.0,"E*rare + CUSUM(d=0.5,h=4.0)",0.1184,False,0.0,,,
Dengue,PAHD-1NN,"E_only + CUSUM(d=0.5,h=5.0)",-0.0678,E*rare + FreqThresh(p=80),0.2563,False,-0.2645,HCV,0.2569,
H3N2,PAHD-1NN,E*rare + SlidingTest(p=0.01),0.0,E_only + SlidingTest(p=0.05),0.5488,False,0.0,HIV-1,0.775,
HCV,PAHD-1NN,E_only + SlidingTest(p=0.05),-0.2905,"E_only + CUSUM(d=0.5,h=5.0)",0.4425,False,-0.6565,H3N2,0.4465,
HIV-1,PAHD-1NN,E_only + SlidingTest(p=0.05),0.1124,E*rare + SlidingTest(p=0.01),0.1816,False,0.6189,H3N2,0.775,
Influenza_B,PAHD-1NN,P*E + FreqThresh(p=95),0.0268,H-score + Wavelet(t=2.0),0.3612,False,0.0742,RSV,0.984,
MERS,PAHD-1NN,"E*rare + CUSUM(d=0.5,h=4.0)",-0.0167,rank(P*E) + SlidingTest(p=0.05),0.0879,False,-0.19,SARS-CoV-2,0.8344,
Norovirus,PAHD-1NN,"E*rare + CUSUM(d=0.5,h=4.0)",0.1644,P*E*rare + GradPeak(p=0.5),0.438,False,0.3753,SARS-CoV-2,0.4537,
RSV,PAHD-1NN,H-score + Wavelet(t=2.0),-0.0406,P*E + FreqThresh(p=95),0.2494,False,-0.1628,Influenza_B,0.984,
SARS-CoV-2,PAHD-1NN,rank(P*E) + SlidingTest(p=0.05),-0.1266,"E*rare + CUSUM(d=0.5,h=4.0)",0.1184,False,-1.0693,MERS,0.8344,
Dengue,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,E*rare + FreqThresh(p=80),0.2563,False,0.0,,,
H3N2,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,E_only + SlidingTest(p=0.05),0.5488,False,0.0,,,
HCV,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,"E_only + CUSUM(d=0.5,h=5.0)",0.4425,False,0.0,,,
HIV-1,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,E*rare + SlidingTest(p=0.01),0.1816,False,0.0,,,
Influenza_B,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,H-score + Wavelet(t=2.0),0.3612,False,0.0,,,
MERS,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,rank(P*E) + SlidingTest(p=0.05),0.0879,False,0.0,,,
Norovirus,PAHD-Weighted,E*rare + Wavelet(t=1.0),0.2168,P*E*rare + GradPeak(p=0.5),0.438,False,0.495,,,
RSV,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,P*E + FreqThresh(p=95),0.2494,False,0.0,,,
SARS-CoV-2,PAHD-Weighted,"E_only + SWAN(w=10,k=1.5)",0.0,"E*rare + CUSUM(d=0.5,h=4.0)",0.1184,False,0.0,,,
Dengue,PAHD-Family,H-score + Wavelet(t=1.5),-0.0123,E*rare + FreqThresh(p=80),0.2563,False,-0.048,,,Wavelet
H3N2,PAHD-Family,H-score + Wavelet(t=1.5),0.2073,E_only + SlidingTest(p=0.05),0.5488,False,0.3777,,,Wavelet
HCV,PAHD-Family,E_only + SlidingTest(p=0.05),-0.2905,"E_only + CUSUM(d=0.5,h=5.0)",0.4425,False,-0.6565,,,SlidingTest
HIV-1,PAHD-Family,H-score + Wavelet(t=1.5),0.0138,E*rare + SlidingTest(p=0.01),0.1816,False,0.076,,,Wavelet
Influenza_B,PAHD-Family,E_only + SlidingTest(p=0.05),-0.1902,H-score + Wavelet(t=2.0),0.3612,False,-0.5266,,,SlidingTest
MERS,PAHD-Family,P*E*rare + AdaptiveKnee,-0.0123,rank(P*E) + SlidingTest(p=0.05),0.0879,False,-0.1399,,,AdaptiveKnee
Norovirus,PAHD-Family,E*rare + Wavelet(t=1.0),0.2168,P*E*rare + GradPeak(p=0.5),0.438,False,0.495,,,Wavelet
RSV,PAHD-Family,minority_E + SlidingTest(p=0.01),0.069,P*E + FreqThresh(p=95),0.2494,False,0.2767,,,SlidingTest
SARS-CoV-2,PAHD-Family,P*E*rare + GradPeak(p=0.5),0.0446,"E*rare + CUSUM(d=0.5,h=4.0)",0.1184,False,0.3767,,,GradPeak
