,freq+SlidingTest,dnds_proxy+SlidingTest,entropy+SlidingTest,dnds_proxy+Wavelet,entropy+KDE,dnds_proxy+KDE,freq+SWAN,freq+KDE,dnds_proxy+SWAN,freq+Wavelet,freq+AdaptWin,homoplasy+KDE,entropy+SWAN,entropy+AdaptWin,dnds_proxy+AdaptWin,fubar_pos_sel+KDE,entropy+Wavelet,EqualWeight+FreqThresh,homoplasy+AdaptiveKnee,freq+FreqThresh
freq+SlidingTest,1.0,0.999999999999996,0.9999999995707699,0.9999999992263137,0.9999999997670954,1.0,0.9999999999999988,0.9999998944250893,1.0,0.9999999992263137,0.9999999999843425,0.999999999992591,0.9999999999999639,1.0,1.0,0.9999139563386467,0.9998620369515077,0.999999971627678,1.0,0.999999999992591
dnds_proxy+SlidingTest,0.999999999999996,1.0,0.9999999999999997,0.9999999999999988,0.9999999999999999,1.0,0.9999999992263137,0.9999999999843425,0.9999999999966117,0.9999999999999988,0.9999998944250893,0.9999999309711003,1.0,0.9999999999999988,1.0,0.9999992580318952,0.9999984951865015,0.9999999999985068,1.0,1.0
entropy+SlidingTest,0.9999999995707699,0.9999999999999997,1.0,1.0,1.0,0.9999999999997441,0.999999486634083,1.0,0.9999999821874348,1.0,0.9999864067770079,0.9999898359457394,1.0,0.9999999997670954,0.999999999992591,0.9999999986342019,0.9999999959825918,1.0,0.9999999999997441,1.0
dnds_proxy+Wavelet,0.9999999992263137,0.9999999999999988,1.0,1.0,1.0,0.999999999999368,0.9999992580318952,1.0,0.999999971627678,1.0,0.9999819512265299,0.9999864067770079,0.9999999999999999,0.9999999995707699,0.9999999999843425,0.9999999992263137,0.9999999976357916,1.0,0.999999999999368,1.0
entropy+KDE,0.9999999997670954,0.9999999999999999,1.0,1.0,1.0,0.9999999999999013,0.9999996484701476,1.0,0.9999999889826188,1.0,0.9999898359457394,0.9999924564427263,1.0,0.9999999998765808,0.9999999999966117,0.9999999976357916,0.9999999932917586,1.0,0.9999999999999013,1.0
dnds_proxy+KDE,1.0,1.0,0.9999999999997441,0.999999999999368,0.9999999999999013,1.0,0.9999999999843425,0.9999999992263137,0.9999999999999876,0.999999999999368,0.9999999932917586,0.9999999959825918,1.0,1.0,1.0,0.9999944442945821,0.9999898359457394,0.9999999998765808,1.0,0.9999999999999997
freq+SWAN,0.9999999999999988,0.9999999992263137,0.999999486634083,0.9999992580318952,0.9999996484701476,0.9999999999843425,1.0,0.9999819512265299,1.0,0.9999992580318952,1.0,1.0,0.9999999976357916,0.999999999999996,0.999999999999368,0.998177567310282,0.9974597334722313,0.9999924564427263,0.9999999999843425,0.9999999554447252
freq+KDE,0.9999998944250893,0.9999999999843425,1.0,1.0,1.0,0.9999999992263137,0.9999819512265299,1.0,0.9999984951865015,1.0,0.9997836001885932,0.999826751034936,0.9999999999966117,0.9999999309711003,0.9999999932917586,0.999999999999368,0.9999999999966117,1.0,0.9999999992263137,0.9999999999999876
dnds_proxy+SWAN,1.0,0.9999999999966117,0.9999999821874348,0.999999971627678,0.9999999889826188,0.9999999999999876,1.0,0.9999984951865015,1.0,0.999999971627678,0.9999999999999639,0.9999999999999876,0.9999999999843425,1.0,0.9999999999999999,0.9995910251770705,0.9993898185472,0.999999486634083,0.9999999999999876,0.9999999992263137
freq+Wavelet,0.9999999992263137,0.9999999999999988,1.0,1.0,1.0,0.999999999999368,0.9999992580318952,1.0,0.999999971627678,1.0,0.9999819512265299,0.9999864067770079,0.9999999999999999,0.9999999995707699,0.9999999999843425,0.9999999992263137,0.9999999976357916,1.0,0.999999999999368,1.0
freq+AdaptWin,0.9999999999843425,0.9999998944250893,0.9999864067770079,0.9999819512265299,0.9999898359457394,0.9999999932917586,1.0,0.9997836001885932,0.9999999999999639,0.9999819512265299,1.0,1.0,0.9999997618773212,0.9999999999679375,0.9999999992263137,0.9916987923459624,0.9892012334741296,0.999890738240008,0.9999999932917586,0.9999978867751395
homoplasy+KDE,0.999999999992591,0.9999999309711003,0.9999898359457394,0.9999864067770079,0.9999924564427263,0.9999999959825918,1.0,0.999826751034936,0.9999999999999876,0.9999864067770079,1.0,1.0,0.9999998405077886,0.9999999999843425,0.9999999995707699,0.9927559155123484,0.9905173769685727,0.9999139563386467,0.9999999959825918,0.9999984951865015
entropy+SWAN,0.9999999999999639,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999976357916,0.9999999999966117,0.9999999999843425,0.9999999999999999,0.9999997618773212,0.9999998405077886,1.0,0.9999999999999876,1.0,0.9999996484701476,0.9999992580318952,0.9999999999997441,1.0,1.0
entropy+AdaptWin,1.0,0.9999999999999988,0.9999999997670954,0.9999999995707699,0.9999999998765808,1.0,0.999999999999996,0.9999999309711003,1.0,0.9999999995707699,0.9999999999679375,0.9999999999843425,0.9999999999999876,1.0,1.0,0.9999326335353765,0.999890738240008,0.9999999821874348,1.0,0.9999999999966117
dnds_proxy+AdaptWin,1.0,1.0,0.999999999992591,0.9999999999843425,0.9999999999966117,1.0,0.999999999999368,0.9999999932917586,0.9999999999999999,0.9999999999843425,0.9999999992263137,0.9999999995707699,1.0,1.0,1.0,0.9999819512265299,0.999968832533383,0.9999999986342019,1.0,0.9999999999999639
fubar_pos_sel+KDE,0.9999139563386467,0.9999992580318952,0.9999999986342019,0.9999999992263137,0.9999999976357916,0.9999944442945821,0.998177567310282,0.999999999999368,0.9995910251770705,0.9999999992263137,0.9916987923459624,0.9927559155123484,0.9999996484701476,0.9999326335353765,0.9999819512265299,1.0,1.0,0.999999999992591,0.9999944442945821,0.999999971627678
entropy+Wavelet,0.9998620369515077,0.9999984951865015,0.9999999959825918,0.9999999976357916,0.9999999932917586,0.9999898359457394,0.9974597334722313,0.9999999999966117,0.9993898185472,0.9999999976357916,0.9892012334741296,0.9905173769685727,0.9999992580318952,0.999890738240008,0.999968832533383,1.0,1.0,0.9999999999679375,0.9999898359457394,0.9999999309711003
EqualWeight+FreqThresh,0.999999971627678,0.9999999999985068,1.0,1.0,1.0,0.9999999998765808,0.9999924564427263,1.0,0.999999486634083,1.0,0.999890738240008,0.9999139563386467,0.9999999999997441,0.9999999821874348,0.9999999986342019,0.999999999992591,0.9999999999679375,1.0,0.9999999998765808,0.9999999999999997
homoplasy+AdaptiveKnee,1.0,1.0,0.9999999999997441,0.999999999999368,0.9999999999999013,1.0,0.9999999999843425,0.9999999992263137,0.9999999999999876,0.999999999999368,0.9999999932917586,0.9999999959825918,1.0,1.0,1.0,0.9999944442945821,0.9999898359457394,0.9999999998765808,1.0,0.9999999999999997
freq+FreqThresh,0.999999999992591,1.0,1.0,1.0,1.0,0.9999999999999997,0.9999999554447252,0.9999999999999876,0.9999999992263137,1.0,0.9999978867751395,0.9999984951865015,1.0,0.9999999999966117,0.9999999999999639,0.999999971627678,0.9999999309711003,0.9999999999999997,0.9999999999999997,1.0
