pathogen,top_k_combos,mean_precision,mean_recall,mean_n_detected,best_mcc,gt_size
Dengue,1,0.1569,0.6667,102.0,0.2563,24
Dengue,5,0.1585,0.625,97.0,0.2563,24
Dengue,10,0.145,0.625,107.9,0.2563,24
H3N2,1,0.3333,1.0,75.0,0.5488,25
H3N2,5,0.2533,0.96,99.8,0.5488,25
H3N2,10,0.2416,0.848,92.9,0.5488,25
HCV,1,0.6216,0.4259,37.0,0.4425,54
HCV,5,0.5661,0.4074,40.6,0.4425,54
HCV,10,0.5291,0.3574,38.9,0.4425,54
HIV-1,1,0.0894,0.913,235.0,0.1816,23
HIV-1,5,0.0871,0.8956,236.4,0.1816,23
HIV-1,10,0.0794,0.9478,278.6,0.1816,23
Influenza_B,1,0.1892,0.8235,74.0,0.3612,17
Influenza_B,5,0.1494,0.8941,104.2,0.3612,17
Influenza_B,10,0.1328,0.8706,120.5,0.3612,17
MERS,1,0.0179,0.7778,390.0,0.0879,9
MERS,5,0.0154,0.8222,511.0,0.0879,9
MERS,10,0.0146,0.7556,491.5,0.0879,9
Norovirus,1,0.2895,0.7333,38.0,0.438,15
Norovirus,5,0.3361,0.56,26.0,0.438,15
Norovirus,10,0.3077,0.58,29.7,0.438,15
RSV,1,0.6667,0.1,3.0,0.2494,20
RSV,5,0.6,0.12,4.8,0.2494,20
RSV,10,0.4667,0.11,5.4,0.2494,20
SARS-CoV-2,1,0.0896,0.24,67.0,0.1184,25
SARS-CoV-2,5,0.2064,0.12,29.8,0.1184,25
SARS-CoV-2,10,0.1501,0.16,55.4,0.1184,25
