method,null_type,metric,n_pathogens_valid,n_pathogens_total,n_significant_at_0.05_one_sided,stouffer_z_one_sided,stouffer_p_one_sided,min_p_one_sided,max_p_one_sided
4-core,sasa_strat,mcc,12,12,5,-inf,1.0,9.99990000099999e-06,1.0
4-core,sasa_strat,window_mcc,12,12,1,-inf,1.0,0.03541964580354196,1.0
4-core,sasa_strat,p20,12,12,3,-inf,1.0,0.000949990500094999,1.0
4-core,sasa_strat,enrichment,12,12,5,-inf,1.0,9.99990000099999e-06,1.0
4-core,plddt_strat,mcc,12,12,5,-inf,1.0,9.99990000099999e-06,1.0
4-core,plddt_strat,window_mcc,12,12,1,-inf,1.0,0.015269847301526985,1.0
4-core,plddt_strat,p20,12,12,2,-inf,1.0,0.0003599964000359996,1.0
4-core,plddt_strat,enrichment,12,12,5,-inf,1.0,9.99990000099999e-06,1.0
4-core,sasa_freq_joint,mcc,12,12,4,-inf,1.0,9.99990000099999e-06,1.0
4-core,sasa_freq_joint,window_mcc,12,12,0,-inf,1.0,0.07670923290767093,1.0
4-core,sasa_freq_joint,p20,12,12,2,-inf,1.0,0.007649923500764992,1.0
4-core,sasa_freq_joint,enrichment,12,12,4,-inf,1.0,9.99990000099999e-06,1.0
4-core,plddt_ent_joint,mcc,12,12,4,-inf,1.0,9.99990000099999e-06,1.0
4-core,plddt_ent_joint,window_mcc,12,12,1,-inf,1.0,0.04073959260407396,1.0
4-core,plddt_ent_joint,p20,12,12,2,-inf,1.0,0.006199938000619994,1.0
4-core,plddt_ent_joint,enrichment,12,12,4,-inf,1.0,9.99990000099999e-06,1.0
3-core,sasa_strat,mcc,12,12,5,-inf,1.0,9.99990000099999e-06,1.0
3-core,sasa_strat,window_mcc,12,12,1,-inf,1.0,0.04390956090439096,1.0
3-core,sasa_strat,p20,12,12,4,-inf,1.0,0.0007299927000729993,1.0
3-core,sasa_strat,enrichment,12,12,5,-inf,1.0,9.99990000099999e-06,1.0
3-core,plddt_strat,mcc,12,12,3,-inf,1.0,9.99990000099999e-06,1.0
3-core,plddt_strat,window_mcc,12,12,1,-inf,1.0,0.025899741002589974,1.0
3-core,plddt_strat,p20,12,12,4,-inf,1.0,0.00047999520004799953,1.0
3-core,plddt_strat,enrichment,12,12,3,-inf,1.0,9.99990000099999e-06,1.0
3-core,sasa_freq_joint,mcc,12,12,4,-inf,1.0,9.99990000099999e-06,1.0
3-core,sasa_freq_joint,window_mcc,12,12,0,-inf,1.0,0.17696823031769682,1.0
3-core,sasa_freq_joint,p20,12,12,3,-inf,1.0,0.007329926700732993,1.0
3-core,sasa_freq_joint,enrichment,12,12,4,-inf,1.0,9.99990000099999e-06,1.0
3-core,plddt_ent_joint,mcc,12,12,3,-inf,1.0,9.99990000099999e-06,1.0
3-core,plddt_ent_joint,window_mcc,12,12,0,-inf,1.0,0.06872931270687294,1.0
3-core,plddt_ent_joint,p20,12,12,4,-inf,1.0,0.006389936100638993,1.0
3-core,plddt_ent_joint,enrichment,12,12,3,-inf,1.0,9.99990000099999e-06,1.0
