pathogen,feature,auc,spearman_rho,p_value,n_positions,n_layer_a
SARS-CoV-2,freq,0.5216,0.0315,0.264489,1259,25
SARS-CoV-2,entropy,0.5215,0.0314,0.265926,1259,25
SARS-CoV-2,rare_freq,0.5225,0.0334,0.235976,1259,25
SARS-CoV-2,homoplasy,0.4906,-0.0066,0.813749,1259,25
SARS-CoV-2,esm2_llr,0.586,0.0416,0.140381,1259,25
SARS-CoV-2,plddt,0.5128,0.0062,0.826817,1259,25
H3N2,freq,0.5478,0.0347,0.419126,543,25
H3N2,entropy,0.5334,0.0242,0.572863,543,25
H3N2,rare_freq,0.535,0.0255,0.553872,543,25
H3N2,homoplasy,0.6388,0.103,0.016366,543,25
H3N2,esm2_llr,0.4051,-0.0689,0.10878,543,25
H3N2,plddt,0.787,0.2084,1e-06,543,25
Norovirus,freq,0.7598,0.154,0.000347,536,15
Norovirus,entropy,0.7624,0.1554,0.000304,536,15
Norovirus,rare_freq,0.6436,0.086,0.046693,536,15
Norovirus,homoplasy,0.9435,0.2555,0.0,536,15
Norovirus,esm2_llr,0.7629,0.1502,0.000485,536,15
Norovirus,plddt,0.6743,0.0996,0.021082,536,15
HIV-1,freq,0.7132,0.163,0.000518,450,23
HIV-1,entropy,0.7297,0.1755,0.000183,450,23
HIV-1,rare_freq,0.5921,0.0744,0.11516,450,23
HIV-1,homoplasy,0.686,0.1419,0.002552,450,23
HIV-1,esm2_llr,0.3386,-0.1232,0.008915,450,23
HIV-1,plddt,0.3587,-0.1081,0.021872,450,23
Dengue,freq,0.5771,0.0582,0.198293,490,24
Dengue,entropy,0.5774,0.0584,0.196522,490,24
Dengue,rare_freq,0.5482,0.0373,0.410453,490,24
Dengue,homoplasy,0.7697,0.2037,5e-06,490,24
Dengue,esm2_llr,0.5207,0.0155,0.732012,490,24
Dengue,plddt,0.6776,0.1328,0.003225,490,24
RSV,freq,0.262,-0.1548,0.000268,550,20
RSV,entropy,0.2627,-0.1544,0.000279,550,20
RSV,rare_freq,0.2583,-0.1573,0.000213,550,20
RSV,homoplasy,0.503,0.002,0.962687,550,20
RSV,esm2_llr,0.2836,-0.1403,0.000967,550,20
RSV,plddt,0.5612,0.0397,0.352975,550,20
Influenza_B,freq,0.7835,0.1689,5.9e-05,560,17
Influenza_B,entropy,0.7731,0.1626,0.000111,560,17
Influenza_B,rare_freq,0.6406,0.0838,0.047553,560,17
Influenza_B,homoplasy,0.8053,0.1831,1.3e-05,560,17
Influenza_B,esm2_llr,0.5867,0.0515,0.223326,560,17
Influenza_B,plddt,0.4864,-0.0081,0.848624,560,17
MERS,freq,0.5146,0.0043,0.875766,1330,9
MERS,entropy,0.5438,0.0125,0.64961,1330,9
MERS,rare_freq,0.6646,0.0474,0.083903,1330,9
MERS,homoplasy,0.6813,0.0516,0.060011,1330,9
MERS,esm2_llr,0.6948,0.0553,0.043717,1330,9
MERS,plddt,0.1619,-0.0962,0.000441,1330,9
HCV,freq,0.677,0.2265,2.5e-05,340,54
HCV,entropy,0.6763,0.2248,2.9e-05,340,54
HCV,rare_freq,0.4235,-0.1003,0.064661,340,54
HCV,homoplasy,0.4048,-0.1206,0.026132,340,54
HCV,esm2_llr,0.4474,-0.0667,0.220247,340,54
HCV,plddt,0.4735,-0.0338,0.534386,340,54
