target,query_id,query,pmid,publication_year,journal,title,query_date_utc,truncated
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1331520,1992,Journal of virology,Characterization of lymphocytic choriomeningitis virus-binding protein(s): a candidate cellular receptor for the virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1384241,1992,Voprosy virusologii,[The immunogenic activity of the Lassa virus structural proteins].,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1701079,1990,Archives of virology,Lassa virus glycoproteins: antigenic and immunogenic properties of synthetic peptides to GP1.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1701987,1990,Archives of virology,Assessment of the specificity of cytotoxic T lymphocytes for the nucleoprotein of Pichinde virus using recombinant vaccinia viruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1706408,1991,The Journal of general virology,Antigenic relatedness between arenaviruses defined at the epitope level by monoclonal antibodies.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1712856,1991,Journal of virology,Isolation of an arenavirus from a marmoset with callitrichid hepatitis and its serologic association with disease.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",1912065,1991,"Biokhimiia (Moscow, Russia)","[Fusion of artificial lipid membranes induced by synthetic ""fusion peptide"" of arenaviruses].",2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",2138558,1990,European journal of immunology,Preferential usage of V alpha 4 and V beta 10 T cell receptor genes by lymphocytic choriomeningitis virus glycoprotein-specific H-2Db-restricted cytotoxic T cells.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",2426862,1986,Virology,Proteins of lymphocytic choriomeningitis virus: antigenic topography of the viral glycoproteins.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",2452517,1988,Virology,Fine mapping of a peptide sequence containing an antigenic site conserved among arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",2467990,1989,Journal of virology,Polymorphism of cytotoxic T-lymphocyte clones that recognize a defined nine-amino-acid immunodominant domain of lymphocytic choriomeningitis virus glycoprotein.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",2474891,1989,Virology,Neutralizing epitopes of lymphocytic choriomeningitis virus are conformational and require both glycosylation and disulfide bonds for expression.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",3546729,1987,Journal of virology,Site-specific antibodies define a cleavage site conserved among arenavirus GP-C glycoproteins.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",6444319,1980,"Journal of immunology (Baltimore, Md. : 1950)",Virus-induced immune complex disease: specific anti-viral antibody and C1q binding material in the circulation during persistent lymphocytic choriomeningitis virus infection.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",6636539,1983,Virology,Lymphocytic choriomeningitis virus. VI. Isolation of a glycoprotein mediating neutralization.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",6684173,1983,Journal of virology,Viral proteins and RNAs in BHK cells persistently infected by lymphocytic choriomeningitis virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",7494247,1995,Journal of virology,Discriminated selection among viral peptides with the appropriate anchor residues: implications for the size of the cytotoxic T-lymphocyte repertoire and control of viral infection.,2026-05-01T06:38:30Z,0
