fold,pathogen,family,is_singleton_family,n_test,n_positive,mcc_hbfws,mcc_eq4,mcc_eq10,delta_hbfws_vs_eq4,rhat_max,ess_bulk_min
0,SARS-CoV-2,Coronaviridae,False,1259,25,0.04739066884256888,-0.009523339493959788,0.0663620049547451,0.05691400833652867,1.0060630875146883,915.49956993013
1,H3N2,Orthomyxoviridae,False,543,25,0.10100065263293784,0.15925169286627322,0.13012617274960553,-0.05825104023333538,1.0042659162872811,853.723900129564
2,Norovirus,Caliciviridae,True,536,15,0.24386231229855965,0.4317723171749656,0.31902631424912203,-0.18791000487640597,1.0048870578956366,883.6850603024014
3,HIV-1,Retroviridae,True,450,23,0.1244522101975853,-0.010090719745750161,0.057180745225917574,0.13454292994333547,1.0031585484170777,889.8415351587952
4,Dengue,Flaviviridae,False,490,24,-0.01260782457453723,0.14498998260717816,0.14498998260717816,-0.1575978071817154,1.0031892505449322,1073.0773904323053
5,RSV,Pneumoviridae,True,550,20,-0.06475239082381762,-0.06475239082381762,-0.06475239082381762,0.0,1.0042849449774676,1021.668942011832
6,Influenza_B,Orthomyxoviridae,False,560,17,0.11449019885209608,0.21857219780854706,0.18387819815639672,-0.10408199895645098,1.0041585360149157,886.9726572707166
7,MERS,Coronaviridae,False,1330,9,0.003057074917215283,-0.027513674254937545,0.003057074917215283,0.030570749172152828,1.0040219300522084,743.3866944759657
8,HCV,Flaviviridae,False,340,54,0.28431823475576873,0.15020585987097215,0.17702833484793146,0.13411237488479658,1.0079173899946383,810.1926887402819
9,Zika,Flaviviridae,False,452,27,-0.02308864363138913,-0.02308864363138913,-0.02308864363138913,0.0,1.0040763919072608,861.0596859219714
10,Rabies,Rhabdoviridae,True,491,39,-0.047545018244421,-0.047545018244421,-0.047545018244421,0.0,1.0035360599717096,1132.1056579241247
11,EV-A71,Picornaviridae,True,261,27,-0.07097872169342455,0.013036908066139202,0.055044722945921075,-0.08401562975956375,1.0069052503348475,922.3704033255032
