pathogen,method,diagnostic,passed
SARS-CoV-2,3-core,d1,0
SARS-CoV-2,3-core,d2,0
SARS-CoV-2,3-core,d3,1
SARS-CoV-2,3-core,d4,1
SARS-CoV-2,3-core,inversion,1
SARS-CoV-2,4-core,d1,0
SARS-CoV-2,4-core,d2,0
SARS-CoV-2,4-core,d3,0
SARS-CoV-2,4-core,d4,1
SARS-CoV-2,4-core,inversion,1
H3N2,3-core,d1,0
H3N2,3-core,d2,0
H3N2,3-core,d3,1
H3N2,3-core,d4,1
H3N2,3-core,inversion,1
H3N2,4-core,d1,0
H3N2,4-core,d2,0
H3N2,4-core,d3,0
H3N2,4-core,d4,1
H3N2,4-core,inversion,1
Norovirus,3-core,d1,0
Norovirus,3-core,d2,0
Norovirus,3-core,d3,0
Norovirus,3-core,d4,1
Norovirus,3-core,inversion,1
Norovirus,4-core,d1,0
Norovirus,4-core,d2,0
Norovirus,4-core,d3,0
Norovirus,4-core,d4,1
Norovirus,4-core,inversion,1
HIV-1,3-core,d1,0
HIV-1,3-core,d2,0
HIV-1,3-core,d3,1
HIV-1,3-core,d4,1
HIV-1,3-core,inversion,1
HIV-1,4-core,d1,0
HIV-1,4-core,d2,0
HIV-1,4-core,d3,0
HIV-1,4-core,d4,1
HIV-1,4-core,inversion,1
Dengue,3-core,d1,0
Dengue,3-core,d2,0
Dengue,3-core,d3,1
Dengue,3-core,d4,1
Dengue,3-core,inversion,1
Dengue,4-core,d1,0
Dengue,4-core,d2,0
Dengue,4-core,d3,0
Dengue,4-core,d4,1
Dengue,4-core,inversion,1
RSV,3-core,d1,0
RSV,3-core,d2,1
RSV,3-core,d3,1
RSV,3-core,d4,1
RSV,3-core,inversion,1
RSV,4-core,d1,0
RSV,4-core,d2,0
RSV,4-core,d3,0
RSV,4-core,d4,1
RSV,4-core,inversion,1
Influenza_B,3-core,d1,0
Influenza_B,3-core,d2,0
Influenza_B,3-core,d3,1
Influenza_B,3-core,d4,1
Influenza_B,3-core,inversion,1
Influenza_B,4-core,d1,0
Influenza_B,4-core,d2,0
Influenza_B,4-core,d3,0
Influenza_B,4-core,d4,1
Influenza_B,4-core,inversion,1
MERS,3-core,d1,0
MERS,3-core,d2,1
MERS,3-core,d3,1
MERS,3-core,d4,0
MERS,3-core,inversion,1
MERS,4-core,d1,0
MERS,4-core,d2,1
MERS,4-core,d3,1
MERS,4-core,d4,0
MERS,4-core,inversion,0
HCV,3-core,d1,0
HCV,3-core,d2,0
HCV,3-core,d3,1
HCV,3-core,d4,1
HCV,3-core,inversion,1
HCV,4-core,d1,0
HCV,4-core,d2,0
HCV,4-core,d3,0
HCV,4-core,d4,1
HCV,4-core,inversion,1
Zika,3-core,d1,0
Zika,3-core,d2,1
Zika,3-core,d3,1
Zika,3-core,d4,1
Zika,3-core,inversion,1
Zika,4-core,d1,0
Zika,4-core,d2,0
Zika,4-core,d3,0
Zika,4-core,d4,1
Zika,4-core,inversion,1
Rabies,3-core,d1,0
Rabies,3-core,d2,1
Rabies,3-core,d3,1
Rabies,3-core,d4,1
Rabies,3-core,inversion,1
Rabies,4-core,d1,0
Rabies,4-core,d2,1
Rabies,4-core,d3,1
Rabies,4-core,d4,1
Rabies,4-core,inversion,1
EV-A71,3-core,d1,0
EV-A71,3-core,d2,0
EV-A71,3-core,d3,1
EV-A71,3-core,d4,1
EV-A71,3-core,inversion,1
EV-A71,4-core,d1,0
EV-A71,4-core,d2,0
EV-A71,4-core,d3,0
EV-A71,4-core,d4,1
EV-A71,4-core,inversion,1
