heldout_target,n_positions,n_layer_a_prime,prevalence,sign_freq,sign_entropy,mcc_top10,precision_at_20,top_bottom_decile_delta,top_bottom_decile_delta_ci_lo,top_bottom_decile_delta_ci_hi,n_top10_predicted,tp_top10
lassa_gpc,491,10,0.020366598778004074,-1,-1,0.0468026240616597,0.05,0.04,0.0,0.1,50,2
measles_virus_h,620,90,0.14516129032258066,-1,-1,-0.13736056394868904,0.0,-0.08064516129032258,-0.14516129032258066,-0.016129032258064516,62,0
mumps_virus_hn,582,14,0.024054982817869417,-1,-1,-0.0527308790589915,0.0,-0.01694915254237288,-0.05084745762711865,0.0,59,0
hcov-229e_spike,1173,157,0.13384484228473997,-1,-1,-0.13146730070622137,0.0,-0.1016949152542373,-0.16101694915254236,-0.05084745762711865,118,0
hcov-nl63_spike,1356,157,0.11578171091445427,-1,-1,-0.12081748013625335,0.0,-0.07352941176470588,-0.125,-0.029411764705882353,136,0
yfv_e,499,14,0.028056112224448898,-1,-1,-0.05669633426109881,0.0,0.0,0.0,0.0,50,0
wnv_e,501,14,0.027944111776447105,-1,-1,-0.05707926450723766,0.0,0.0,0.0,0.0,51,0
japanese_encephalitis_virus_e,506,14,0.02766798418972332,-1,-1,0.06359437348843675,0.0,0.0,-0.09803921568627451,0.09803921568627451,51,3
tick-borne_encephalitis_virus_e,496,14,0.028225806451612902,-1,-1,-0.05706345609666355,0.0,0.0,0.0,0.0,50,0
eastern_equine_encephalitis_virus_e2,420,10,0.023809523809523808,-1,-1,-0.052057920629535355,0.0,0.0,0.0,0.0,42,0
