approach,ground_truth,best_f1,best_threshold,precision,recall,enrichment_ratio,cohens_d
CH-score,Convergent evolution,0.18750000000000003,top20pct,0.12941176470588237,0.3402061855670103,1.698362644026683,0.21918037206354218
CH-score,Convergent strict,0.08917197452229299,top10pct,0.0546875,0.2413793103448276,2.400592672413793,-0.066519599557145
CH-score,DMS-escape (top20%),0.28603603603603606,median_nonzero,0.19968553459119498,0.503968253968254,1.0087289108515525,0.029757063849379248
CH-score,Functional regions,0.3944186046511628,median_nonzero,0.3333333333333333,0.48291571753986334,0.9665907365223994,0.006599864042020866
E-score,Convergent evolution,0.17613636363636362,top20pct,0.12156862745098039,0.31958762886597936,1.5954315746917322,0.23988640376096418
E-score,Convergent strict,0.07746478873239436,top20pct,0.043137254901960784,0.3793103448275862,1.893576741041244,0.14168867852200068
E-score,DMS-escape (top20%),0.28603603603603606,median_nonzero,0.19968553459119498,0.503968253968254,1.0087289108515525,0.0354310584065576
E-score,Functional regions,0.36837209302325574,median_nonzero,0.3113207547169811,0.4510250569476082,0.9027592727897881,-0.09056512929579943
Original H-score,Convergent evolution,0.08530805687203791,top10pct,0.07894736842105263,0.09278350515463918,1.036082474226804,0.016443758854994918
Original H-score,Convergent strict,0.05594405594405594,top10pct,0.03508771929824561,0.13793103448275862,1.5402298850574712,0.1792487803385876
Original H-score,DMS-escape (top20%),0.15300546448087432,top10pct,0.24561403508771928,0.1111111111111111,1.2407407407407407,0.09267306690253031
Original H-score,Functional regions,0.1338155515370705,top10pct,0.32456140350877194,0.08428246013667426,0.9411541381928626,-0.02788039230065861
Saturated H-score,Convergent evolution,0.1477272727272727,top20pct,0.10196078431372549,0.26804123711340205,1.338103901354356,-0.005740798157160593
Saturated H-score,Convergent strict,0.04225352112676056,top20pct,0.023529411764705882,0.20689655172413793,1.0328600405679513,-0.20845447166495606
Saturated H-score,DMS-escape (top20%),0.3153153153153153,median_nonzero,0.22012578616352202,0.5555555555555556,1.1119846261355697,0.20807464698226938
Saturated H-score,Functional regions,0.41302325581395355,median_nonzero,0.3490566037735849,0.5056947608200456,1.0121846391885503,0.018202101846684676
TC-freq,Convergent evolution,0.15340909090909088,top20pct,0.10588235294117647,0.27835051546391754,1.3895694360218314,0.10182066198824487
TC-freq,Convergent strict,0.06338028169014084,top20pct,0.03529411764705882,0.3103448275862069,1.5492900608519269,-0.12507653420810674
TC-freq,DMS-escape (top20%),0.28378378378378377,median_nonzero,0.19811320754716982,0.5,1.0007861635220128,0.036730821830590586
TC-freq,Functional regions,0.4204651162790698,median_nonzero,0.3553459119496855,0.5148063781321185,1.0304222002550107,0.03759506128132099
TC-freq-v2,Convergent evolution,0.1418826739427012,median_nonzero,0.08176100628930817,0.5360824742268041,1.0730078454256629,0.007605524155063803
TC-freq-v2,Convergent strict,0.0481203007518797,median_nonzero,0.025157232704402517,0.5517241379310345,1.1043157666449794,0.07960535050699676
TC-freq-v2,DMS-escape (top20%),0.28828828828828834,median_nonzero,0.20125786163522014,0.5079365079365079,1.0166716581810922,0.09994505772239447
TC-freq-v2,Functional regions,0.47441860465116287,median_nonzero,0.4009433962264151,0.5808656036446469,1.1626445179868485,0.185163464909365
TC-freq-v3,Convergent evolution,0.15279672578444747,median_nonzero,0.0880503144654088,0.5773195876288659,1.1555469104584062,0.23161695871714844
TC-freq-v3,Convergent strict,0.10752688172043011,top5pct,0.078125,0.1724137931034483,3.429418103448276,0.41582112496660006
TC-freq-v3,DMS-escape (top20%),0.268018018018018,median_nonzero,0.1871069182389937,0.4722222222222222,0.9451869322152341,-0.022841334449217474
TC-freq-v3,Functional regions,0.4167441860465116,median_nonzero,0.3522012578616352,0.510250569476082,1.0213034197217805,0.1344913167746134
dN/dS-weighted CH,Convergent evolution,0.17045454545454544,top20pct,0.11764705882352941,0.30927835051546393,1.543966040024257,0.19716105101967993
dN/dS-weighted CH,Convergent strict,0.07042253521126761,top20pct,0.0392156862745098,0.3448275862068966,1.7214334009465855,-0.07789136772626558
dN/dS-weighted CH,DMS-escape (top20%),0.28603603603603606,median_nonzero,0.19968553459119498,0.503968253968254,1.0087289108515525,0.035084903366286946
dN/dS-weighted CH,Functional regions,0.3888372093023256,median_nonzero,0.32861635220125784,0.4760820045558087,0.9529125657225541,0.009837609619356045
