fold,pathogen,mcc_eq4,mcc_eq10,mcc_xgb,mcc_rf,mcc_lr,mcc_alg_select,alg_select_feature,mcc_hbfws_phylo,mcc_rank_agg,rank_top_features
0,SARS-CoV-2,-0.009523339493959788,0.0663620049547451,-0.009523339493959788,-0.02849467560613601,0.009447996618216435,-0.02849467560613601,esm2_llr,0.009447996618216435,0.031123980590850808,"freq,semantic_change,rare_freq"
1,H3N2,0.15925169286627322,0.13012617274960553,0.07187513251627016,0.07187513251627016,0.10100065263293784,0.13254309806152284,homoplasy,0.10100065263293784,0.10100065263293784,"semantic_change,freq,rare_freq"
2,Norovirus,0.4317723171749656,0.31902631424912203,0.0935343083974349,0.05595230742215371,0.28144431327384084,0.4412263709674694,homoplasy,0.3566083152244032,0.1686983103479973,"rare_freq,semantic_change,dnds_proxy"
3,HIV-1,-0.010090719745750161,0.057180745225917574,0.057180745225917574,0.023545012740083707,0.09081647771175144,0.02960047239955861,homoplasy,0.1244522101975853,0.057180745225917574,"dnds_proxy,rare_freq,semantic_change"
4,Dengue,0.14498998260717816,0.14498998260717816,0.05043129829814892,0.05043129829814892,-0.01260782457453723,0.11347042117083507,esm2_llr,-0.01260782457453723,0.05043129829814892,"semantic_change,dnds_proxy,rare_freq"
5,RSV,-0.06475239082381762,-0.06475239082381762,0.0,0.0,-0.03237619541190881,-0.012138448466273424,homoplasy,-0.06475239082381762,-0.06475239082381762,"semantic_change,freq,rare_freq"
6,Influenza_B,0.21857219780854706,0.18387819815639672,-0.02428579975650523,0.07979619919994575,0.07979619919994575,0.20608279598885856,homoplasy,0.1491841985042464,0.18387819815639672,"semantic_change,rare_freq,dnds_proxy"
7,MERS,-0.027513674254937545,0.003057074917215283,-0.027513674254937545,-0.027513674254937545,0.003057074917215283,-0.02527292357765517,homoplasy,-0.027513674254937545,0.003057074917215283,"freq,semantic_change,rare_freq"
8,HCV,0.15020585987097215,0.17702833484793146,0.15020585987097215,0.17702833484793146,0.20385080982489076,-0.09119641492166165,semantic_change,0.20385080982489076,0.20385080982489076,"semantic_change,rare_freq,freq"
9,Zika,-0.02308864363138913,-0.02308864363138913,-0.02308864363138913,0.007787294005853139,0.007787294005853139,-0.02665745333667786,homoplasy,-0.02308864363138913,0.007787294005853139,"freq,rare_freq,semantic_change"
10,Rabies,-0.047545018244421,-0.047545018244421,-0.07267376308619786,-0.07267376308619786,-0.07267376308619786,-0.08983892794309031,homoplasy,-0.07267376308619786,-0.047545018244421,"semantic_change,freq,dnds_proxy"
11,EV-A71,0.013036908066139202,0.055044722945921075,-0.07097872169342455,-0.11298653657320641,0.013036908066139202,0.14593581486384322,homoplasy,0.013036908066139202,0.055044722945921075,"freq,dnds_proxy,semantic_change"
