pathogen,fraction,n_sequences,repeat,score,detector,mcc
SARS-CoV-2,0.25,1245,0,E*rare,Wavelet(t=1.5),0.0292
SARS-CoV-2,0.25,1245,0,E*rare,FreqThresh(p=85),-0.0739
SARS-CoV-2,0.25,1245,0,E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,0,E*rare,KDE(p=80),-0.0712
SARS-CoV-2,0.25,1245,0,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.25,1245,0,P*E*rare,FreqThresh(p=85),-0.0739
SARS-CoV-2,0.25,1245,0,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,0,P*E*rare,KDE(p=80),-0.0285
SARS-CoV-2,0.25,1245,0,P*E,Wavelet(t=1.5),-0.0283
SARS-CoV-2,0.25,1245,0,P*E,FreqThresh(p=85),-0.0719
SARS-CoV-2,0.25,1245,0,P*E,KDE(p=80),-0.0712
SARS-CoV-2,0.25,1245,0,H-score,Wavelet(t=1.5),-0.0355
SARS-CoV-2,0.25,1245,0,H-score,FreqThresh(p=85),-0.0719
SARS-CoV-2,0.25,1245,0,H-score,KDE(p=80),-0.0285
SARS-CoV-2,0.25,1245,0,E_only,Wavelet(t=1.5),-0.0329
SARS-CoV-2,0.25,1245,0,E_only,FreqThresh(p=85),-0.0719
SARS-CoV-2,0.25,1245,0,E_only,KDE(p=80),-0.0712
SARS-CoV-2,0.25,1245,1,E*rare,Wavelet(t=1.5),0.1355
SARS-CoV-2,0.25,1245,1,E*rare,FreqThresh(p=85),0.0501
SARS-CoV-2,0.25,1245,1,E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,1,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,0.25,1245,1,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.25,1245,1,P*E*rare,FreqThresh(p=85),0.0501
SARS-CoV-2,0.25,1245,1,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,1,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.25,1245,1,P*E,Wavelet(t=1.5),0.0151
SARS-CoV-2,0.25,1245,1,P*E,FreqThresh(p=85),0.0097
SARS-CoV-2,0.25,1245,1,P*E,KDE(p=80),0.1422
SARS-CoV-2,0.25,1245,1,H-score,Wavelet(t=1.5),0.0052
SARS-CoV-2,0.25,1245,1,H-score,FreqThresh(p=85),0.0097
SARS-CoV-2,0.25,1245,1,H-score,KDE(p=80),0.0142
SARS-CoV-2,0.25,1245,1,E_only,Wavelet(t=1.5),-0.0002
SARS-CoV-2,0.25,1245,1,E_only,FreqThresh(p=85),0.0097
SARS-CoV-2,0.25,1245,1,E_only,KDE(p=80),0.0569
SARS-CoV-2,0.25,1245,2,E*rare,Wavelet(t=1.5),0.0555
SARS-CoV-2,0.25,1245,2,E*rare,FreqThresh(p=85),0.0124
SARS-CoV-2,0.25,1245,2,E*rare,"SWAN(w=10,k=1.5)",0.092
SARS-CoV-2,0.25,1245,2,E*rare,KDE(p=80),0.0853
SARS-CoV-2,0.25,1245,2,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.25,1245,2,P*E*rare,FreqThresh(p=85),0.0124
SARS-CoV-2,0.25,1245,2,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,2,P*E*rare,KDE(p=80),0.0711
SARS-CoV-2,0.25,1245,2,P*E,Wavelet(t=1.5),0.0111
SARS-CoV-2,0.25,1245,2,P*E,FreqThresh(p=85),0.0115
SARS-CoV-2,0.25,1245,2,P*E,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,2,P*E,KDE(p=80),0.0284
SARS-CoV-2,0.25,1245,2,H-score,Wavelet(t=1.5),0.02
SARS-CoV-2,0.25,1245,2,H-score,FreqThresh(p=85),0.0115
SARS-CoV-2,0.25,1245,2,H-score,"SWAN(w=10,k=1.5)",0.0356
SARS-CoV-2,0.25,1245,2,H-score,KDE(p=80),0.0711
SARS-CoV-2,0.25,1245,2,E_only,Wavelet(t=1.5),0.0289
SARS-CoV-2,0.25,1245,2,E_only,FreqThresh(p=85),0.0115
SARS-CoV-2,0.25,1245,2,E_only,"SWAN(w=10,k=1.5)",0.0747
SARS-CoV-2,0.25,1245,2,E_only,KDE(p=80),0.0853
SARS-CoV-2,0.25,1245,3,E*rare,Wavelet(t=1.5),0.1021
SARS-CoV-2,0.25,1245,3,E*rare,FreqThresh(p=85),0.027
SARS-CoV-2,0.25,1245,3,E*rare,"SWAN(w=10,k=1.5)",0.0161
SARS-CoV-2,0.25,1245,3,E*rare,KDE(p=80),0.128
SARS-CoV-2,0.25,1245,3,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.25,1245,3,P*E*rare,FreqThresh(p=85),0.027
SARS-CoV-2,0.25,1245,3,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,3,P*E*rare,KDE(p=80),0.0711
SARS-CoV-2,0.25,1245,3,P*E,Wavelet(t=1.5),0.0517
