rank,combo_id,features,f1,f2,f3,f4,lopo_mean_mcc,paired_delta_vs_full10,retention_ratio_vs_full10,is_core_4
1,12,"freq,entropy,homoplasy,semantic_change",freq,entropy,homoplasy,semantic_change,0.09498882718415598,0.02523449818032121,1.3617624675155853,False
2,57,"freq,homoplasy,plddt,semantic_change",freq,homoplasy,plddt,semantic_change,0.09262141121698632,0.022867082213151563,1.327823126388248,False
3,60,"freq,homoplasy,sasa,semantic_change",freq,homoplasy,sasa,semantic_change,0.08762629813949331,0.017871969135658566,1.2562130464286458,False
4,9,"freq,entropy,homoplasy,sasa",freq,entropy,homoplasy,sasa,0.08695902508164888,0.017204696077814118,1.2466470013189903,False
5,115,"entropy,homoplasy,sasa,dnds_proxy",entropy,homoplasy,sasa,dnds_proxy,0.08639125362257599,0.016636924618741243,1.2385074138957974,False
6,11,"freq,entropy,homoplasy,dnds_proxy",freq,entropy,homoplasy,dnds_proxy,0.08569569473334308,0.015941365729508335,1.228535862320917,False
7,0,"freq,entropy,rare_freq,homoplasy",freq,entropy,rare_freq,homoplasy,0.08559537987992773,0.015841050876092982,1.2270977457932697,False
8,119,"entropy,homoplasy,dnds_proxy,semantic_change",entropy,homoplasy,dnds_proxy,semantic_change,0.08556677200149922,0.01581244299766446,1.226687622452725,False
9,54,"freq,homoplasy,plddt,sasa",freq,homoplasy,plddt,sasa,0.08471110014330446,0.014956771139469714,1.2144206869031378,False
10,63,"freq,homoplasy,dnds_proxy,semantic_change",freq,homoplasy,dnds_proxy,semantic_change,0.08391589840633552,0.01416156940250078,1.203020652692713,False
11,59,"freq,homoplasy,sasa,dnds_proxy",freq,homoplasy,sasa,dnds_proxy,0.08284412659529755,0.013089797591462797,1.1876557022108718,False
12,10,"freq,entropy,homoplasy,grantham",freq,entropy,homoplasy,grantham,0.08095962543629684,0.011205296432462089,1.1606394412000733,False
13,8,"freq,entropy,homoplasy,plddt",freq,entropy,homoplasy,plddt,0.0808818486287735,0.011127519624938744,1.1595244307249664,True
14,89,"entropy,rare_freq,homoplasy,semantic_change",entropy,rare_freq,homoplasy,semantic_change,0.08038604597525346,0.010631716971418704,1.1524165900991497,False
15,33,"freq,rare_freq,homoplasy,semantic_change",freq,rare_freq,homoplasy,semantic_change,0.07979184195854001,0.010037512954705273,1.143898064794709,False
16,106,"entropy,homoplasy,esm2_llr,sasa",entropy,homoplasy,esm2_llr,sasa,0.07934776684087878,0.009593437837044033,1.1375317915611607,False
17,186,"homoplasy,plddt,sasa,dnds_proxy",homoplasy,plddt,sasa,dnds_proxy,0.07925559858231183,0.009501269578477065,1.1362104648437625,False
18,109,"entropy,homoplasy,esm2_llr,semantic_change",entropy,homoplasy,esm2_llr,semantic_change,0.07909409380817144,0.00933976480433669,1.133895127911319,False
19,7,"freq,entropy,homoplasy,esm2_llr",freq,entropy,homoplasy,esm2_llr,0.07893627629502456,0.009181947291189804,1.1316326516549966,False
20,116,"entropy,homoplasy,sasa,semantic_change",entropy,homoplasy,sasa,semantic_change,0.0788077805200252,0.00905345151619044,1.1297905326519981,False
21,87,"entropy,rare_freq,homoplasy,grantham",entropy,rare_freq,homoplasy,grantham,0.07865931059322595,0.008904981589391202,1.1276620636534493,False
22,50,"freq,homoplasy,esm2_llr,sasa",freq,homoplasy,esm2_llr,sasa,0.07857195389651932,0.008817624892684561,1.1264097156206578,False
23,190,"homoplasy,plddt,dnds_proxy,semantic_change",homoplasy,plddt,dnds_proxy,semantic_change,0.07848702994831387,0.00873270094447911,1.125192243538018,False
24,113,"entropy,homoplasy,plddt,semantic_change",entropy,homoplasy,plddt,semantic_change,0.07821569926166043,0.008461370257825679,1.121302439270264,False
25,62,"freq,homoplasy,grantham,semantic_change",freq,homoplasy,grantham,semantic_change,0.07816146223532103,0.008407133231486287,1.1205248957526937,False
26,53,"freq,homoplasy,esm2_llr,semantic_change",freq,homoplasy,esm2_llr,semantic_change,0.07811552453958988,0.00836119553575513,1.119866331669472,False
27,118,"entropy,homoplasy,grantham,semantic_change",entropy,homoplasy,grantham,semantic_change,0.07784145455285797,0.008087125549023223,1.1159372567196313,False
28,61,"freq,homoplasy,grantham,dnds_proxy",freq,homoplasy,grantham,dnds_proxy,0.07747089818121362,0.007716569177378868,1.1106249502730454,False
29,56,"freq,homoplasy,plddt,dnds_proxy",freq,homoplasy,plddt,dnds_proxy,0.0774558647134051,0.007701535709570347,1.1104094300605623,False
30,184,"homoplasy,esm2_llr,dnds_proxy,semantic_change",homoplasy,esm2_llr,dnds_proxy,semantic_change,0.07697998162144414,0.0072256526176093724,1.1035871568230862,False
31,31,"freq,rare_freq,homoplasy,grantham",freq,rare_freq,homoplasy,grantham,0.07664472301566262,0.006890394011827869,1.0987808801293044,False
32,79,"freq,plddt,dnds_proxy,semantic_change",freq,plddt,dnds_proxy,semantic_change,0.07619338326869238,0.0064390542648576285,1.0923104609680014,False
33,112,"entropy,homoplasy,plddt,dnds_proxy",entropy,homoplasy,plddt,dnds_proxy,0.07546798157358028,0.005713652569745541,1.0819110820983084,False
