combo_a,combo_b,mean_rank_a,mean_rank_b,rank_diff_abs,p_value,sig_raw_0p05,sig_bonferroni_0p05
freq+AdaptWin,entropy+Wavelet,8.590909090909092,12.636363636363637,4.045454545454545,0.9892012334741296,False,False
homoplasy+KDE,entropy+Wavelet,8.636363636363637,12.636363636363637,4.0,0.9905173769685727,False,False
freq+AdaptWin,fubar_pos_sel+KDE,8.590909090909092,12.545454545454545,3.9545454545454533,0.9916987923459624,False,False
homoplasy+KDE,fubar_pos_sel+KDE,8.636363636363637,12.545454545454545,3.9090909090909083,0.9927559155123484,False,False
freq+SWAN,entropy+Wavelet,9.045454545454545,12.636363636363637,3.5909090909090917,0.9974597334722313,False,False
freq+SWAN,fubar_pos_sel+KDE,9.045454545454545,12.545454545454545,3.5,0.998177567310282,False,False
dnds_proxy+SWAN,entropy+Wavelet,9.409090909090908,12.636363636363637,3.2272727272727284,0.9993898185472,False,False
dnds_proxy+SWAN,fubar_pos_sel+KDE,9.409090909090908,12.545454545454545,3.1363636363636367,0.9995910251770705,False,False
freq+KDE,freq+AdaptWin,11.590909090909092,8.590909090909092,3.0,0.9997836001885932,False,False
freq+KDE,homoplasy+KDE,11.590909090909092,8.636363636363637,2.954545454545455,0.999826751034936,False,False
freq+SlidingTest,entropy+Wavelet,9.727272727272727,12.636363636363637,2.90909090909091,0.9998620369515077,False,False
freq+AdaptWin,EqualWeight+FreqThresh,8.590909090909092,11.454545454545455,2.8636363636363633,0.999890738240008,False,False
entropy+AdaptWin,entropy+Wavelet,9.772727272727273,12.636363636363637,2.8636363636363633,0.999890738240008,False,False
freq+SlidingTest,fubar_pos_sel+KDE,9.727272727272727,12.545454545454545,2.8181818181818183,0.9999139563386467,False,False
homoplasy+KDE,EqualWeight+FreqThresh,8.636363636363637,11.454545454545455,2.8181818181818183,0.9999139563386467,False,False
entropy+AdaptWin,fubar_pos_sel+KDE,9.772727272727273,12.545454545454545,2.7727272727272716,0.9999326335353765,False,False
dnds_proxy+AdaptWin,entropy+Wavelet,10.0,12.636363636363637,2.6363636363636367,0.999968832533383,False,False
freq+Wavelet,freq+AdaptWin,11.136363636363637,8.590909090909092,2.545454545454545,0.9999819512265299,False,False
dnds_proxy+Wavelet,freq+AdaptWin,11.136363636363637,8.590909090909092,2.545454545454545,0.9999819512265299,False,False
dnds_proxy+AdaptWin,fubar_pos_sel+KDE,10.0,12.545454545454545,2.545454545454545,0.9999819512265299,False,False
freq+SWAN,freq+KDE,9.045454545454545,11.590909090909092,2.5454545454545467,0.9999819512265299,False,False
dnds_proxy+Wavelet,homoplasy+KDE,11.136363636363637,8.636363636363637,2.5,0.9999864067770079,False,False
freq+Wavelet,homoplasy+KDE,11.136363636363637,8.636363636363637,2.5,0.9999864067770079,False,False
entropy+SlidingTest,freq+AdaptWin,11.090909090909092,8.590909090909092,2.5,0.9999864067770079,False,False
entropy+SlidingTest,homoplasy+KDE,11.090909090909092,8.636363636363637,2.454545454545455,0.9999898359457394,False,False
entropy+Wavelet,homoplasy+AdaptiveKnee,12.636363636363637,10.181818181818182,2.454545454545455,0.9999898359457394,False,False
entropy+KDE,freq+AdaptWin,11.045454545454545,8.590909090909092,2.4545454545454533,0.9999898359457394,False,False
dnds_proxy+KDE,entropy+Wavelet,10.181818181818182,12.636363636363637,2.454545454545455,0.9999898359457394,False,False
freq+SWAN,EqualWeight+FreqThresh,9.045454545454545,11.454545454545455,2.40909090909091,0.9999924564427263,False,False
entropy+KDE,homoplasy+KDE,11.045454545454545,8.636363636363637,2.4090909090909083,0.9999924564427263,False,False
fubar_pos_sel+KDE,homoplasy+AdaptiveKnee,12.545454545454545,10.181818181818182,2.3636363636363633,0.9999944442945821,False,False
dnds_proxy+KDE,fubar_pos_sel+KDE,10.181818181818182,12.545454545454545,2.3636363636363633,0.9999944442945821,False,False
freq+AdaptWin,freq+FreqThresh,8.590909090909092,10.818181818181818,2.2272727272727266,0.9999978867751395,False,False
dnds_proxy+SlidingTest,entropy+Wavelet,10.454545454545455,12.636363636363637,2.1818181818181817,0.9999984951865015,False,False
homoplasy+KDE,freq+FreqThresh,8.636363636363637,10.818181818181818,2.1818181818181817,0.9999984951865015,False,False
freq+KDE,dnds_proxy+SWAN,11.590909090909092,9.409090909090908,2.1818181818181834,0.9999984951865015,False,False
freq+SWAN,freq+Wavelet,9.045454545454545,11.136363636363637,2.0909090909090917,0.9999992580318952,False,False
entropy+SWAN,entropy+Wavelet,10.545454545454545,12.636363636363637,2.0909090909090917,0.9999992580318952,False,False
dnds_proxy+SlidingTest,fubar_pos_sel+KDE,10.454545454545455,12.545454545454545,2.09090909090909,0.9999992580318952,False,False
dnds_proxy+Wavelet,freq+SWAN,11.136363636363637,9.045454545454545,2.0909090909090917,0.9999992580318952,False,False
dnds_proxy+SWAN,EqualWeight+FreqThresh,9.409090909090908,11.454545454545455,2.0454545454545467,0.999999486634083,False,False
entropy+SlidingTest,freq+SWAN,11.090909090909092,9.045454545454545,2.0454545454545467,0.999999486634083,False,False
entropy+KDE,freq+SWAN,11.045454545454545,9.045454545454545,2.0,0.9999996484701476,False,False
entropy+SWAN,fubar_pos_sel+KDE,10.545454545454545,12.545454545454545,2.0,0.9999996484701476,False,False
freq+AdaptWin,entropy+SWAN,8.590909090909092,10.545454545454545,1.9545454545454533,0.9999997618773212,False,False
homoplasy+KDE,entropy+SWAN,8.636363636363637,10.545454545454545,1.9090909090909083,0.9999998405077886,False,False
dnds_proxy+SlidingTest,freq+AdaptWin,10.454545454545455,8.590909090909092,1.8636363636363633,0.9999998944250893,False,False
freq+SlidingTest,freq+KDE,9.727272727272727,11.590909090909092,1.863636363636365,0.9999998944250893,False,False
entropy+Wavelet,freq+FreqThresh,12.636363636363637,10.818181818181818,1.8181818181818183,0.9999999309711003,False,False
dnds_proxy+SlidingTest,homoplasy+KDE,10.454545454545455,8.636363636363637,1.8181818181818183,0.9999999309711003,False,False
freq+KDE,entropy+AdaptWin,11.590909090909092,9.772727272727273,1.8181818181818183,0.9999999309711003,False,False
freq+SWAN,freq+FreqThresh,9.045454545454545,10.818181818181818,1.7727272727272734,0.9999999554447252,False,False
dnds_proxy+SWAN,freq+Wavelet,9.409090909090908,11.136363636363637,1.7272727272727284,0.999999971627678,False,False
freq+SlidingTest,EqualWeight+FreqThresh,9.727272727272727,11.454545454545455,1.7272727272727284,0.999999971627678,False,False
dnds_proxy+Wavelet,dnds_proxy+SWAN,11.136363636363637,9.409090909090908,1.7272727272727284,0.999999971627678,False,False
fubar_pos_sel+KDE,freq+FreqThresh,12.545454545454545,10.818181818181818,1.7272727272727266,0.999999971627678,False,False
