pathogen,feature,importance,cv_auc
SARS-CoV-2,freq,0.0253,0.5536
SARS-CoV-2,entropy,0.017,0.5536
SARS-CoV-2,rare_freq,0.0186,0.5536
SARS-CoV-2,homoplasy,0.0735,0.5536
SARS-CoV-2,esm2_llr,0.4458,0.5536
SARS-CoV-2,plddt,0.4198,0.5536
H3N2,freq,0.1264,0.8147
H3N2,entropy,0.1562,0.8147
H3N2,rare_freq,0.128,0.8147
H3N2,homoplasy,0.1038,0.8147
H3N2,esm2_llr,0.1246,0.8147
H3N2,plddt,0.361,0.8147
Norovirus,freq,0.1257,0.92
Norovirus,entropy,0.108,0.92
Norovirus,rare_freq,0.0333,0.92
Norovirus,homoplasy,0.4598,0.92
Norovirus,esm2_llr,0.1785,0.92
Norovirus,plddt,0.0946,0.92
HIV-1,freq,0.1368,0.8396
HIV-1,entropy,0.1713,0.8396
HIV-1,rare_freq,0.0645,0.8396
HIV-1,homoplasy,0.2026,0.8396
HIV-1,esm2_llr,0.2761,0.8396
HIV-1,plddt,0.1486,0.8396
Dengue,freq,0.0996,0.7324
Dengue,entropy,0.1217,0.7324
Dengue,rare_freq,0.0699,0.7324
Dengue,homoplasy,0.2834,0.7324
Dengue,esm2_llr,0.1699,0.7324
Dengue,plddt,0.2555,0.7324
RSV,freq,0.1568,0.7722
RSV,entropy,0.1733,0.7722
RSV,rare_freq,0.1312,0.7722
RSV,homoplasy,0.0696,0.7722
RSV,esm2_llr,0.2406,0.7722
RSV,plddt,0.2285,0.7722
Influenza_B,freq,0.1991,0.7076
Influenza_B,entropy,0.1651,0.7076
Influenza_B,rare_freq,0.1107,0.7076
Influenza_B,homoplasy,0.24,0.7076
Influenza_B,esm2_llr,0.1188,0.7076
Influenza_B,plddt,0.1663,0.7076
MERS,freq,0.0559,0.5374
MERS,entropy,0.0896,0.5374
MERS,rare_freq,0.0854,0.5374
MERS,homoplasy,0.2324,0.5374
MERS,esm2_llr,0.1952,0.5374
MERS,plddt,0.3415,0.5374
HCV,freq,0.1561,0.6717
HCV,entropy,0.1754,0.6717
HCV,rare_freq,0.0716,0.6717
HCV,homoplasy,0.2399,0.6717
HCV,esm2_llr,0.2377,0.6717
HCV,plddt,0.1193,0.6717
