# git_sha,c276ff068161babcc74d87d8e1cb6a5b76a5fd9d
# query_date_utc,2026-05-01T06:38:30Z
target,query_id,n_hits,n_unique_pmids_after_dedupe,n_zero_hit_flag,query_date_utc,truncated
Lassa_GPC,L1,131,131,0,2026-05-01T06:38:30Z,0
Lassa_GPC,L2,2,131,0,2026-05-01T06:38:30Z,0
Lassa_GPC,L3,53,170,0,2026-05-01T06:38:30Z,0
Lassa_GPC,L4,142,281,0,2026-05-01T06:38:30Z,0
Lassa_GPC,L5,14,287,0,2026-05-01T06:38:30Z,0
WNV_E,W1,307,200,0,2026-05-01T06:38:30Z,1
WNV_E,W2,1,201,0,2026-05-01T06:38:30Z,0
WNV_E,W3,268,338,0,2026-05-01T06:38:30Z,1
WNV_E,W4,35,350,0,2026-05-01T06:38:30Z,0
WNV_E,W5,59,384,0,2026-05-01T06:38:30Z,0
YFV_E,Y1,79,79,0,2026-05-01T06:38:30Z,0
YFV_E,Y2,71,121,0,2026-05-01T06:38:30Z,0
YFV_E,Y3,0,121,1,2026-05-01T06:38:30Z,0
YFV_E,Y4,132,232,0,2026-05-01T06:38:30Z,0
YFV_E,Y5,26,240,0,2026-05-01T06:38:30Z,0
