slug,n_seq_filtered,sha256_filtered_fasta,query_date,accession_list
yfv_e,64,5baa52ccc8caeb844b643c656eba3a46f1d23005d922e3ca23e480be9be835dc,2026-04-29,results/mutbench/pilot_accessions/yfv_e.txt
lassa_gpc,700,d22692b3ccdaaaba525b31ddc9601d191931b6f76eaddf77b98135381134aae0,2026-04-29,results/mutbench/pilot_accessions/lassa_gpc.txt
wnv_e,75,54903755a7023be1c7e9fa9d370a0c0a4b866186531f39bc99f36b0e9ca41ebf,2026-04-29,results/mutbench/pilot_accessions/wnv_e.txt
chikungunya_virus_e2,551,88577f09045febdf47465b99e55fdbbeca9a130f1dbdc0e238c0374fcd4c25a2,2026-04-29,results/mutbench/pilot_accessions/chikungunya_virus_e2.txt
japanese_encephalitis_virus_e,309,50516e368a686137f205aef0acca3308c2027c9070b16c251abc3a3be10ff55b,2026-04-29,results/mutbench/pilot_accessions/japanese_encephalitis_virus_e.txt
tick-borne_encephalitis_virus_e,99,41e8c5e03305b95c5e0bb85478b98efc6ce98333c8db18fdde8f4c6c19f4faa2,2026-04-29,results/mutbench/pilot_accessions/tick-borne_encephalitis_virus_e.txt
eastern_equine_encephalitis_virus_e2,159,c13da0ded9d23862049924bd5c167e3793e117d19cca79334cd23fa327c17a1e,2026-04-29,results/mutbench/pilot_accessions/eastern_equine_encephalitis_virus_e2.txt
venezuelan_equine_encephalitis_virus_e2,65,2c7d639cc5da411d09f1c1ad6ca62a06ce36bbd932645ff30477756877b9d351,2026-04-29,results/mutbench/pilot_accessions/venezuelan_equine_encephalitis_virus_e2.txt
western_equine_encephalitis_virus_e2,123,e8a0b4b47d68f4d6b0538d981211178d7a4fbd5166c4c2fa199ae4ce05c755c4,2026-04-29,results/mutbench/pilot_accessions/western_equine_encephalitis_virus_e2.txt
mumps_virus_hn,791,757bfe6a0955a9144a0edb469aa1e29c162d37b093925fd293e00cd15fa08748,2026-04-29,results/mutbench/pilot_accessions/mumps_virus_hn.txt
measles_virus_h,40,d5539625e1c64c9804ca07c0f5698360f2458ca1d77f0f6792fd44019b745447,2026-04-29,results/mutbench/pilot_accessions/measles_virus_h.txt
nipah_virus_g,110,5affd76396841b4c46e083a11e89207a7664ebaff3e0011fc01a7efad0fa50dd,2026-04-29,results/mutbench/pilot_accessions/nipah_virus_g.txt
hendra_virus_g,77,f2e5b52302f34b94fa513b9391a5afdfdfbb8afc5d9905555778bfecdd6081e0,2026-04-29,results/mutbench/pilot_accessions/hendra_virus_g.txt
marburg_virus_gp,121,3bc9fef73d221170d933f209ed0e8d64505571fc7b3e9c0620976ec90ad8db15,2026-04-29,results/mutbench/pilot_accessions/marburg_virus_gp.txt
hcov-nl63_spike,398,4e0565be5400a67e6f9d930590b385fba18f50e57adfa12f8dc4ffcdf9ba6569,2026-04-29,results/mutbench/pilot_accessions/hcov-nl63_spike.txt
hcov-229e_spike,426,f2369b89e7ecc840772027bee49a5ab3a3f8adc25531fb69ff7cbf28d1207aa8,2026-04-29,results/mutbench/pilot_accessions/hcov-229e_spike.txt
