fold_held_out,full10_mcc,fixed4_mcc,delta_fixed4_minus_full10,configuration,k_features,mcc
SARS-CoV-2,0.028419332730392658,-0.009523339493959788,-0.03794267222435245,,,
H3N2,0.13012617274960553,0.15925169286627322,0.02912552011666769,,,
Norovirus,0.28144431327384084,0.4317723171749656,0.15032800390112477,,,
HIV-1,0.057180745225917574,-0.010090719745750161,-0.06727146497166774,,,
Dengue,0.081950859734492,0.14498998260717816,0.06303912287268616,,,
RSV,-0.06475239082381762,-0.06475239082381762,0.0,,,
Influenza_B,0.21857219780854706,0.21857219780854706,0.0,,,
MERS,0.003057074917215283,-0.027513674254937545,-0.030570749172152828,,,
HCV,0.12338338489401283,0.15020585987097215,0.026822474976959318,,,
Zika,-0.02308864363138913,-0.02308864363138913,0.0,,,
Rabies,-0.04909864869034983,-0.04909864869034983,0.0,,,
EV-A71,0.04985754985754986,0.04985754985754986,0.0,,,
SARS-CoV-2,,,,cumulative_top_1,1.0,-0.011637031539081596
H3N2,,,,cumulative_top_1,1.0,0.08867107961145544
Norovirus,,,,cumulative_top_1,1.0,0.013723311874488206
HIV-1,,,,cumulative_top_1,1.0,0.02161401246188891
Dengue,,,,cumulative_top_1,1.0,0.21789589644984025
RSV,,,,cumulative_top_1,1.0,-0.03328621661382955
Influenza_B,,,,cumulative_top_1,1.0,0.010408199895645098
MERS,,,,cumulative_top_1,1.0,-0.028198198622719682
HCV,,,,cumulative_top_1,1.0,-0.1207168404000126
Zika,,,,cumulative_top_1,1.0,0.01855554683011329
Rabies,,,,cumulative_top_1,1.0,-0.0989074018039072
EV-A71,,,,cumulative_top_1,1.0,0.09790155020264976
SARS-CoV-2,,,,cumulative_top_2,2.0,-0.009523339493959788
H3N2,,,,cumulative_top_2,2.0,0.07187513251627016
Norovirus,,,,cumulative_top_2,2.0,0.3941903161996844
HIV-1,,,,cumulative_top_2,2.0,-0.07736218471741789
Dengue,,,,cumulative_top_2,2.0,0.23954866691620738
RSV,,,,cumulative_top_2,2.0,0.03237619541190881
Influenza_B,,,,cumulative_top_2,2.0,0.04510219954779542
MERS,,,,cumulative_top_2,2.0,-0.027857179120826258
HCV,,,,cumulative_top_2,2.0,-0.11801888989862097
Zika,,,,cumulative_top_2,2.0,-0.02308864363138913
Rabies,,,,cumulative_top_2,2.0,-0.0989074018039072
EV-A71,,,,cumulative_top_2,2.0,0.04985754985754986
SARS-CoV-2,,,,cumulative_top_3,3.0,-0.009523339493959788
H3N2,,,,cumulative_top_3,3.0,0.07187513251627016
Norovirus,,,,cumulative_top_3,3.0,0.4317723171749656
HIV-1,,,,cumulative_top_3,3.0,-0.07736218471741789
Dengue,,,,cumulative_top_3,3.0,0.17650954404352123
RSV,,,,cumulative_top_3,3.0,0.0
Influenza_B,,,,cumulative_top_3,3.0,0.04510219954779542
MERS,,,,cumulative_top_3,3.0,-0.027513674254937545
HCV,,,,cumulative_top_3,3.0,0.016093484986175587
Zika,,,,cumulative_top_3,3.0,-0.053964581268631406
Rabies,,,,cumulative_top_3,3.0,-0.07400302524712851
EV-A71,,,,cumulative_top_3,3.0,0.04985754985754986
SARS-CoV-2,,,,cumulative_top_4,4.0,-0.009523339493959788
H3N2,,,,cumulative_top_4,4.0,0.13012617274960553
Norovirus,,,,cumulative_top_4,4.0,0.4317723171749656
HIV-1,,,,cumulative_top_4,4.0,-0.04372645223158403
Dengue,,,,cumulative_top_4,4.0,0.14498998260717816
RSV,,,,cumulative_top_4,4.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_4,4.0,0.21857219780854706
MERS,,,,cumulative_top_4,4.0,0.003057074917215283
HCV,,,,cumulative_top_4,4.0,0.06973843494009421
Zika,,,,cumulative_top_4,4.0,-0.02308864363138913
Rabies,,,,cumulative_top_4,4.0,-0.04909864869034983
EV-A71,,,,cumulative_top_4,4.0,0.04985754985754986
SARS-CoV-2,,,,cumulative_top_5,5.0,-0.02849467560613601
H3N2,,,,cumulative_top_5,5.0,0.13012617274960553
Norovirus,,,,cumulative_top_5,5.0,0.3941903161996844
HIV-1,,,,cumulative_top_5,5.0,0.023545012740083707
Dengue,,,,cumulative_top_5,5.0,0.11347042117083507
RSV,,,,cumulative_top_5,5.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_5,5.0,0.18387819815639672
MERS,,,,cumulative_top_5,5.0,0.003057074917215283
HCV,,,,cumulative_top_5,5.0,0.17702833484793146
Zika,,,,cumulative_top_5,5.0,-0.02308864363138913
Rabies,,,,cumulative_top_5,5.0,-0.04909864869034983
EV-A71,,,,cumulative_top_5,5.0,0.008547008547008548
SARS-CoV-2,,,,cumulative_top_6,6.0,0.009447996618216435
H3N2,,,,cumulative_top_6,6.0,0.10100065263293784
Norovirus,,,,cumulative_top_6,6.0,0.31902631424912203
HIV-1,,,,cumulative_top_6,6.0,-0.07736218471741789
Dengue,,,,cumulative_top_6,6.0,0.081950859734492
RSV,,,,cumulative_top_6,6.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_6,6.0,0.18387819815639672
MERS,,,,cumulative_top_6,6.0,0.003057074917215283
HCV,,,,cumulative_top_6,6.0,0.20385080982489076
Zika,,,,cumulative_top_6,6.0,-0.02308864363138913
Rabies,,,,cumulative_top_6,6.0,-0.04909864869034983
EV-A71,,,,cumulative_top_6,6.0,0.008547008547008548
SARS-CoV-2,,,,cumulative_top_7,7.0,0.009447996618216435
H3N2,,,,cumulative_top_7,7.0,0.10100065263293784
Norovirus,,,,cumulative_top_7,7.0,0.28144431327384084
HIV-1,,,,cumulative_top_7,7.0,0.023545012740083707
Dengue,,,,cumulative_top_7,7.0,0.081950859734492
RSV,,,,cumulative_top_7,7.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_7,7.0,0.1491841985042464
MERS,,,,cumulative_top_7,7.0,0.003057074917215283
HCV,,,,cumulative_top_7,7.0,0.2306732848018501
Zika,,,,cumulative_top_7,7.0,-0.02308864363138913
Rabies,,,,cumulative_top_7,7.0,-0.04909864869034983
EV-A71,,,,cumulative_top_7,7.0,0.008547008547008548
SARS-CoV-2,,,,cumulative_top_8,8.0,0.009447996618216435
H3N2,,,,cumulative_top_8,8.0,0.13012617274960553
Norovirus,,,,cumulative_top_8,8.0,0.28144431327384084
HIV-1,,,,cumulative_top_8,8.0,0.09081647771175144
Dengue,,,,cumulative_top_8,8.0,0.018911736861805844
RSV,,,,cumulative_top_8,8.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_8,8.0,0.11449019885209608
MERS,,,,cumulative_top_8,8.0,0.003057074917215283
HCV,,,,cumulative_top_8,8.0,0.20385080982489076
Zika,,,,cumulative_top_8,8.0,-0.02308864363138913
Rabies,,,,cumulative_top_8,8.0,-0.04909864869034983
EV-A71,,,,cumulative_top_8,8.0,0.008547008547008548
SARS-CoV-2,,,,cumulative_top_9,9.0,0.04739066884256888
H3N2,,,,cumulative_top_9,9.0,0.13012617274960553
Norovirus,,,,cumulative_top_9,9.0,0.24386231229855965
HIV-1,,,,cumulative_top_9,9.0,0.057180745225917574
Dengue,,,,cumulative_top_9,9.0,-0.01260782457453723
RSV,,,,cumulative_top_9,9.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_9,9.0,0.1491841985042464
MERS,,,,cumulative_top_9,9.0,0.003057074917215283
HCV,,,,cumulative_top_9,9.0,0.17702833484793146
Zika,,,,cumulative_top_9,9.0,-0.053964581268631406
Rabies,,,,cumulative_top_9,9.0,-0.04909864869034983
EV-A71,,,,cumulative_top_9,9.0,0.04985754985754986
