pathogen,n_positions,n_layer_a,layer_a_pct,rpb,p_value,mean_freq_positive,mean_freq_negative
SARS-CoV-2,1259,25,1.9857029388403495,-0.0018663425385089649,0.9472531711299538,0.000241943319838056,0.0003662834960442496
H3N2,543,25,4.6040515653775325,0.10074504758834017,0.01886619665030544,0.1375102294944226,0.10435001897858312
Norovirus,536,15,2.798507462686567,0.22475064819215182,1.4513310435765536e-07,0.13645754598135545,0.02389004778419506
HIV-1,450,23,5.111111111111112,0.15720431916464542,0.0008187950860348799,0.5732904178978471,0.4013601590197165
Dengue,490,24,4.8979591836734695,0.0564321296231786,0.21240413938492153,0.14239601840980323,0.10589138621250456
RSV,550,20,3.6363636363636362,-0.06124848671682772,0.1514343731374234,0.005475791227229125,0.04973227654684448
Influenza_B,560,17,3.0357142857142856,0.2621987712034894,2.9484198391544213e-10,0.07835359008040747,0.013240848264920274
MERS,1330,9,0.6766917293233082,-0.013942515796209243,0.6114403637710927,0.012746329502649624,0.014203687790158657
HCV,340,54,15.88235294117647,0.32972106170239524,4.590180614264204e-10,0.2154915960136843,0.07063217906591396
Zika,452,27,5.9734513274336285,0.018388304502530144,0.6966170278699702,0.11982570806100216,0.11723183391003461
Rabies,491,39,7.942973523421588,-0.05838428509690771,0.19652557193146072,0.026541045489123293,0.05020540874734784
EV-A71,261,27,10.344827586206897,-0.02231372504049481,0.719741986582888,0.007781610826990866,0.01065648224437389
