pathogen,n_windows,year_min,year_max,mean_mcc,median_mcc,mean_f1,mean_auroc,mean_enrichment,trend_slope_mcc_per_year
Dengue,23,1998,2023,-0.058260869565217394,-0.0689,0.03849565217391304,0.4773217391304348,2.3043478260869565,0.0001
EV-A71,10,2014,2023,0.14640999999999998,0.16875,0.09562,0.77265,10.784600000000001,0.0319
H3N2,4,2023,2026,-0.029375,-0.029249999999999998,0.0,0.4296,0.0,0.0041
HCV,4,2001,2004,-0.0070750000000000006,-0.0064,0.0,0.311725,0.0,0.0008
HIV-1,5,2014,2018,-0.01926,-0.0167,0.0,0.4628,0.0,0.0026
Influenza_B,7,2020,2026,-0.024914285714285715,-0.028,0.0,0.6962285714285714,0.0,0.0029
MERS,3,2016,2020,-0.09826666666666667,-0.0977,0.004333333333333333,0.6040333333333333,0.12666666666666668,-0.0003
Norovirus,6,2018,2023,-0.055549999999999995,-0.05405,0.0,0.31666666666666665,0.0,0.0079
RSV,2,2019,2021,-0.0138,-0.0138,0.0,0.5596,0.0,
Rabies,8,2008,2021,0.11220000000000001,0.13795,0.1264125,0.7885375,4.101,-0.006
SARS-CoV-2,1,2025,2025,-0.013,-0.013,0.0,0.5138,0.0,
