pathogen,threshold_method,cutoff_value,n_positions,n_gt_positive,n_predicted,tp,mcc,precision,recall,f1
SARS-CoV-2,top5pct,2.0,1270,25,30,1,0.0153,0.0333,0.04,0.0364
SARS-CoV-2,top10pct,1.0,1270,25,74,3,0.0373,0.0405,0.12,0.0606
SARS-CoV-2,top20pct,0.0,1270,25,244,4,-0.0116,0.0164,0.16,0.0297
SARS-CoV-2,mean+1sd,1.09,1270,25,74,3,0.0373,0.0405,0.12,0.0606
H3N2,top5pct,10.0,543,25,25,2,0.0356,0.08,0.08,0.08
H3N2,top10pct,8.0,543,25,54,7,0.1325,0.1296,0.28,0.1772
H3N2,top20pct,6.0,543,25,104,10,0.1164,0.0962,0.4,0.155
H3N2,mean+1sd,7.7318,543,25,76,7,0.0887,0.0921,0.28,0.1386
Norovirus,top5pct,19.0,536,15,24,10,0.5102,0.4167,0.6667,0.5128
Norovirus,top10pct,13.0,536,15,52,13,0.4412,0.25,0.8667,0.3881
Norovirus,top20pct,7.0,536,15,103,14,0.3192,0.1359,0.9333,0.2373
Norovirus,mean+1sd,12.1888,536,15,58,13,0.4143,0.2241,0.8667,0.3562
HIV-1,top5pct,119.1,480,26,23,3,0.0756,0.1304,0.1154,0.1224
HIV-1,top10pct,97.5,480,26,47,3,0.0141,0.0638,0.1154,0.0822
HIV-1,top20pct,84.4,480,26,95,6,0.0197,0.0632,0.2308,0.0992
HIV-1,mean+1sd,86.0661,480,26,93,6,0.0224,0.0645,0.2308,0.1008
Dengue,top5pct,13.0,490,24,24,5,0.1676,0.2083,0.2083,0.2083
Dengue,top10pct,11.0,490,24,47,8,0.183,0.1702,0.3333,0.2254
Dengue,top20pct,9.0,490,24,90,14,0.2342,0.1556,0.5833,0.2456
Dengue,mean+1sd,10.4337,490,24,65,11,0.2179,0.1692,0.4583,0.2472
RSV,top5pct,14.55,550,20,28,1,-0.0008,0.0357,0.05,0.0417
RSV,top10pct,13.0,550,20,36,1,-0.0121,0.0278,0.05,0.0357
RSV,top20pct,10.2,550,20,109,4,0.0009,0.0367,0.2,0.062
RSV,mean+1sd,11.8607,550,20,75,3,0.0077,0.04,0.15,0.0632
Influenza_B,top5pct,20.0,560,17,21,2,0.0746,0.0952,0.1176,0.1053
Influenza_B,top10pct,17.0,560,17,48,7,0.2061,0.1458,0.4118,0.2154
Influenza_B,top20pct,15.0,560,17,99,11,0.2181,0.1111,0.6471,0.1897
Influenza_B,mean+1sd,16.7582,560,17,62,7,0.1698,0.1129,0.4118,0.1772
MERS,top5pct,44.0,1330,9,60,0,-0.0179,0.0,0.0,0.0
MERS,top10pct,41.0,1330,9,114,0,-0.0253,0.0,0.0,0.0
MERS,top20pct,37.0,1330,9,252,2,0.0069,0.0079,0.2222,0.0153
MERS,mean+1sd,38.2184,1330,9,198,1,-0.0088,0.0051,0.1111,0.0097
HCV,top5pct,88.0,340,54,16,0,-0.0966,0.0,0.0,0.0
HCV,top10pct,76.0,340,54,32,1,-0.1125,0.0312,0.0185,0.0233
HCV,top20pct,63.0,340,54,67,6,-0.0939,0.0896,0.1111,0.0992
HCV,mean+1sd,69.6201,340,54,44,5,-0.0477,0.1136,0.0926,0.102
Zika,top5pct,14.0,451,27,4,0,-0.0239,0.0,0.0,0.0
Zika,top10pct,14.0,451,27,4,0,-0.0239,0.0,0.0,0.0
Zika,top20pct,13.0,451,27,55,4,0.0202,0.0727,0.1481,0.0976
Zika,mean+1sd,13.3301,451,27,55,4,0.0202,0.0727,0.1481,0.0976
Rabies,top5pct,20.55,490,39,25,0,-0.0682,0.0,0.0,0.0
Rabies,top10pct,17.0,490,39,41,0,-0.0889,0.0,0.0,0.0
Rabies,top20pct,10.2,490,39,97,2,-0.1082,0.0206,0.0513,0.0294
Rabies,mean+1sd,14.3633,490,39,60,0,-0.1098,0.0,0.0,0.0
EV-A71,top5pct,26.05,260,27,13,3,0.0955,0.2308,0.1111,0.15
EV-A71,top10pct,23.0,260,27,25,6,0.1456,0.24,0.2222,0.2308
EV-A71,top20pct,21.0,260,27,48,8,0.098,0.1667,0.2963,0.2133
EV-A71,mean+1sd,24.0859,260,27,21,5,0.1304,0.2381,0.1852,0.2083
