method,pathogen,budget,expected_tp
4-core,SARS-CoV-2,20,1.0
4-core,SARS-CoV-2,50,1.0
4-core,SARS-CoV-2,80,1.0
4-core,H3N2,20,3.0
4-core,H3N2,50,7.0
4-core,H3N2,80,11.0
4-core,Norovirus,20,5.0
4-core,Norovirus,50,13.0
4-core,Norovirus,80,13.0
4-core,HIV-1,20,1.0
4-core,HIV-1,50,2.0
4-core,HIV-1,80,5.0
4-core,Dengue,20,3.0
4-core,Dengue,50,8.0
4-core,Dengue,80,9.0
4-core,RSV,20,0.0
4-core,RSV,50,0.0
4-core,RSV,80,3.0
4-core,Influenza_B,20,4.0
4-core,Influenza_B,50,7.0
4-core,Influenza_B,80,9.0
4-core,MERS,20,0.0
4-core,MERS,50,0.0
4-core,MERS,80,0.0
4-core,HCV,20,6.0
4-core,HCV,50,17.0
4-core,HCV,80,22.0
4-core,Zika,20,1.0
4-core,Zika,50,2.0
4-core,Zika,80,4.0
4-core,Rabies,20,1.0
4-core,Rabies,50,2.0
4-core,Rabies,80,3.0
4-core,EV-A71,20,3.0
4-core,EV-A71,50,7.0
4-core,EV-A71,80,7.0
3-core,SARS-CoV-2,20,1.0
3-core,SARS-CoV-2,50,1.0
3-core,SARS-CoV-2,80,3.0
3-core,H3N2,20,4.0
3-core,H3N2,50,5.0
3-core,H3N2,80,10.0
3-core,Norovirus,20,5.0
3-core,Norovirus,50,12.0
3-core,Norovirus,80,13.0
3-core,HIV-1,20,1.0
3-core,HIV-1,50,7.0
3-core,HIV-1,80,11.0
3-core,Dengue,20,2.0
3-core,Dengue,50,6.0
3-core,Dengue,80,8.0
3-core,RSV,20,0.0
3-core,RSV,50,0.0
3-core,RSV,80,1.0
3-core,Influenza_B,20,4.0
3-core,Influenza_B,50,7.0
3-core,Influenza_B,80,10.0
3-core,MERS,20,0.0
3-core,MERS,50,0.0
3-core,MERS,80,0.0
3-core,HCV,20,9.0
3-core,HCV,50,20.0
3-core,HCV,80,25.0
3-core,Zika,20,1.0
3-core,Zika,50,2.0
3-core,Zika,80,4.0
3-core,Rabies,20,1.0
3-core,Rabies,50,2.0
3-core,Rabies,80,2.0
3-core,EV-A71,20,4.0
3-core,EV-A71,50,6.0
3-core,EV-A71,80,10.0
full-10,SARS-CoV-2,20,1.0
full-10,SARS-CoV-2,50,2.0
full-10,SARS-CoV-2,80,2.0
full-10,H3N2,20,4.0
full-10,H3N2,50,7.0
full-10,H3N2,80,8.0
full-10,Norovirus,20,5.0
full-10,Norovirus,50,9.0
full-10,Norovirus,80,11.0
full-10,HIV-1,20,2.0
full-10,HIV-1,50,4.0
full-10,HIV-1,80,8.0
full-10,Dengue,20,1.0
full-10,Dengue,50,5.0
full-10,Dengue,80,9.0
full-10,RSV,20,0.0
full-10,RSV,50,0.0
full-10,RSV,80,0.0
full-10,Influenza_B,20,4.0
full-10,Influenza_B,50,7.0
full-10,Influenza_B,80,9.0
full-10,MERS,20,0.0
full-10,MERS,50,0.0
full-10,MERS,80,0.0
full-10,HCV,20,7.0
full-10,HCV,50,17.0
full-10,HCV,80,20.0
full-10,Zika,20,1.0
full-10,Zika,50,2.0
full-10,Zika,80,5.0
full-10,Rabies,20,0.0
full-10,Rabies,50,2.0
full-10,Rabies,80,3.0
full-10,EV-A71,20,3.0
full-10,EV-A71,50,5.0
full-10,EV-A71,80,9.0
freq-only,SARS-CoV-2,20,1.0
freq-only,SARS-CoV-2,50,2.0
freq-only,SARS-CoV-2,80,2.0
freq-only,H3N2,20,3.0
freq-only,H3N2,50,6.0
freq-only,H3N2,80,6.0
freq-only,Norovirus,20,3.0
freq-only,Norovirus,50,9.0
freq-only,Norovirus,80,10.0
freq-only,HIV-1,20,2.0
freq-only,HIV-1,50,6.0
freq-only,HIV-1,80,9.0
freq-only,Dengue,20,3.0
freq-only,Dengue,50,4.0
freq-only,Dengue,80,6.0
