target,uniprot_acc,feature_type,start,end,description
chikungunya_virus_e2,A0A5J6BK08,Transmembrane,368,390,Helical
chikungunya_virus_e2,A0A5J6BK08,Transmembrane,402,421,Helical
chikungunya_virus_e2,A0A5J6BK08,Transmembrane,441,462,Helical
chikungunya_virus_e2,A0A5J6BK08,Transmembrane,901,921,Helical
eastern_equine_encephalitis_virus_e2,P08768,Chain,1,259,Capsid protein
eastern_equine_encephalitis_virus_e2,P08768,Chain,260,742,Precursor of protein E3/E2
eastern_equine_encephalitis_virus_e2,P08768,Chain,260,322,Assembly protein E3
eastern_equine_encephalitis_virus_e2,P08768,Chain,323,742,Spike glycoprotein E2
eastern_equine_encephalitis_virus_e2,P08768,Chain,743,798,6K protein
eastern_equine_encephalitis_virus_e2,P08768,Chain,799,1239,Spike glycoprotein E1
eastern_equine_encephalitis_virus_e2,P08768,Topological domain,260,681,Extracellular
eastern_equine_encephalitis_virus_e2,P08768,Transmembrane,682,702,Helical
eastern_equine_encephalitis_virus_e2,P08768,Topological domain,703,742,Cytoplasmic
eastern_equine_encephalitis_virus_e2,P08768,Topological domain,743,754,Extracellular
eastern_equine_encephalitis_virus_e2,P08768,Transmembrane,755,775,Helical
eastern_equine_encephalitis_virus_e2,P08768,Topological domain,776,776,Cytoplasmic
eastern_equine_encephalitis_virus_e2,P08768,Transmembrane,777,797,Helical
eastern_equine_encephalitis_virus_e2,P08768,Topological domain,798,1215,Extracellular
eastern_equine_encephalitis_virus_e2,P08768,Transmembrane,1216,1236,Helical
eastern_equine_encephalitis_virus_e2,P08768,Topological domain,1237,1239,Cytoplasmic
eastern_equine_encephalitis_virus_e2,P08768,Region,1,101,Disordered
eastern_equine_encephalitis_virus_e2,P08768,Region,1,35,Necessary for nucleocapsid assembly and virus assembly
eastern_equine_encephalitis_virus_e2,P08768,Region,36,69,Host transcription inhibition
eastern_equine_encephalitis_virus_e2,P08768,Region,81,111,Binding to the viral RNA
eastern_equine_encephalitis_virus_e2,P08768,Region,96,110,Ribosome-binding
eastern_equine_encephalitis_virus_e2,P08768,Region,152,157,Interaction with spike glycoprotein E2
eastern_equine_encephalitis_virus_e2,P08768,Region,244,248,Interaction with spike glycoprotein E2
eastern_equine_encephalitis_virus_e2,P08768,Region,260,271,Functions as an uncleaved signal peptide for the precursor of protein E3/E2
eastern_equine_encephalitis_virus_e2,P08768,Region,710,714,Interaction with the capsid protein
eastern_equine_encephalitis_virus_e2,P08768,Region,714,734,Transient transmembrane before p62-6K protein processing
eastern_equine_encephalitis_virus_e2,P08768,Region,882,899,E1 fusion peptide loop
eastern_equine_encephalitis_virus_e2,P08768,Site,184,184,Involved in dimerization of the capsid protein
eastern_equine_encephalitis_virus_e2,P08768,Site,217,217,Involved in dimerization of the capsid protein
eastern_equine_encephalitis_virus_e2,P08768,Site,259,260,Cleavage; by autolysis
eastern_equine_encephalitis_virus_e2,P08768,Site,322,323,Cleavage; by host furin
eastern_equine_encephalitis_virus_e2,P08768,Site,477,477,Interaction with host receptor VLDLR
eastern_equine_encephalitis_virus_e2,P08768,Site,478,478,Interaction with host receptor VLDLR
eastern_equine_encephalitis_virus_e2,P08768,Site,479,479,Interaction with host receptor VLDLR
eastern_equine_encephalitis_virus_e2,P08768,Site,553,553,Interaction with host receptor VLDLR
eastern_equine_encephalitis_virus_e2,P08768,Site,554,554,Interaction with host receptor VLDLR
eastern_equine_encephalitis_virus_e2,P08768,Site,742,743,Cleavage; by host signal peptidase
eastern_equine_encephalitis_virus_e2,P08768,Site,798,799,Cleavage; by host signal peptidase
eastern_equine_encephalitis_virus_e2,P08768,Glycosylation,49,49,N-linked (GlcNAc...) asparagine; by host
eastern_equine_encephalitis_virus_e2,P08768,Glycosylation,270,270,N-linked (GlcNAc...) asparagine; by host
