dataset,eta2_scoring,eta2_detection,eta2_residual,F_scoring,F_detection,p_scoring,p_detection,n,eta2_scoring_ci_lo,eta2_scoring_ci_hi,eta2_detection_ci_lo,eta2_detection_ci_hi
SARS-CoV-2,0.10182419540742324,0.24343610335769053,0.6547397012348863,6.726179034301705,9.188917977949226,3.3612787618759315e-08,3.24372806955413e-17,369,,,,
H3N2,0.04761019172643737,0.326611387436929,0.6257784208366336,3.290527003816224,12.89908197196018,0.0012345438264710566,2.0391354532968095e-24,369,,,,
Norovirus,0.10643821276636764,0.3311640022382214,0.5623977849954108,8.185403330105514,14.55283428911183,3.746640676042302e-10,1.8855594484440768e-27,369,,,,
HIV-1,0.06286878613456613,0.5621463227849465,0.37498489108048744,7.2511588199865855,37.04961230440674,6.638776051717334e-09,3.049898004708688e-60,369,,,,
Dengue,0.05670306977069092,0.15735010103149125,0.7859468291978178,3.120322745096446,4.947911499348022,0.0020325031610445646,2.1100667456020795e-08,369,,,,
RSV,0.03600969497431656,0.26917194155651014,0.6948183634691733,2.241476894570143,9.574289655618395,0.024151105843468426,5.466633623779647e-18,369,,,,
Influenza_B,0.1192635318778142,0.5014343183591191,0.3793021497630668,13.599046978609348,32.67208218729177,3.713718683936104e-17,7.460209109436684e-55,369,,,,
MERS,0.07153688920615554,0.2696940263411896,0.6587690844526548,4.696593284636125,10.117802094447386,1.7744713874577265e-05,4.537525491401697e-19,369,,,,
HCV,0.1408446560897487,0.4958163893368701,0.36333895457338117,16.76542330297085,33.72538989738884,4.954227880421136e-21,3.4764881652311264e-56,369,,,,
Combined,0.0023467834202004667,0.03200599574361035,0.9656472208361891,1.0018787856499833,7.807921958957695,0.432241708915112,1.5373305509274808e-16,3321,0.0023692146030217876,0.026542073296307627,0.02813031857271265,0.14632335293138826
