target,n_positions,n_layer_a_prime,prevalence
lassa_gpc,491,10,0.020366598778004074
measles_virus_h,620,90,0.14516129032258066
mumps_virus_hn,582,14,0.024054982817869417
hcov-229e_spike,1173,157,0.13384484228473997
hcov-nl63_spike,1356,157,0.11578171091445427
yfv_e,499,14,0.028056112224448898
wnv_e,501,14,0.027944111776447105
japanese_encephalitis_virus_e,506,14,0.02766798418972332
tick-borne_encephalitis_virus_e,496,14,0.028225806451612902
eastern_equine_encephalitis_virus_e2,420,10,0.023809523809523808
