feature,shapley_mcc,shapley_enrichment
homoplasy,0.0293856331908198,0.5552871787370007
freq,0.02199693159385018,0.342522434360767
entropy,0.021885708278330095,0.366614844785197
dnds_proxy,0.013689363828023122,0.23343079666449684
semantic_change,0.003005707071742148,0.17795827487204774
sasa,-0.0011154748728515959,0.17488505151443925
grantham,-0.001294733422826505,0.09148014187859049
plddt,-0.001501088350780271,0.16503817598480364
rare_freq,-0.0019145040165719092,0.09052190523287665
esm2_llr,-0.014383214295900313,-0.1582800342996397
