pathogen,frame,L_cds,n_splits,year_min,year_max,L_target,mapped_positions,mapping_coverage
H3N2,0,587,4,1984,2026,543,472,0.804
Influenza_B,0,629,7,2001,2026,560,566,0.9
Dengue,0,795,23,1987,2024,490,497,0.625
RSV,0,575,5,2002,2023,550,535,0.93
HCV,0,869,10,1984,2017,340,209,0.241
Norovirus,0,910,8,2001,2025,536,497,0.546
EV-A71,0,429,10,1981,2024,261,297,0.692
Rabies,0,525,8,2002,2021,491,514,0.979
HIV-1,0,1768,5,2006,2023,450,519,0.294
MERS,0,1687,3,2013,2023,1330,1246,0.739
SARS-CoV-2,0,1294,1,2020,2025,1259,1222,0.944
