pathogen,score,detector,family,mcc,f1,precision,recall,enrichment,n_detected,p_value,n_clusters
SARS-CoV-2,MutCounts,OCLUSTL(w=7),OncodriveCLUSTL,0.020384687823435194,0.04406779661016949,0.023008849557522124,0.52,1.1587256637168142,565,0.256,175
SARS-CoV-2,MutCounts,OCLUSTL(w=11),OncodriveCLUSTL,-0.012902796070444505,0.034591194968553465,0.01800327332242226,0.44,0.906644844517185,611,0.342,110
SARS-CoV-2,MutCounts,OCLUSTL(w=15),OncodriveCLUSTL,-0.021820822968510827,0.032,0.016666666666666666,0.4,0.8393333333333333,600,0.414,80
SARS-CoV-2,MutCounts,OCLUSTL(w=21),OncodriveCLUSTL,0.02560476551677007,0.04538087520259319,0.02364864864864865,0.56,1.190945945945946,592,0.638,54
SARS-CoV-2,E*rare,OCLUSTL(w=7),OncodriveCLUSTL,-0.03242800761116128,0.028070175438596495,0.014678899082568808,0.32,0.7392293577981651,545,0.168,168
SARS-CoV-2,E*rare,OCLUSTL(w=11),OncodriveCLUSTL,-0.01832452388090846,0.03333333333333333,0.01732283464566929,0.44,0.8723779527559055,635,0.27,111
SARS-CoV-2,E*rare,OCLUSTL(w=15),OncodriveCLUSTL,-0.040838213702520394,0.02631578947368421,0.0137221269296741,0.32,0.6910463121783876,583,0.722,80
SARS-CoV-2,E*rare,OCLUSTL(w=21),OncodriveCLUSTL,0.042810346826460136,0.05067567567567568,0.026455026455026454,0.6,1.3322751322751323,567,0.98,55
SARS-CoV-2,P*E*rare,OCLUSTL(w=7),OncodriveCLUSTL,-0.04151466743952545,0.025044722719141328,0.013108614232209739,0.28,0.6601498127340825,534,0.164,169
SARS-CoV-2,P*E*rare,OCLUSTL(w=11),OncodriveCLUSTL,-0.013805319366109797,0.034375,0.01788617886178862,0.44,0.9007479674796748,615,0.268,116
SARS-CoV-2,P*E*rare,OCLUSTL(w=15),OncodriveCLUSTL,-0.039507631022525413,0.026578073089700994,0.01386481802426343,0.32,0.6982322357019064,577,0.974,79
SARS-CoV-2,P*E*rare,OCLUSTL(w=21),OncodriveCLUSTL,0.032064374294214035,0.04753820033955858,0.024822695035460994,0.56,1.2500709219858157,564,0.986,54
SARS-CoV-2,minority_E,OCLUSTL(w=7),OncodriveCLUSTL,0.0,0.03894080996884735,0.019857029388403495,1.0,1.0,1259,0.058,186
SARS-CoV-2,minority_E,OCLUSTL(w=11),OncodriveCLUSTL,0.0,0.03894080996884735,0.019857029388403495,1.0,1.0,1259,0.066,125
SARS-CoV-2,minority_E,OCLUSTL(w=15),OncodriveCLUSTL,0.005025991371701913,0.03949730700179533,0.020676691729323307,0.44,1.0412781954887218,532,0.252,90
SARS-CoV-2,minority_E,OCLUSTL(w=21),OncodriveCLUSTL,-0.014427002322532318,0.033271719038817,0.01744186046511628,0.36,0.8783720930232558,516,0.298,64
SARS-CoV-2,P*minority_E,OCLUSTL(w=7),OncodriveCLUSTL,0.0,0.03894080996884735,0.019857029388403495,1.0,1.0,1259,0.06,188
SARS-CoV-2,P*minority_E,OCLUSTL(w=11),OncodriveCLUSTL,0.0,0.03894080996884735,0.019857029388403495,1.0,1.0,1259,0.084,119
SARS-CoV-2,P*minority_E,OCLUSTL(w=15),OncodriveCLUSTL,0.020774790721309895,0.044526901669758805,0.023346303501945526,0.48,1.1757198443579766,514,0.44,86
SARS-CoV-2,P*minority_E,OCLUSTL(w=21),OncodriveCLUSTL,-0.013071601947189525,0.03364485981308411,0.01764705882352941,0.36,0.8887058823529411,510,0.298,65
SARS-CoV-2,P*E,OCLUSTL(w=7),OncodriveCLUSTL,0.0,0.03894080996884735,0.019857029388403495,1.0,1.0,1259,0.066,188
SARS-CoV-2,P*E,OCLUSTL(w=11),OncodriveCLUSTL,0.0,0.03894080996884735,0.019857029388403495,1.0,1.0,1259,0.086,118
