,freq,entropy,rare_freq,homoplasy,esm2_llr,plddt,sasa,grantham,dnds_proxy,semantic_change
freq,1.0,0.965808002575637,0.6389809219218265,0.2322113033806792,0.10686341905727997,-0.014041232909101843,0.09024995130723291,0.2190880850821628,0.8658311606067463,0.3400087754856754
entropy,0.965808002575637,1.0,0.6803630212678624,0.23282257549002605,0.11293813187988307,-0.027717118781831005,0.09464180800624113,0.23263605774202883,0.8518085562854089,0.3473998479658102
rare_freq,0.6389809219218265,0.6803630212678624,1.0,0.1475062617746268,0.11382200617956606,-0.02925173414178167,0.06025614968766529,0.27633601767130467,0.541993984910099,0.3510908038484214
homoplasy,0.2322113033806792,0.23282257549002605,0.1475062617746268,1.0,0.05860120379549567,-0.01004048081243749,0.059833801753541506,0.03029918901539033,0.22011308587620088,0.16628313702113862
esm2_llr,0.10686341905727997,0.11293813187988307,0.11382200617956606,0.05860120379549567,1.0,-0.013516553594752435,0.10064448489931244,0.026535098008612208,0.029559464473084402,-0.09457787706079801
plddt,-0.014041232909101845,-0.027717118781831012,-0.02925173414178167,-0.01004048081243749,-0.013516553594752428,1.0,-0.185848010836282,-0.011076213781742702,-0.01607229893627543,-0.024363481305245894
sasa,0.09024995130723291,0.09464180800624113,0.06025614968766529,0.05983380175354152,0.10064448489931244,-0.185848010836282,1.0,0.006273081892068149,0.07185613891693482,-0.006916882097878553
grantham,0.21908808508216274,0.23263605774202883,0.27633601767130467,0.03029918901539032,0.026535098008612205,-0.011076213781742712,0.006273081892068149,1.0,0.22233495943932516,0.517889350901145
dnds_proxy,0.8658311606067463,0.8518085562854089,0.541993984910099,0.22011308587620088,0.02955946447308441,-0.016072298936275434,0.07185613891693482,0.22233495943932516,1.0,0.3460038807624315
semantic_change,0.3400087754856754,0.3473998479658102,0.3510908038484214,0.1662831370211386,-0.09457787706079801,-0.024363481305245904,-0.006916882097878552,0.517889350901145,0.3460038807624315,1.0
