pathogen,strategy,threshold,n_positions,n_layer_a,n_predicted,mcc,auroc,w_freq,w_entropy,w_rare_freq,w_homoplasy,w_esm2_llr,w_plddt,w_sasa,w_grantham,w_dnds_proxy,w_semantic_change
SARS-CoV-2,knn_cosine,top3,1259,25,38,0.07472201830186778,0.4819448946515397,0.055683983698981,0.0671144572961613,0.027056649562282382,0.23254345537043633,0.1375104202277178,0.1813061507163541,0.1151717411472321,0.054089871101132975,0.0571772881089971,0.07234598277070499
SARS-CoV-2,knn_cosine,top5,1259,25,63,0.09789906632309181,0.4819448946515397,0.055683983698981,0.0671144572961613,0.027056649562282382,0.23254345537043633,0.1375104202277178,0.1813061507163541,0.1151717411472321,0.054089871101132975,0.0571772881089971,0.07234598277070499
SARS-CoV-2,knn_cosine,top10,1259,25,126,0.04739066884256888,0.4819448946515397,0.055683983698981,0.0671144572961613,0.027056649562282382,0.23254345537043633,0.1375104202277178,0.1813061507163541,0.1151717411472321,0.054089871101132975,0.0571772881089971,0.07234598277070499
SARS-CoV-2,knn_cosine,mad2,1259,25,191,0.03503149346810556,0.4819448946515397,0.055683983698981,0.0671144572961613,0.027056649562282382,0.23254345537043633,0.1375104202277178,0.1813061507163541,0.1151717411472321,0.054089871101132975,0.0571772881089971,0.07234598277070499
SARS-CoV-2,top3_auc,top3,1259,25,38,0.008167351841272425,0.4879092382495948,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
SARS-CoV-2,top3_auc,top5,1259,25,63,0.045672403399035624,0.4879092382495948,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
SARS-CoV-2,top3_auc,top10,1259,25,126,0.028419332730392658,0.4879092382495948,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
SARS-CoV-2,top3_auc,mad2,1259,25,160,0.04825374243569703,0.4879092382495948,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
SARS-CoV-2,corr_ensemble,top3,1259,25,38,0.008167351841272425,0.520064829821718,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
SARS-CoV-2,corr_ensemble,top5,1259,25,63,0.045672403399035624,0.520064829821718,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
SARS-CoV-2,corr_ensemble,top10,1259,25,126,0.04739066884256888,0.520064829821718,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
SARS-CoV-2,corr_ensemble,mad2,1259,25,186,0.020964378160490616,0.520064829821718,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
SARS-CoV-2,oracle,top3,1259,25,38,0.008167351841272425,0.5248622366288492,0.007795559677071669,0.006258037269182673,0.009457698332009924,0.06484609130809471,0.3259673505810969,0.31668442253234413,0.22373099450887213,0.011050356918476644,0.012638219002340852,0.021571269870510165
SARS-CoV-2,oracle,top5,1259,25,63,-0.006554259525020553,0.5248622366288492,0.007795559677071669,0.006258037269182673,0.009457698332009924,0.06484609130809471,0.3259673505810969,0.31668442253234413,0.22373099450887213,0.011050356918476644,0.012638219002340852,0.021571269870510165
SARS-CoV-2,oracle,top10,1259,25,126,-0.02849467560613601,0.5248622366288492,0.007795559677071669,0.006258037269182673,0.009457698332009924,0.06484609130809471,0.3259673505810969,0.31668442253234413,0.22373099450887213,0.011050356918476644,0.012638219002340852,0.021571269870510165
SARS-CoV-2,oracle,mad2,1259,25,114,-0.02507191036395115,0.5248622366288492,0.007795559677071669,0.006258037269182673,0.009457698332009924,0.06484609130809471,0.3259673505810969,0.31668442253234413,0.22373099450887213,0.011050356918476644,0.012638219002340852,0.021571269870510165
SARS-CoV-2,baseline_freq,top3,1259,25,48,0.031123980590850808,,,,,,,,,,,
SARS-CoV-2,baseline_entropy,top3,1259,25,48,0.031123980590850808,,,,,,,,,,,
SARS-CoV-2,baseline_equal,top3,1259,25,38,0.0414446850715701,,,,,,,,,,,
SARS-CoV-2,baseline_best_single,top3,1259,25,38,-0.025109981389025253,,,,,,,,,,,
SARS-CoV-2,baseline_random,top3,1259,25,-1,0.0024159441124763296,,,,,,,,,,,
SARS-CoV-2,baseline_freq,top5,1259,25,1259,0.0,,,,,,,,,,,
SARS-CoV-2,baseline_entropy,top5,1259,25,1259,0.0,,,,,,,,,,,
SARS-CoV-2,baseline_equal,top5,1259,25,63,0.045672403399035624,,,,,,,,,,,
SARS-CoV-2,baseline_best_single,top5,1259,25,63,-0.006554259525020553,,,,,,,,,,,
SARS-CoV-2,baseline_random,top5,1259,25,-1,0.004218037686072945,,,,,,,,,,,
SARS-CoV-2,baseline_freq,top10,1259,25,1259,0.0,,,,,,,,,,,
SARS-CoV-2,baseline_entropy,top10,1259,25,1259,0.0,,,,,,,,,,,
SARS-CoV-2,baseline_equal,top10,1259,25,126,0.0663620049547451,,,,,,,,,,,
SARS-CoV-2,baseline_best_single,top10,1259,25,126,-0.02849467560613601,,,,,,,,,,,
SARS-CoV-2,baseline_random,top10,1259,25,-1,0.004917906070445401,,,,,,,,,,,
SARS-CoV-2,baseline_freq,mad2,1259,25,1,-0.004013027205297101,,,,,,,,,,,
SARS-CoV-2,baseline_entropy,mad2,1259,25,4,-0.008035641578348771,,,,,,,,,,,
SARS-CoV-2,baseline_equal,mad2,1259,25,167,0.04504961178845638,,,,,,,,,,,
SARS-CoV-2,baseline_best_single,mad2,1259,25,144,-0.01537379185374159,,,,,,,,,,,
SARS-CoV-2,baseline_random,mad2,1259,25,-1,0.004218037686072945,,,,,,,,,,,
