pathogen,scoring,detector,mcc,precision,recall,f1,n_detected
SARS-CoV-2,freq,Wavelet(t=1.0),-0.009179,0.016,0.08,0.026667,125
SARS-CoV-2,freq,AdaptiveKnee,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,freq,FreqThresh(p=80),0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,entropy,Wavelet(t=1.0),-0.006339,0.017094,0.08,0.028169,117
SARS-CoV-2,entropy,AdaptiveKnee,0.041782,0.076923,0.04,0.052632,13
SARS-CoV-2,entropy,FreqThresh(p=80),0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,rare_freq,Wavelet(t=1.0),0.171015,0.078652,0.56,0.137931,178
SARS-CoV-2,rare_freq,AdaptiveKnee,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,rare_freq,FreqThresh(p=80),0.051402,0.1,0.04,0.057143,10
SARS-CoV-2,H-score,Wavelet(t=1.0),-0.009865,0.015748,0.08,0.026316,127
SARS-CoV-2,H-score,AdaptiveKnee,-0.009849,0.0,0.0,0.0,6
SARS-CoV-2,H-score,FreqThresh(p=80),0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,homoplasy,Wavelet(t=1.0),0.108562,0.057803,0.4,0.10101,173
SARS-CoV-2,homoplasy,AdaptiveKnee,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,homoplasy,FreqThresh(p=80),0.03777,0.041096,0.12,0.061224,73
SARS-CoV-2,esm2_llr,Wavelet(t=1.0),-0.037694,0.006173,0.04,0.010695,162
SARS-CoV-2,esm2_llr,AdaptiveKnee,-0.011769,0.013333,0.04,0.02,75
SARS-CoV-2,esm2_llr,FreqThresh(p=80),-5.7e-05,0.019841,0.2,0.036101,252
SARS-CoV-2,plddt_inv,Wavelet(t=1.0),-0.005525,0.018182,0.16,0.032653,220
SARS-CoV-2,plddt_inv,AdaptiveKnee,0.019624,0.023404,0.44,0.044444,470
SARS-CoV-2,plddt_inv,FreqThresh(p=80),-0.056974,0.003968,0.04,0.00722,252
SARS-CoV-2,sasa,Wavelet(t=1.0),0.001068,0.020202,0.16,0.035874,198
SARS-CoV-2,sasa,AdaptiveKnee,-0.029146,0.014151,0.24,0.026726,424
SARS-CoV-2,sasa,FreqThresh(p=80),0.003613,0.021053,0.16,0.037209,190
SARS-CoV-2,grantham,Wavelet(t=1.0),0.005112,0.021898,0.12,0.037037,137
SARS-CoV-2,grantham,AdaptiveKnee,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,grantham,FreqThresh(p=80),0.051402,0.1,0.04,0.057143,10
SARS-CoV-2,dnds_proxy,Wavelet(t=1.0),-0.009179,0.016,0.08,0.026667,125
SARS-CoV-2,dnds_proxy,AdaptiveKnee,0.065925,0.142857,0.04,0.0625,7
SARS-CoV-2,dnds_proxy,FreqThresh(p=80),0.047815,0.090909,0.04,0.055556,11
SARS-CoV-2,semantic_change,Wavelet(t=1.0),0.117282,0.062893,0.4,0.108696,159
SARS-CoV-2,semantic_change,AdaptiveKnee,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,semantic_change,FreqThresh(p=80),0.051402,0.1,0.04,0.057143,10
SARS-CoV-2,EVEscape_composite,Wavelet(t=1.0),0.049673,0.038217,0.24,0.065934,157
SARS-CoV-2,EVEscape_composite,AdaptiveKnee,0.050862,0.064516,0.08,0.071429,31
SARS-CoV-2,EVEscape_composite,FreqThresh(p=80),0.065925,0.142857,0.04,0.0625,7
SARS-CoV-2,EqualWeight,Wavelet(t=1.0),0.043719,0.035294,0.24,0.061538,170
SARS-CoV-2,EqualWeight,AdaptiveKnee,0.023463,0.03125,0.12,0.049587,96
SARS-CoV-2,EqualWeight,FreqThresh(p=80),0.014173,0.02381,0.24,0.043321,252
H3N2,freq,Wavelet(t=1.0),0.071724,0.076923,0.32,0.124031,104
H3N2,freq,AdaptiveKnee,0.112388,0.12,0.24,0.16,50
H3N2,freq,FreqThresh(p=80),0.022623,0.055556,0.24,0.090226,108
H3N2,entropy,Wavelet(t=1.0),-0.070458,0.011765,0.04,0.018182,85
H3N2,entropy,AdaptiveKnee,0.101001,0.109091,0.24,0.15,55
H3N2,entropy,FreqThresh(p=80),0.044637,0.064815,0.28,0.105263,108
H3N2,rare_freq,Wavelet(t=1.0),-0.036038,0.027027,0.08,0.040404,74
H3N2,rare_freq,AdaptiveKnee,0.045159,0.067416,0.24,0.105263,89
H3N2,rare_freq,FreqThresh(p=80),0.040077,0.064516,0.24,0.101695,93
H3N2,H-score,Wavelet(t=1.0),-0.094642,0.0,0.0,0.0,85
H3N2,H-score,AdaptiveKnee,0.072826,0.085714,0.24,0.126316,70
H3N2,H-score,FreqThresh(p=80),0.022623,0.055556,0.24,0.090226,108
H3N2,homoplasy,Wavelet(t=1.0),-0.092653,0.0,0.0,0.0,82
H3N2,homoplasy,AdaptiveKnee,0.116387,0.096154,0.4,0.155039,104
H3N2,homoplasy,FreqThresh(p=80),0.054719,0.064103,0.4,0.110497,156
H3N2,esm2_llr,Wavelet(t=1.0),0.05685,0.071429,0.28,0.113821,98
H3N2,esm2_llr,AdaptiveKnee,-0.023611,0.032258,0.08,0.045977,62
H3N2,esm2_llr,FreqThresh(p=80),-0.022343,0.036697,0.16,0.059701,109
H3N2,plddt_inv,Wavelet(t=1.0),-0.113876,0.0,0.0,0.0,115
H3N2,plddt_inv,AdaptiveKnee,-0.199938,0.0,0.0,0.0,246
H3N2,plddt_inv,FreqThresh(p=80),-0.118262,0.0,0.0,0.0,122
H3N2,sasa,Wavelet(t=1.0),-0.066835,0.0,0.0,0.0,46
H3N2,sasa,AdaptiveKnee,-0.05831,0.02381,0.12,0.039735,126
H3N2,sasa,FreqThresh(p=80),-0.036365,0.03,0.12,0.048,100
H3N2,grantham,Wavelet(t=1.0),-0.091319,0.0,0.0,0.0,80
H3N2,grantham,AdaptiveKnee,-0.014276,0.037037,0.08,0.050633,54
H3N2,grantham,FreqThresh(p=80),-0.021406,0.037037,0.16,0.06015,108
H3N2,dnds_proxy,Wavelet(t=1.0),0.203939,0.133333,0.56,0.215385,105
H3N2,dnds_proxy,AdaptiveKnee,0.075796,0.09434,0.2,0.128205,53
H3N2,dnds_proxy,FreqThresh(p=80),0.08735,0.082569,0.36,0.134328,109
H3N2,semantic_change,Wavelet(t=1.0),-0.085894,0.0,0.0,0.0,72
H3N2,semantic_change,AdaptiveKnee,0.013905,0.057143,0.08,0.066667,35
H3N2,semantic_change,FreqThresh(p=80),0.110681,0.092593,0.4,0.150376,108
H3N2,EVEscape_composite,Wavelet(t=1.0),0.030168,0.063492,0.16,0.090909,63
H3N2,EVEscape_composite,AdaptiveKnee,-0.007851,0.040816,0.08,0.054054,49
H3N2,EVEscape_composite,FreqThresh(p=80),-0.0127,0.040404,0.16,0.064516,99
H3N2,EqualWeight,Wavelet(t=1.0),-0.091987,0.0,0.0,0.0,81
H3N2,EqualWeight,AdaptiveKnee,0.111962,0.131579,0.2,0.15873,38
H3N2,EqualWeight,FreqThresh(p=80),0.043473,0.06422,0.28,0.104478,109
Norovirus,freq,Wavelet(t=1.0),0.278123,0.1375,0.733333,0.231579,80
Norovirus,freq,AdaptiveKnee,0.250766,0.128205,0.666667,0.215054,78
Norovirus,freq,FreqThresh(p=80),0.28349,0.153846,0.666667,0.25,65
Norovirus,entropy,Wavelet(t=1.0),0.22457,0.10989,0.666667,0.188679,91
Norovirus,entropy,AdaptiveKnee,0.226408,0.111111,0.666667,0.190476,90
Norovirus,entropy,FreqThresh(p=80),0.28349,0.153846,0.666667,0.25,65
Norovirus,rare_freq,Wavelet(t=1.0),0.067174,0.056338,0.266667,0.093023,71
Norovirus,rare_freq,AdaptiveKnee,0.059772,0.048077,0.333333,0.084034,104
Norovirus,rare_freq,FreqThresh(p=80),0.044738,0.048387,0.2,0.077922,62
Norovirus,H-score,Wavelet(t=1.0),0.230164,0.113636,0.666667,0.194175,88
Norovirus,H-score,AdaptiveKnee,0.230164,0.113636,0.666667,0.194175,88
Norovirus,H-score,FreqThresh(p=80),0.28349,0.153846,0.666667,0.25,65
Norovirus,homoplasy,Wavelet(t=1.0),0.222758,0.108696,0.666667,0.186916,92
Norovirus,homoplasy,AdaptiveKnee,0.293716,0.119658,0.933333,0.212121,117
Norovirus,homoplasy,FreqThresh(p=80),0.35231,0.159091,0.933333,0.271845,88
Norovirus,esm2_llr,Wavelet(t=1.0),-0.083253,0.0,0.0,0.0,104
Norovirus,esm2_llr,AdaptiveKnee,0.037906,0.05,0.133333,0.072727,40
Norovirus,esm2_llr,FreqThresh(p=80),0.083972,0.055556,0.4,0.097561,108
Norovirus,plddt_inv,Wavelet(t=1.0),-0.064132,0.0,0.0,0.0,67
Norovirus,plddt_inv,AdaptiveKnee,-0.063995,0.008333,0.066667,0.014815,120
Norovirus,plddt_inv,FreqThresh(p=80),-0.056441,0.009346,0.066667,0.016393,107
Norovirus,sasa,Wavelet(t=1.0),-0.066302,0.0,0.0,0.0,71
Norovirus,sasa,AdaptiveKnee,0.108017,0.068182,0.4,0.116505,88
Norovirus,sasa,FreqThresh(p=80),0.09533,0.061224,0.4,0.106195,98
Norovirus,grantham,Wavelet(t=1.0),-0.035116,0.013514,0.066667,0.022472,74
Norovirus,grantham,AdaptiveKnee,-0.047872,0.010753,0.066667,0.018519,93
Norovirus,grantham,FreqThresh(p=80),-0.028381,0.015385,0.066667,0.025,65
Norovirus,dnds_proxy,Wavelet(t=1.0),0.203211,0.104651,0.6,0.178218,86
Norovirus,dnds_proxy,AdaptiveKnee,0.244237,0.123457,0.666667,0.208333,81
Norovirus,dnds_proxy,FreqThresh(p=80),0.28349,0.153846,0.666667,0.25,65
Norovirus,semantic_change,Wavelet(t=1.0),-0.058532,0.0,0.0,0.0,57
Norovirus,semantic_change,AdaptiveKnee,-0.002796,0.026316,0.066667,0.037736,38
Norovirus,semantic_change,FreqThresh(p=80),0.040923,0.046154,0.2,0.075,65
Norovirus,EVEscape_composite,Wavelet(t=1.0),0.22457,0.10989,0.666667,0.188679,91
Norovirus,EVEscape_composite,AdaptiveKnee,0.170728,0.091954,0.533333,0.156863,87
Norovirus,EVEscape_composite,FreqThresh(p=80),0.226777,0.133333,0.533333,0.213333,60
Norovirus,EqualWeight,Wavelet(t=1.0),0.05748,0.056604,0.2,0.088235,53
Norovirus,EqualWeight,AdaptiveKnee,0.230164,0.113636,0.666667,0.194175,88
Norovirus,EqualWeight,FreqThresh(p=80),0.224978,0.101852,0.733333,0.178862,108
HIV-1,freq,Wavelet(t=1.0),0.054499,0.074468,0.304348,0.119658,94
HIV-1,freq,AdaptiveKnee,0.087114,0.065292,0.826087,0.121019,291
HIV-1,freq,FreqThresh(p=80),0.134379,0.10989,0.434783,0.175439,91
HIV-1,entropy,Wavelet(t=1.0),0.047257,0.070707,0.304348,0.114754,99
HIV-1,entropy,AdaptiveKnee,0.102673,0.06734,0.869565,0.125,297
HIV-1,entropy,FreqThresh(p=80),0.163426,0.123596,0.478261,0.196429,89
HIV-1,rare_freq,Wavelet(t=1.0),-0.058049,0.017544,0.043478,0.025,57
HIV-1,rare_freq,AdaptiveKnee,0.059328,0.084746,0.217391,0.121951,59
HIV-1,rare_freq,FreqThresh(p=80),0.048101,0.064706,0.478261,0.11399,170
HIV-1,H-score,Wavelet(t=1.0),0.041686,0.067961,0.304348,0.111111,103
HIV-1,H-score,AdaptiveKnee,0.073654,0.062295,0.826087,0.115854,305
HIV-1,H-score,FreqThresh(p=80),0.11276,0.101124,0.391304,0.160714,89
HIV-1,homoplasy,Wavelet(t=1.0),0.13778,0.118421,0.391304,0.181818,76
HIV-1,homoplasy,AdaptiveKnee,0.077872,0.081081,0.391304,0.134328,111
HIV-1,homoplasy,FreqThresh(p=80),0.035318,0.066667,0.26087,0.106195,90
HIV-1,esm2_llr,Wavelet(t=1.0),-0.105449,0.0,0.0,0.0,77
HIV-1,esm2_llr,AdaptiveKnee,-0.069467,0.0,0.0,0.0,37
HIV-1,esm2_llr,FreqThresh(p=80),-0.090816,0.011111,0.043478,0.017699,90
HIV-1,plddt_inv,Wavelet(t=1.0),-0.074464,0.0,0.0,0.0,42
HIV-1,plddt_inv,AdaptiveKnee,-0.016557,0.050119,0.913043,0.095023,419
HIV-1,plddt_inv,FreqThresh(p=80),0.058595,0.074074,0.347826,0.122137,108
HIV-1,sasa,Wavelet(t=1.0),-0.025067,0.038961,0.130435,0.06,77
HIV-1,sasa,AdaptiveKnee,0.022683,0.063492,0.173913,0.093023,63
HIV-1,sasa,FreqThresh(p=80),0.011428,0.05618,0.217391,0.089286,89
HIV-1,grantham,Wavelet(t=1.0),-0.025067,0.038961,0.130435,0.06,77
HIV-1,grantham,AdaptiveKnee,-0.042755,0.028986,0.086957,0.043478,69
HIV-1,grantham,FreqThresh(p=80),-0.013905,0.044944,0.173913,0.071429,89
HIV-1,dnds_proxy,Wavelet(t=1.0),0.053024,0.073684,0.304348,0.118644,95
HIV-1,dnds_proxy,AdaptiveKnee,0.004854,0.053191,0.217391,0.08547,94
HIV-1,dnds_proxy,FreqThresh(p=80),0.004854,0.053191,0.217391,0.08547,94
HIV-1,semantic_change,Wavelet(t=1.0),0.003112,0.052632,0.173913,0.080808,76
HIV-1,semantic_change,AdaptiveKnee,0.116758,0.116667,0.304348,0.168675,60
HIV-1,semantic_change,FreqThresh(p=80),0.062094,0.078652,0.304348,0.125,89
HIV-1,EVEscape_composite,Wavelet(t=1.0),0.018301,0.059524,0.217391,0.093458,84
HIV-1,EVEscape_composite,AdaptiveKnee,-0.103792,0.0,0.0,0.0,75
HIV-1,EVEscape_composite,FreqThresh(p=80),-0.114429,0.0,0.0,0.0,88
HIV-1,EqualWeight,Wavelet(t=1.0),0.127648,0.111111,0.391304,0.173077,81
HIV-1,EqualWeight,AdaptiveKnee,0.083596,0.130435,0.130435,0.130435,23
HIV-1,EqualWeight,FreqThresh(p=80),0.161452,0.122222,0.478261,0.19469,90
Dengue,freq,Wavelet(t=1.0),0.066262,0.079545,0.291667,0.125,88
Dengue,freq,AdaptiveKnee,0.051025,0.063953,0.458333,0.112245,172
Dengue,freq,FreqThresh(p=80),0.057903,0.077922,0.25,0.118812,77
Dengue,entropy,Wavelet(t=1.0),0.038873,0.066667,0.25,0.105263,90
