threshold,pathogen,best_combo,dms_f1,n_gt_positions
10,SARS-CoV-2,E*rare + Wavelet(t=1.0),0.0413,126
10,SARS-CoV-2,E*rare + Wavelet(t=1.5),0.0417,126
10,SARS-CoV-2,E*rare + Wavelet(t=2.0),0.0476,126
10,SARS-CoV-2,E*rare + KDE(p=75),0.1406,126
10,SARS-CoV-2,E*rare + KDE(p=80),0.1111,126
10,SARS-CoV-2,E*rare + KDE(p=85),0.1079,126
10,SARS-CoV-2,E*rare + SlidingTest(p=0.01),0.037,126
10,SARS-CoV-2,E*rare + SlidingTest(p=0.05),0.0359,126
10,SARS-CoV-2,E*rare + LocalContrast(z=1.0),0.0356,126
10,SARS-CoV-2,E*rare + LocalContrast(z=1.5),0.0,126
10,SARS-CoV-2,E*rare + LocalContrast(z=2.0),0.0,126
10,SARS-CoV-2,"E*rare + CUSUM(d=0.3,h=3.0)",0.0,126
10,SARS-CoV-2,"E*rare + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"E*rare + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,E*rare + AdaptiveKnee,0.0,126
10,SARS-CoV-2,E*rare + ScoreDBSCAN(ep=8),0.2069,126
10,SARS-CoV-2,E*rare + ScoreDBSCAN(ep=15),0.1997,126
10,SARS-CoV-2,E*rare + Spectral(z=1.5),0.0,126
10,SARS-CoV-2,E*rare + Spectral(z=2.0),0.0,126
10,SARS-CoV-2,E*rare + Bayes(prior=0.1),0.0,126
10,SARS-CoV-2,E*rare + Bayes(prior=0.15),0.0,126
10,SARS-CoV-2,E*rare + Ensemble(v>=2),0.0669,126
10,SARS-CoV-2,E*rare + Ensemble(v>=3),0.0,126
10,SARS-CoV-2,E*rare + AdaptWin(s=90),0.1797,126
10,SARS-CoV-2,E*rare + AdaptWin(s=85),0.1902,126
10,SARS-CoV-2,E*rare + FreqThresh(p=80),0.1657,126
10,SARS-CoV-2,E*rare + FreqThresh(p=85),0.129,126
10,SARS-CoV-2,E*rare + FreqThresh(p=90),0.0669,126
10,SARS-CoV-2,E*rare + FreqThresh(p=95),0.0,126
10,SARS-CoV-2,"E*rare + SWAN(w=10,k=1.0)",0.0667,126
10,SARS-CoV-2,"E*rare + SWAN(w=10,k=1.5)",0.0538,126
10,SARS-CoV-2,"E*rare + SWAN(w=10,k=2.0)",0.0274,126
10,SARS-CoV-2,"E*rare + SWAN(w=20,k=1.0)",0.1238,126
