method,pathogen,top_minus_bottom_prev,ci_lo,ci_hi,spearman_rho,spearman_p,ci_excludes_zero
4-core,SARS-CoV-2,0.015873015873015872,0.0,0.03968253968253968,0.12727272727272726,0.7260570147627894,False
4-core,H3N2,0.14545454545454545,0.05454545454545454,0.23636363636363636,0.8643457510060755,0.001253729937570454,True
4-core,Norovirus,0.24074074074074073,0.12962962962962962,0.35185185185185186,0.7416198487095663,0.014080144096380075,True
4-core,HIV-1,0.043478260869565216,0.0,0.10869565217391304,0.6299959322667508,0.050906782702736596,False
4-core,Dengue,0.16,0.06,0.26,0.8343519944775737,0.0026833453122100857,True
4-core,RSV,-0.05555555555555555,-0.1111111111111111,0.0,-0.09878237154355148,0.7860098079273226,False
4-core,Influenza_B,0.14035087719298245,0.05263157894736842,0.22807017543859648,0.8719919340780657,0.0010037040643941656,True
4-core,MERS,0.0,0.0,0.0,0.1028145151440831,0.7774556569195896,False
4-core,HCV,0.16103896103896104,-0.04242424242424242,0.36623376623376624,0.37426130267530777,0.2866631890735267,False
4-core,Zika,0.0,-0.08695652173913043,0.08695652173913043,0.12158110873601292,0.7379379712336098,False
4-core,Rabies,-0.12326530612244896,-0.24489795918367346,-0.0028469387755101928,-0.7628725873664813,0.010272249480734791,True
4-core,EV-A71,0.03276353276353275,-0.1566951566951567,0.22079772079772078,-0.41137667560372115,0.2375619217763858,False
3-core,SARS-CoV-2,,,,,,False
3-core,H3N2,0.03535353535353536,-0.05656565656565656,0.1441077441077441,0.5583242384172624,0.09346396626964013,False
3-core,Norovirus,0.2222222222222222,0.1111111111111111,0.35185185185185186,0.6934700791133827,0.026152553858395718,True
3-core,HIV-1,0.10869565217391304,0.021739130434782608,0.1956521739130435,0.6002931835014935,0.0665200154554156,True
3-core,Dengue,0.10076923076923076,0.0022884615384615344,0.20076923076923076,0.8231860349807906,0.0034339368139028716,True
3-core,RSV,-0.018518518518518517,-0.05555555555555555,0.0,-0.08026067687913557,0.8255563888460676,False
3-core,Influenza_B,0.14035087719298245,0.05263157894736842,0.24561403508771928,0.8952737857857512,0.0004629661307367374,True
3-core,MERS,-0.007518796992481203,-0.022556390977443608,0.0,0.2392080280190373,0.5056601006121273,False
3-core,HCV,0.245021645021645,0.014675324675324647,0.44679653679653675,0.22492505116162387,0.5321220586935935,True
3-core,Zika,0.011538461538461539,-0.07692307692307693,0.1,0.4285714285714286,0.3965014577259474,False
3-core,Rabies,-0.06416666666666668,-0.1675,0.037500000000000006,-0.8353813836471727,0.002620705797353036,False
3-core,EV-A71,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.5030303030303029,0.13833369839449197,True
full-10,SARS-CoV-2,0.023746031746031744,-0.008063492063492064,0.05555555555555555,-0.3938927711338647,0.26005926393428797,False
full-10,H3N2,0.10875420875420874,0.017508417508417508,0.2,0.8528249356043897,0.0017118949981063225,True
full-10,Norovirus,0.16666666666666666,0.07407407407407407,0.25925925925925924,0.9125996853929778,0.00022947598269875698,True
full-10,HIV-1,0.08695652173913043,0.021739130434782608,0.17391304347826086,0.8087806670128277,0.004611133387850723,True
full-10,Dengue,0.1,0.03950000000000003,0.2,0.8458240563416595,0.0020433668009717763,True
full-10,RSV,-0.1111111111111111,-0.2037037037037037,-0.037037037037037035,-0.5321681029763117,0.11332111653053288,True
full-10,Influenza_B,0.14035087719298245,0.05263157894736842,0.22807017543859648,0.8457425519723094,0.0020474789164077805,True
full-10,MERS,0.007462686567164179,0.0,0.022388059701492536,0.38645540811375023,0.269971924470401,False
full-10,HCV,0.13246753246753246,-0.0727272727272727,0.3359740259740259,0.18813724483903468,0.6027100941604744,False
full-10,Zika,-0.06763285024154589,-0.200012077294686,0.042512077294685986,-0.043630859533728,0.904738976646884,False
full-10,Rabies,-0.1436734693877551,-0.2657142857142857,-0.022448979591836726,-0.8160123484559988,0.003989144395287169,True
full-10,EV-A71,0.07122507122507121,-0.08119658119658121,0.2564102564102564,0.4848811378764269,0.15548895478208474,False
freq-only,SARS-CoV-2,,,,,,False
freq-only,H3N2,0.0952020202020202,0.008585858585858586,0.18611111111111112,0.0303030303030303,0.9337729580941466,True
freq-only,Norovirus,,,,,,False
freq-only,HIV-1,0.10869565217391304,0.021739130434782608,0.1956521739130435,0.7176240840571119,0.019454483877960033,True
freq-only,Dengue,,,,,,False
freq-only,RSV,-0.09900990099009901,-0.15841584158415842,-0.039603960396039604,-0.4434734191469265,0.199230800578885,True
freq-only,Influenza_B,0.08576998050682261,-0.023391812865497075,0.19298245614035087,0.6154574548966636,0.0582052026037336,False
freq-only,MERS,-0.0017573589405636102,-0.02654867256637168,0.02127659574468085,-0.3714285714285715,0.46847813411078715,False
freq-only,HCV,0.40317460317460313,0.12380952380952381,0.6285714285714286,0.6904761904761906,0.057990318164572716,True
freq-only,Zika,0.01336898395721925,-0.10735294117647055,0.11764705882352941,0.5,0.6666666666666667,False
freq-only,Rabies,-0.096986301369863,-0.1917808219178082,0.004109589041095901,-0.5731813873199579,0.08324762708549167,False
freq-only,EV-A71,,,,,,False
entropy-only,SARS-CoV-2,,,,,,False
entropy-only,H3N2,0.09242424242424242,0.00454545454545454,0.1848863636363636,0.1702135522304181,0.6382593583672791,True
entropy-only,Norovirus,,,,,,False
entropy-only,HIV-1,0.10869565217391304,0.021739130434782608,0.1956521739130435,0.7754763931697962,0.008393730274406494,True
entropy-only,Dengue,,,,,,False
entropy-only,RSV,-0.09900990099009901,-0.15841584158415842,-0.039603960396039604,-0.4434734191469265,0.199230800578885,True
entropy-only,Influenza_B,0.09577999051683261,-0.001422475106685639,0.21052631578947367,0.754658036542014,0.01164487250461738,False
entropy-only,MERS,0.0007059298104074218,-0.01956434045986285,0.022388059701492536,0.21885688981825283,0.5435303493885986,False
entropy-only,HCV,0.3802197802197802,0.16043956043956042,0.5802197802197802,0.6606060606060605,0.03758837757140939,True
entropy-only,Zika,0.011688311688311685,-0.10779220779220779,0.11428571428571428,0.5,0.6666666666666667,False
entropy-only,Rabies,-0.096986301369863,-0.1928767123287671,-0.002191780821917802,-0.5731813873199579,0.08324762708549167,True
entropy-only,EV-A71,,,,,,False
homoplasy-only,SARS-CoV-2,,,,,,False
homoplasy-only,H3N2,0.06712962962962962,-0.08813657407407406,0.2037037037037037,0.28571428571428575,0.5345092286010406,False
homoplasy-only,Norovirus,,,,,,False
homoplasy-only,HIV-1,0.06521739130434782,0.0,0.15217391304347827,0.7055745870108261,0.022625592848361013,False
homoplasy-only,Dengue,0.146403242147923,0.02988855116514691,0.2765957446808511,0.7857142857142858,0.020815127253525276,True
homoplasy-only,RSV,-0.012445887445887448,-0.09090909090909091,0.05357142857142857,-0.10714285714285716,0.8191508555699912,False
homoplasy-only,Influenza_B,0.11290322580645161,0.04838709677419355,0.1935483870967742,0.7610194341477615,0.028298006198553945,True
homoplasy-only,MERS,0.0,0.0,0.0,0.5495319562599505,0.09986966300098964,False
homoplasy-only,HCV,-0.1649769585253456,-0.3262672811059908,-0.03182027649769625,-0.5272727272727272,0.11730806555020223,True
homoplasy-only,Zika,0.044401544401544396,-0.04537886100386101,0.12521718146718128,0.8999999999999998,0.03738607346849874,False
homoplasy-only,Rabies,-0.02564102564102564,-0.07692307692307693,0.0,-0.4285714285714286,0.2894032248467901,False
homoplasy-only,EV-A71,0.16592592592592592,-0.028148148148148144,0.4,0.6306562238868914,0.12888769568495784,False
random,SARS-CoV-2,0.023746031746031744,-0.008126984126984128,0.05555555555555555,0.7354916321399864,0.015339125875728069,False
random,H3N2,-0.0569023569023569,-0.16767676767676767,0.05387205387205388,-0.15952121097636068,0.6597923976289205,False
random,Norovirus,0.01781970649895178,-0.05695317959468903,0.09259259259259259,-0.08155320246773276,0.8227841514995877,False
random,HIV-1,0.01976284584980237,-0.07018280632411067,0.12749505928853755,0.012347796442943934,0.9729933131897832,False
random,Dengue,-0.0025000000000000022,-0.10416666666666667,0.09833333333333336,-0.733978822209595,0.01566158357725125,False
