,freq,entropy,rare_freq,homoplasy,esm2_llr,plddt,sasa,grantham,dnds_proxy,semantic_change
SARS-CoV-2,0.522,0.522,0.522,0.491,0.586,0.513,0.504,0.522,0.523,0.523
H3N2,0.548,0.533,0.535,0.639,0.405,0.787,0.416,0.554,0.548,0.649
Norovirus,0.76,0.762,0.644,0.944,0.763,0.674,0.747,0.569,0.756,0.613
HIV-1,0.713,0.73,0.592,0.686,0.339,0.359,0.533,0.561,0.628,0.645
Dengue,0.577,0.577,0.548,0.77,0.521,0.678,0.474,0.603,0.558,0.495
RSV,0.262,0.263,0.258,0.503,0.284,0.561,0.508,0.328,0.257,0.34
Influenza_B,0.784,0.773,0.64,0.805,0.587,0.486,0.599,0.529,0.75,0.63
MERS,0.515,0.544,0.665,0.681,0.695,0.162,0.579,0.47,0.478,0.665
HCV,0.677,0.679,0.424,0.405,0.447,0.474,0.488,0.383,0.68,0.379
Rabies,0.37,0.369,0.411,0.408,0.415,0.65,0.395,0.469,0.364,0.418
EV-A71,0.531,0.53,0.54,0.594,0.596,0.315,0.595,0.56,0.529,0.507
