pathogen,score,n_windows,year_min,year_max,mean_mcc,median_mcc,mean_f1,mean_auroc,mean_enrichment
Dengue,freq+entropy,23,1998,2023,-0.058260869565217394,-0.0689,0.03849565217391304,0.4773217391304348,2.3043478260869565
Dengue,freq+entropy+homoplasy,23,1998,2023,-0.05115652173913044,-0.0591,0.005773913043478261,0.42736521739130434,0.08665217391304347
Dengue,freq+entropy+plddt,23,1998,2023,-0.05433913043478261,-0.0591,0.004078260869565217,0.4134565217391304,0.06121739130434782
Dengue,freq+entropy+plddt+homoplasy,23,1998,2023,-0.051026086956521735,-0.0586,0.005773913043478261,0.42634347826086955,0.08665217391304347
EV-A71,freq+entropy,10,2014,2023,0.14640999999999998,0.16875,0.09562,0.77265,10.784600000000001
EV-A71,freq+entropy+homoplasy,10,2014,2023,0.18824000000000002,0.19975,0.12469000000000001,0.84351,9.3938
EV-A71,freq+entropy+plddt,10,2014,2023,0.14325000000000002,0.13315,0.09541999999999999,0.82203,7.796900000000001
EV-A71,freq+entropy+plddt+homoplasy,10,2014,2023,0.08691,0.092,0.07704,0.82513,3.9122
H3N2,freq+entropy,4,2023,2026,-0.029375,-0.029249999999999998,0.0,0.4296,0.0
H3N2,freq+entropy+homoplasy,4,2023,2026,-0.02825,-0.029,0.0,0.412675,0.0
H3N2,freq+entropy+plddt,4,2023,2026,-0.02825,-0.029,0.0,0.469,0.0
H3N2,freq+entropy+plddt+homoplasy,4,2023,2026,-0.02825,-0.029,0.0,0.461625,0.0
HCV,freq+entropy,4,2001,2004,-0.0070750000000000006,-0.0064,0.0,0.311725,0.0
HCV,freq+entropy+homoplasy,4,2001,2004,-0.0070750000000000006,-0.0064,0.0,0.084625,0.0
HCV,freq+entropy+plddt,4,2001,2004,-0.0070750000000000006,-0.0064,0.0,0.57675,0.0
HCV,freq+entropy+plddt+homoplasy,4,2001,2004,-0.0070750000000000006,-0.0064,0.0,0.58995,0.0
HIV-1,freq+entropy,5,2014,2018,-0.01926,-0.0167,0.0,0.4628,0.0
HIV-1,freq+entropy+homoplasy,5,2014,2018,-0.01926,-0.0167,0.0,0.47102000000000005,0.0
HIV-1,freq+entropy+plddt,5,2014,2018,-0.01926,-0.0167,0.0,0.43194,0.0
HIV-1,freq+entropy+plddt+homoplasy,5,2014,2018,-0.01926,-0.0167,0.0,0.45633999999999997,0.0
Influenza_B,freq+entropy,7,2020,2026,-0.024914285714285715,-0.028,0.0,0.6962285714285714,0.0
Influenza_B,freq+entropy+homoplasy,7,2020,2026,-0.023285714285714288,-0.0254,0.0,0.7324,0.0
Influenza_B,freq+entropy+plddt,7,2020,2026,-0.022985714285714283,-0.0254,0.0,0.6072,0.0
Influenza_B,freq+entropy+plddt+homoplasy,7,2020,2026,-0.022985714285714283,-0.0254,0.0,0.6496714285714286,0.0
MERS,freq+entropy,3,2016,2020,-0.09826666666666667,-0.0977,0.004333333333333333,0.6040333333333333,0.12666666666666668
MERS,freq+entropy+homoplasy,3,2016,2020,-0.08453333333333334,-0.0845,0.0087,0.5799666666666666,0.255
MERS,freq+entropy+plddt,3,2016,2020,-0.09756666666666665,-0.0977,0.0036333333333333335,0.6412666666666667,0.10566666666666667
MERS,freq+entropy+plddt+homoplasy,3,2016,2020,-0.08266666666666667,-0.0878,0.008700000000000001,0.5815,0.255
Norovirus,freq+entropy,6,2018,2023,-0.055549999999999995,-0.05405,0.0,0.31666666666666665,0.0
Norovirus,freq+entropy+homoplasy,6,2018,2023,-0.04125,-0.03855,0.011133333333333334,0.2322,0.23016666666666666
Norovirus,freq+entropy+plddt,6,2018,2023,-0.05503333333333333,-0.05405,0.0,0.22148333333333334,0.0
Norovirus,freq+entropy+plddt+homoplasy,6,2018,2023,-0.05228333333333333,-0.05405,0.0018333333333333333,0.22030000000000002,0.03333333333333333
RSV,freq+entropy,2,2019,2021,-0.0138,-0.0138,0.0,0.5596,0.0
RSV,freq+entropy+homoplasy,2,2019,2021,-0.011949999999999999,-0.011949999999999999,0.0,0.9102,0.0
RSV,freq+entropy+plddt,2,2019,2021,-0.01185,-0.01185,0.0,0.8409500000000001,0.0
RSV,freq+entropy+plddt+homoplasy,2,2019,2021,-0.01185,-0.01185,0.0,0.92155,0.0
Rabies,freq+entropy,8,2008,2021,0.11220000000000001,0.13795,0.1264125,0.7885375,4.101
Rabies,freq+entropy+homoplasy,8,2008,2021,0.0673125,0.0543,0.0858,0.8598,2.931625
Rabies,freq+entropy+plddt,8,2008,2021,0.0544875,0.0307,0.07715,0.7289125,2.41175
Rabies,freq+entropy+plddt+homoplasy,8,2008,2021,0.074475,0.0754,0.0919,0.8001,3.1305
SARS-CoV-2,freq+entropy,1,2025,2025,-0.013,-0.013,0.0,0.5138,0.0
SARS-CoV-2,freq+entropy+homoplasy,1,2025,2025,-0.013,-0.013,0.0,0.5138,0.0
SARS-CoV-2,freq+entropy+plddt,1,2025,2025,-0.013,-0.013,0.0,0.5138,0.0
SARS-CoV-2,freq+entropy+plddt+homoplasy,1,2025,2025,-0.013,-0.013,0.0,0.5138,0.0
