family,Dengue,H3N2,HCV,HIV-1,Influenza_B,MERS,Norovirus,RSV,SARS-CoV-2,mean_MCC,min_MCC
Wavelet,0.22478207207503823,0.3652960735622376,0.360367279425559,0.3333938600706819,0.5886356628792724,0.08344835524223061,0.5843412009967329,0.184107753344314,0.1756270951302806,0.32222215030292745,0.08344835524223061
FreqThresh,0.22272109148724345,0.1679179346207624,0.2902751132480055,0.24896382865716976,0.2843320882902694,0.16430500801347842,0.5387683057890724,0.1611893966892961,0.1513619687889329,0.24775941506491447,0.1513619687889329
CUSUM,0.1098917824817933,0.3592633816009574,0.3012156714342309,0.044334622107328206,0.41147296070066053,0.12956477740062602,0.4405579793121031,0.27706346168873097,0.1196185440646846,0.24366479786567943,0.044334622107328206
AdaptWin,0.2716463397852154,0.22448292806722334,0.17134819037357146,0.28691849701393596,0.28450312491028695,0.20899939694276076,0.47973350191326103,0.08639991934745998,0.12054941022779679,0.2371757009535013,0.08639991934745998
AdaptiveKnee,0.2114719461051044,0.20538551535497926,0.23154733079031875,0.29279617611399633,0.14509594688035093,0.0629879074825336,0.510712821573597,0.0855383470890716,0.20415753864055508,0.2166326144478341,0.0629879074825336
Bayes,0.1742554178383713,0.17320265037326632,0.21660852938432765,0.29523371118877156,0.26127284895679415,0.18419596367916627,0.3721934486920739,0.07424188407935291,0.1712665259597955,0.21360788668354658,0.07424188407935291
KDE,0.13672446433775534,0.3739069638513725,-0.2615862590970316,0.09282575897495916,0.35522689904932175,0.3128134274689921,0.7067684505193735,0.02570501712473848,0.10619319244592454,0.20539754607504512,-0.2615862590970316
SlidingTest,0.09010102436042185,0.3570475524485011,-0.2882540182005211,0.35754288560000935,0.3622060411320969,0.28656099373055194,0.5102582889724973,-0.03240343347639485,0.17990564687836855,0.20255166460505902,-0.2882540182005211
SWAN,0.37204053101062845,0.0,0.0,0.19468890217439722,0.21171611761366105,0.06802624764789282,0.6668319862566654,0.11784967318611672,0.10545811704076782,0.19295684165890326,0.0
Ensemble,0.08075130497757328,0.10586910225191298,0.20499296323548608,0.2654921705848902,0.2792808137427298,0.048233210087903364,0.4721766216870789,0.11387269457922515,0.1654852919454987,0.1929060192324776,0.048233210087903364
LocalContrast,0.20001653677520762,0.13598824765352202,0.1872128906146659,0.11274781325588368,0.11617708811780819,0.15528858323908074,0.3283504939468624,0.24484584226795836,0.14789734854174233,0.18094720493474792,0.11274781325588368
GradPeak,0.19782829517360115,0.06679549189262157,0.18199189014076883,0.2977542229033049,0.163642435403294,0.02803234908673304,0.4388661534431622,0.10192205370556656,0.11201267771718808,0.17653839660736004,0.02803234908673304
Spectral,0.1491075149050527,0.11339501179510877,0.0658898942232942,0.20054429683714756,0.22938404880254648,0.05221902613819274,0.4746890695318555,0.06901082000320484,0.077489278829462,0.15908099567398498,0.05221902613819274
MutClust-Orig,0.10686736045985225,0.10325988922137513,0.0,0.22212735919034604,0.20733768480530826,0.07042331133262134,0.3497452368453956,0.027585603365577284,0.15394477382526683,0.13792124656063806,0.0
ScoreDBSCAN,0.0,0.0,0.0,0.034264537976485834,0.0,0.008398914258542448,0.08846847071601623,0.1821188067896253,0.2653923855747802,0.06429367947949444,0.0
