decile,n,prevalence,prev_lo,prev_hi,window_prev,enrichment,method,pathogen,base_rate
0,125,0.0,0.0,0.0,0.056,0.0,4-core,SARS-CoV-2,0.019857029388403495
1,126,0.007936507936507936,0.0,0.023809523809523808,0.007936507936507936,0.39968253968253964,4-core,SARS-CoV-2,0.019857029388403495
2,126,0.031746031746031744,0.007936507936507936,0.06349206349206349,0.2619047619047619,1.5987301587301586,4-core,SARS-CoV-2,0.019857029388403495
3,127,0.023622047244094488,0.0,0.05511811023622047,0.30708661417322836,1.1896062992125984,4-core,SARS-CoV-2,0.019857029388403495
4,124,0.016129032258064516,0.0,0.04032258064516129,0.16129032258064516,0.812258064516129,4-core,SARS-CoV-2,0.019857029388403495
5,125,0.04,0.008,0.08,0.192,2.0144,4-core,SARS-CoV-2,0.019857029388403495
6,128,0.03125,0.0078125,0.0625,0.28125,1.57375,4-core,SARS-CoV-2,0.019857029388403495
7,125,0.016,0.0,0.04,0.296,0.80576,4-core,SARS-CoV-2,0.019857029388403495
8,127,0.015748031496062992,0.0,0.03937007874015748,0.23622047244094488,0.7930708661417323,4-core,SARS-CoV-2,0.019857029388403495
9,126,0.015873015873015872,0.0,0.03968253968253968,0.3333333333333333,0.7993650793650793,4-core,SARS-CoV-2,0.019857029388403495
0,54,0.0,0.0,0.0,0.09259259259259259,0.0,4-core,H3N2,0.04604051565377532
1,54,0.018518518518518517,0.0,0.05555555555555555,0.018518518518518517,0.4022222222222222,4-core,H3N2,0.04604051565377532
2,54,0.0,0.0,0.0,0.0,0.0,4-core,H3N2,0.04604051565377532
3,55,0.0,0.0,0.0,0.0,0.0,4-core,H3N2,0.04604051565377532
4,54,0.05555555555555555,0.0,0.12962962962962962,0.14814814814814814,1.2066666666666666,4-core,H3N2,0.04604051565377532
5,54,0.018518518518518517,0.0,0.05555555555555555,0.16666666666666666,0.4022222222222222,4-core,H3N2,0.04604051565377532
6,55,0.03636363636363636,0.0,0.09090909090909091,0.18181818181818182,0.7898181818181818,4-core,H3N2,0.04604051565377532
7,54,0.05555555555555555,0.0,0.12962962962962962,0.2222222222222222,1.2066666666666666,4-core,H3N2,0.04604051565377532
8,54,0.12962962962962962,0.05555555555555555,0.2222222222222222,0.2777777777777778,2.8155555555555556,4-core,H3N2,0.04604051565377532
9,55,0.14545454545454545,0.0722727272727273,0.23636363636363636,0.4727272727272727,3.159272727272727,4-core,H3N2,0.04604051565377532
0,53,0.0,0.0,0.0,0.0,0.0,4-core,Norovirus,0.027985074626865673
1,54,0.0,0.0,0.0,0.018518518518518517,0.0,4-core,Norovirus,0.027985074626865673
2,53,0.0,0.0,0.0,0.05660377358490566,0.0,4-core,Norovirus,0.027985074626865673
3,54,0.0,0.0,0.0,0.09259259259259259,0.0,4-core,Norovirus,0.027985074626865673
4,53,0.0,0.0,0.0,0.11320754716981132,0.0,4-core,Norovirus,0.027985074626865673
5,54,0.0,0.0,0.0,0.18518518518518517,0.0,4-core,Norovirus,0.027985074626865673
6,54,0.018518518518518517,0.0,0.05555555555555555,0.3148148148148148,0.6617283950617283,4-core,Norovirus,0.027985074626865673
7,53,0.0,0.0,0.0,0.2830188679245283,0.0,4-core,Norovirus,0.027985074626865673
8,54,0.018518518518518517,0.0,0.05555555555555555,0.4074074074074074,0.6617283950617283,4-core,Norovirus,0.027985074626865673
9,54,0.24074074074074073,0.12962962962962962,0.35185185185185186,0.7407407407407407,8.602469135802469,4-core,Norovirus,0.027985074626865673
0,44,0.0,0.0,0.0,0.0,0.0,4-core,HIV-1,0.051111111111111114
1,45,0.0,0.0,0.0,0.044444444444444446,0.0,4-core,HIV-1,0.051111111111111114
2,45,0.044444444444444446,0.0,0.1111111111111111,0.15555555555555556,0.8695652173913043,4-core,HIV-1,0.051111111111111114
3,45,0.022222222222222223,0.0,0.06666666666666667,0.1111111111111111,0.43478260869565216,4-core,HIV-1,0.051111111111111114
4,45,0.08888888888888889,0.022222222222222223,0.17777777777777778,0.4,1.7391304347826086,4-core,HIV-1,0.051111111111111114
5,45,0.044444444444444446,0.0,0.1111111111111111,0.4444444444444444,0.8695652173913043,4-core,HIV-1,0.051111111111111114
6,45,0.06666666666666667,0.0,0.13333333333333333,0.5111111111111111,1.3043478260869563,4-core,HIV-1,0.051111111111111114
7,45,0.1111111111111111,0.022222222222222223,0.2222222222222222,0.4666666666666667,2.1739130434782608,4-core,HIV-1,0.051111111111111114
8,45,0.08888888888888889,0.022222222222222223,0.17777777777777778,0.4666666666666667,1.7391304347826086,4-core,HIV-1,0.051111111111111114
9,46,0.043478260869565216,0.0,0.10869565217391304,0.43478260869565216,0.8506616257088846,4-core,HIV-1,0.051111111111111114
0,48,0.0,0.0,0.0,0.08333333333333333,0.0,4-core,Dengue,0.04897959183673469
1,49,0.0,0.0,0.0,0.20408163265306123,0.0,4-core,Dengue,0.04897959183673469
2,49,0.0,0.0,0.0,0.24489795918367346,0.0,4-core,Dengue,0.04897959183673469
3,49,0.02040816326530612,0.0,0.061224489795918366,0.46938775510204084,0.41666666666666663,4-core,Dengue,0.04897959183673469
4,49,0.0,0.0,0.0,0.3469387755102041,0.0,4-core,Dengue,0.04897959183673469
5,49,0.10204081632653061,0.02040816326530612,0.20408163265306123,0.6122448979591837,2.0833333333333335,4-core,Dengue,0.04897959183673469
6,49,0.10204081632653061,0.02040816326530612,0.1836734693877551,0.3877551020408163,2.0833333333333335,4-core,Dengue,0.04897959183673469
7,49,0.04081632653061224,0.0,0.10204081632653061,0.4489795918367347,0.8333333333333333,4-core,Dengue,0.04897959183673469
8,49,0.061224489795918366,0.0,0.12244897959183673,0.5714285714285714,1.25,4-core,Dengue,0.04897959183673469
9,50,0.16,0.06,0.28,0.7,3.266666666666667,4-core,Dengue,0.04897959183673469
0,54,0.05555555555555555,0.0,0.12962962962962962,0.46296296296296297,1.5277777777777777,4-core,RSV,0.03636363636363636
1,55,0.0,0.0,0.0,0.2727272727272727,0.0,4-core,RSV,0.03636363636363636
2,55,0.10909090909090909,0.03636363636363636,0.2,0.38181818181818183,3.0,4-core,RSV,0.03636363636363636
3,55,0.01818181818181818,0.0,0.05454545454545454,0.16363636363636364,0.5,4-core,RSV,0.03636363636363636
4,55,0.01818181818181818,0.0,0.07272727272727272,0.05454545454545454,0.5,4-core,RSV,0.03636363636363636
5,55,0.01818181818181818,0.0,0.05454545454545454,0.12727272727272726,0.5,4-core,RSV,0.03636363636363636
6,55,0.03636363636363636,0.0,0.09090909090909091,0.21818181818181817,1.0,4-core,RSV,0.03636363636363636
7,55,0.03636363636363636,0.0,0.09090909090909091,0.2545454545454545,1.0,4-core,RSV,0.03636363636363636
8,55,0.07272727272727272,0.01818181818181818,0.14545454545454545,0.16363636363636364,2.0,4-core,RSV,0.03636363636363636
9,56,0.0,0.0,0.0,0.03571428571428571,0.0,4-core,RSV,0.03636363636363636
0,55,0.0,0.0,0.0,0.0,0.0,4-core,Influenza_B,0.030357142857142857
1,56,0.0,0.0,0.0,0.0,0.0,4-core,Influenza_B,0.030357142857142857
2,56,0.0,0.0,0.0,0.0,0.0,4-core,Influenza_B,0.030357142857142857
3,57,0.017543859649122806,0.0,0.05263157894736842,0.05263157894736842,0.5779153766769866,4-core,Influenza_B,0.030357142857142857
4,55,0.01818181818181818,0.0,0.05454545454545454,0.14545454545454545,0.5989304812834224,4-core,Influenza_B,0.030357142857142857
5,56,0.0,0.0,0.0,0.125,0.0,4-core,Influenza_B,0.030357142857142857
6,56,0.03571428571428571,0.0,0.08928571428571429,0.21428571428571427,1.1764705882352942,4-core,Influenza_B,0.030357142857142857
7,56,0.05357142857142857,0.0,0.125,0.26785714285714285,1.7647058823529411,4-core,Influenza_B,0.030357142857142857
8,56,0.03571428571428571,0.0,0.08928571428571429,0.4642857142857143,1.1764705882352942,4-core,Influenza_B,0.030357142857142857
9,57,0.14035087719298245,0.05263157894736842,0.22850877192982416,0.43859649122807015,4.6233230134158925,4-core,Influenza_B,0.030357142857142857
0,133,0.0,0.0,0.0,0.015037593984962405,0.0,4-core,MERS,0.006766917293233083
1,132,0.007575757575757576,0.0,0.030303030303030304,0.022727272727272728,1.1195286195286196,4-core,MERS,0.006766917293233083
2,134,0.0,0.0,0.0,0.014925373134328358,0.0,4-core,MERS,0.006766917293233083
3,132,0.0,0.0,0.0,0.007575757575757576,0.0,4-core,MERS,0.006766917293233083
4,133,0.007518796992481203,0.0,0.022556390977443608,0.022556390977443608,1.1111111111111112,4-core,MERS,0.006766917293233083
5,133,0.0,0.0,0.0,0.045112781954887216,0.0,4-core,MERS,0.006766917293233083
6,133,0.007518796992481203,0.0,0.022556390977443608,0.10526315789473684,1.1111111111111112,4-core,MERS,0.006766917293233083
7,133,0.0,0.0,0.0,0.10526315789473684,0.0,4-core,MERS,0.006766917293233083
8,133,0.045112781954887216,0.015037593984962405,0.08270676691729323,0.12781954887218044,6.666666666666666,4-core,MERS,0.006766917293233083
9,134,0.0,0.0,0.0,0.11940298507462686,0.0,4-core,MERS,0.006766917293233083
0,33,0.18181818181818182,0.06060606060606061,0.3333333333333333,0.24242424242424243,1.144781144781145,4-core,HCV,0.1588235294117647
