pathogen,score,detector,family,n_sequences,n_unique,seq_length,gt_adaptive_size,gt_constrained_size,gt_dms_size,mcc_adaptive,f1_adaptive,precision_adaptive,recall_adaptive,enrichment_adaptive,constrained_fpr,dms_f1,composite_score,n_detected
SARS-CoV-2,E*rare,Wavelet(t=1.0),Wavelet,4982,753,1259,25,154,252,0.0939,0.0889,0.05,0.4,2.518,0.0195,0.1637,0.083,200
SARS-CoV-2,E*rare,Wavelet(t=1.5),Wavelet,4982,753,1259,25,154,252,0.0861,0.0976,0.0612,0.24,3.0833,0.0195,0.1029,0.0917,98
SARS-CoV-2,E*rare,Wavelet(t=2.0),Wavelet,4982,753,1259,25,154,252,0.0942,0.1099,0.0758,0.2,3.8152,0.013,0.0881,0.106,66
SARS-CoV-2,E*rare,KDE(p=75),KDE,4982,753,1259,25,154,252,-0.0559,0.0118,0.0063,0.08,0.3197,0.2013,0.2928,-0.0486,315
SARS-CoV-2,E*rare,KDE(p=80),KDE,4982,753,1259,25,154,252,-0.0427,0.0144,0.0079,0.08,0.3997,0.1169,0.2817,-0.0206,252
SARS-CoV-2,E*rare,KDE(p=85),KDE,4982,753,1259,25,154,252,-0.0439,0.0093,0.0053,0.04,0.2665,0.1169,0.2268,-0.0257,189
SARS-CoV-2,E*rare,SlidingTest(p=0.01),SlidingTest,4982,753,1259,25,154,252,-0.0572,0.0,0.0,0.0,0.0,0.2078,0.2436,-0.0623,175
SARS-CoV-2,E*rare,SlidingTest(p=0.05),SlidingTest,4982,753,1259,25,154,252,-0.071,0.0057,0.0031,0.04,0.155,0.4156,0.2461,-0.119,325
SARS-CoV-2,E*rare,GradPeak(p=0.2),GradPeak,4982,753,1259,25,154,252,0.0329,0.0505,0.027,0.4,1.3574,0.3506,0.2087,-0.0547,371
SARS-CoV-2,E*rare,GradPeak(p=0.5),GradPeak,4982,753,1259,25,154,252,0.068,0.0778,0.0452,0.28,2.2743,0.1234,0.0737,0.0408,155
SARS-CoV-2,E*rare,LocalContrast(z=1.0),LocalContrast,4982,753,1259,25,154,252,0.035,0.0588,0.039,0.12,1.9621,0.0455,0.0669,0.0452,77
SARS-CoV-2,E*rare,LocalContrast(z=1.5),LocalContrast,4982,753,1259,25,154,252,0.0418,0.0526,0.0769,0.04,3.8738,0.0,0.0,0.0526,13
SARS-CoV-2,E*rare,LocalContrast(z=2.0),LocalContrast,4982,753,1259,25,154,252,0.0555,0.0588,0.1111,0.04,5.5956,0.0,0.0,0.0588,9
SARS-CoV-2,E*rare,"CUSUM(d=0.3,h=3.0)",CUSUM,4982,753,1259,25,154,252,0.0633,0.0671,0.0366,0.4,1.8447,0.026,0.1219,0.0593,273
SARS-CoV-2,E*rare,"CUSUM(d=0.5,h=4.0)",CUSUM,4982,753,1259,25,154,252,0.1184,0.1304,0.0896,0.24,4.5099,0.013,0.0564,0.1265,67
SARS-CoV-2,E*rare,"CUSUM(d=0.5,h=5.0)",CUSUM,4982,753,1259,25,154,252,0.0751,0.0941,0.0667,0.16,3.3573,0.013,0.0513,0.0902,60
SARS-CoV-2,E*rare,AdaptiveKnee,AdaptiveKnee,4982,753,1259,25,154,252,0.1155,0.1143,0.2,0.08,10.072,0.0,0.0,0.1143,10
SARS-CoV-2,E*rare,Spectral(z=1.5),Spectral,4982,753,1259,25,154,252,0.0575,0.0769,0.0741,0.08,3.7304,0.0,0.0072,0.0769,27
SARS-CoV-2,E*rare,Spectral(z=2.0),Spectral,4982,753,1259,25,154,252,0.0679,0.0851,0.0909,0.08,4.5782,0.0,0.0073,0.0851,22
SARS-CoV-2,E*rare,Bayes(prior=0.1),Bayes,4982,753,1259,25,154,252,0.0634,0.0816,0.0833,0.08,4.1967,0.0195,0.0,0.0758,24
SARS-CoV-2,E*rare,Bayes(prior=0.15),Bayes,4982,753,1259,25,154,252,0.0541,0.0741,0.069,0.08,3.4731,0.0195,0.0071,0.0682,29
SARS-CoV-2,E*rare,Ensemble(v>=2),Ensemble,4982,753,1259,25,154,252,0.0758,0.0909,0.1053,0.08,5.3011,0.0195,0.0,0.0851,19
SARS-CoV-2,E*rare,Ensemble(v>=3),Ensemble,4982,753,1259,25,154,252,0.1098,0.0714,0.3333,0.04,16.7867,0.0,0.0,0.0714,3
SARS-CoV-2,E*rare,AdaptWin(s=90),AdaptWin,4982,753,1259,25,154,252,-0.0463,0.0241,0.0126,0.28,0.634,0.4351,0.2673,-0.1064,556
SARS-CoV-2,E*rare,AdaptWin(s=85),AdaptWin,4982,753,1259,25,154,252,-0.0302,0.0302,0.0157,0.4,0.7906,0.5584,0.2835,-0.1373,637
SARS-CoV-2,E*rare,FreqThresh(p=80),FreqThresh,4982,753,1259,25,154,252,-0.0445,0.014,0.0077,0.08,0.3874,0.2597,0.2188,-0.0639,260
SARS-CoV-2,E*rare,FreqThresh(p=85),FreqThresh,4982,753,1259,25,154,252,-0.0253,0.0196,0.0112,0.08,0.5627,0.1753,0.1763,-0.033,179
SARS-CoV-2,E*rare,FreqThresh(p=90),FreqThresh,4982,753,1259,25,154,252,-0.0045,0.0292,0.0179,0.08,0.8993,0.1494,0.0604,-0.0156,112
SARS-CoV-2,E*rare,FreqThresh(p=95),FreqThresh,4982,753,1259,25,154,252,0.0758,0.0909,0.1053,0.08,5.3011,0.0195,0.0,0.0851,19
SARS-CoV-2,E*rare,"SWAN(w=10,k=1.0)",SWAN,4982,753,1259,25,154,252,0.0673,0.0882,0.0698,0.12,3.5135,0.0065,0.0475,0.0863,43
SARS-CoV-2,E*rare,"SWAN(w=10,k=1.5)",SWAN,4982,753,1259,25,154,252,0.0123,0.0345,0.0303,0.04,1.5261,0.0,0.0421,0.0345,33
SARS-CoV-2,E*rare,"SWAN(w=10,k=2.0)",SWAN,4982,753,1259,25,154,252,0.0291,0.0455,0.0526,0.04,2.6505,0.0,0.0369,0.0455,19
SARS-CoV-2,E*rare,"SWAN(w=20,k=1.0)",SWAN,4982,753,1259,25,154,252,0.0151,0.0364,0.0333,0.04,1.6787,0.0,0.0426,0.0364,30
SARS-CoV-2,P*E*rare,Wavelet(t=1.0),Wavelet,4982,753,1259,25,154,252,0.0146,0.0417,0.0282,0.08,1.4186,0.0,0.1115,0.0417,71
SARS-CoV-2,P*E*rare,Wavelet(t=1.5),Wavelet,4982,753,1259,25,154,252,-0.0004,0.0263,0.0196,0.04,0.9875,0.0,0.1056,0.0263,51
SARS-CoV-2,P*E*rare,Wavelet(t=2.0),Wavelet,4982,753,1259,25,154,252,0.002,0.0278,0.0213,0.04,1.0715,0.0,0.1003,0.0278,47
SARS-CoV-2,P*E*rare,KDE(p=75),KDE,4982,753,1259,25,154,252,-0.0034,0.0353,0.019,0.24,0.9592,0.1039,0.2222,0.0041,315
SARS-CoV-2,P*E*rare,KDE(p=80),KDE,4982,753,1259,25,154,252,0.0142,0.0433,0.0238,0.24,1.199,0.0065,0.2341,0.0414,252
SARS-CoV-2,P*E*rare,KDE(p=85),KDE,4982,753,1259,25,154,252,0.0358,0.0561,0.0317,0.24,1.5987,0.0065,0.2268,0.0541,189
SARS-CoV-2,P*E*rare,GradPeak(p=0.2),GradPeak,4982,753,1259,25,154,252,0.0347,0.0488,0.0625,0.04,3.1475,0.0,0.0149,0.0488,16
SARS-CoV-2,P*E*rare,GradPeak(p=0.5),GradPeak,4982,753,1259,25,154,252,0.0446,0.0541,0.0833,0.04,4.1967,0.0,0.0152,0.0541,12
SARS-CoV-2,P*E*rare,LocalContrast(z=1.0),LocalContrast,4982,753,1259,25,154,252,0.0076,0.0367,0.0238,0.08,1.199,0.0584,0.1012,0.0192,84
SARS-CoV-2,P*E*rare,LocalContrast(z=1.5),LocalContrast,4982,753,1259,25,154,252,0.0275,0.0444,0.05,0.04,2.518,0.0,0.0,0.0444,20
SARS-CoV-2,P*E*rare,LocalContrast(z=2.0),LocalContrast,4982,753,1259,25,154,252,0.0555,0.0588,0.1111,0.04,5.5956,0.0,0.0,0.0588,9
SARS-CoV-2,P*E*rare,"CUSUM(d=0.3,h=3.0)",CUSUM,4982,753,1259,25,154,252,0.0224,0.0488,0.0306,0.12,1.5416,0.0,0.1143,0.0488,98
SARS-CoV-2,P*E*rare,"CUSUM(d=0.5,h=4.0)",CUSUM,4982,753,1259,25,154,252,0.0223,0.0476,0.0339,0.08,1.7071,0.0,0.1029,0.0476,59
SARS-CoV-2,P*E*rare,"CUSUM(d=0.5,h=5.0)",CUSUM,4982,753,1259,25,154,252,0.0238,0.0488,0.0351,0.08,1.767,0.0,0.0971,0.0488,57
SARS-CoV-2,P*E*rare,AdaptiveKnee,AdaptiveKnee,4982,753,1259,25,154,252,0.1098,0.0714,0.3333,0.04,16.7867,0.0,0.0,0.0714,3
SARS-CoV-2,P*E*rare,Spectral(z=1.5),Spectral,4982,753,1259,25,154,252,0.0815,0.0667,0.2,0.04,10.072,0.0,0.0078,0.0667,5
SARS-CoV-2,P*E*rare,Spectral(z=2.0),Spectral,4982,753,1259,25,154,252,0.0815,0.0667,0.2,0.04,10.072,0.0,0.0078,0.0667,5
SARS-CoV-2,P*E*rare,Bayes(prior=0.1),Bayes,4982,753,1259,25,154,252,0.0634,0.0816,0.0833,0.08,4.1967,0.0195,0.0,0.0758,24
SARS-CoV-2,P*E*rare,Bayes(prior=0.15),Bayes,4982,753,1259,25,154,252,0.0634,0.0816,0.0833,0.08,4.1967,0.0195,0.0,0.0758,24
SARS-CoV-2,P*E*rare,Ensemble(v>=2),Ensemble,4982,753,1259,25,154,252,0.0758,0.0909,0.1053,0.08,5.3011,0.0195,0.0,0.0851,19
SARS-CoV-2,P*E*rare,AdaptWin(s=90),AdaptWin,4982,753,1259,25,154,252,-0.0665,0.0156,0.0082,0.16,0.4128,0.3831,0.2622,-0.0993,488
SARS-CoV-2,P*E*rare,AdaptWin(s=85),AdaptWin,4982,753,1259,25,154,252,-0.0472,0.0239,0.0125,0.28,0.6295,0.4805,0.2783,-0.1202,560
SARS-CoV-2,P*E*rare,FreqThresh(p=80),FreqThresh,4982,753,1259,25,154,252,-0.0445,0.014,0.0077,0.08,0.3874,0.2597,0.2188,-0.0639,260
SARS-CoV-2,P*E*rare,FreqThresh(p=85),FreqThresh,4982,753,1259,25,154,252,-0.0267,0.0191,0.0109,0.08,0.5474,0.1753,0.1743,-0.0335,184
SARS-CoV-2,P*E*rare,FreqThresh(p=90),FreqThresh,4982,753,1259,25,154,252,-0.0063,0.0282,0.0171,0.08,0.8609,0.1494,0.0596,-0.0166,117
SARS-CoV-2,P*E*rare,FreqThresh(p=95),FreqThresh,4982,753,1259,25,154,252,0.0758,0.0909,0.1053,0.08,5.3011,0.0195,0.0,0.0851,19
SARS-CoV-2,P*E*rare,"SWAN(w=10,k=1.0)",SWAN,4982,753,1259,25,154,252,0.0291,0.0455,0.0526,0.04,2.6505,0.0,0.0369,0.0455,19
SARS-CoV-2,P*E*rare,"SWAN(w=10,k=1.5)",SWAN,4982,753,1259,25,154,252,0.0291,0.0455,0.0526,0.04,2.6505,0.0,0.0369,0.0455,19
SARS-CoV-2,P*E*rare,"SWAN(w=10,k=2.0)",SWAN,4982,753,1259,25,154,252,0.0291,0.0455,0.0526,0.04,2.6505,0.0,0.0369,0.0455,19
SARS-CoV-2,P*E*rare,"SWAN(w=20,k=1.0)",SWAN,4982,753,1259,25,154,252,0.0074,0.0312,0.0256,0.04,1.2913,0.0,0.0893,0.0312,39
SARS-CoV-2,P*E*rare,"SWAN(w=20,k=1.5)",SWAN,4982,753,1259,25,154,252,0.0074,0.0312,0.0256,0.04,1.2913,0.0,0.0893,0.0312,39
SARS-CoV-2,minority_E,Wavelet(t=1.0),Wavelet,4982,753,1259,25,154,252,-0.0149,0.0331,0.0174,0.36,0.875,0.2987,0.2545,-0.0565,518
SARS-CoV-2,minority_E,Wavelet(t=1.5),Wavelet,4982,753,1259,25,154,252,-0.0307,0.0178,0.01,0.08,0.5036,0.0519,0.1549,0.0022,200
SARS-CoV-2,minority_E,Wavelet(t=2.0),Wavelet,4982,753,1259,25,154,252,-0.0332,0.0,0.0,0.0,0.0,0.0,0.0379,0.0,65
SARS-CoV-2,minority_E,KDE(p=75),KDE,4982,753,1259,25,154,252,-0.0822,0.0,0.0,0.0,0.0,0.4026,0.2257,-0.1208,315
SARS-CoV-2,minority_E,KDE(p=80),KDE,4982,753,1259,25,154,252,-0.0712,0.0,0.0,0.0,0.0,0.1948,0.2421,-0.0584,252
SARS-CoV-2,minority_E,KDE(p=85),KDE,4982,753,1259,25,154,252,-0.0598,0.0,0.0,0.0,0.0,0.1169,0.1995,-0.0351,189
SARS-CoV-2,minority_E,SlidingTest(p=0.01),SlidingTest,4982,753,1259,25,154,252,-0.0901,0.0,0.0,0.0,0.0,0.513,0.2549,-0.1539,360
SARS-CoV-2,minority_E,SlidingTest(p=0.05),SlidingTest,4982,753,1259,25,154,252,-0.1025,0.0,0.0,0.0,0.0,0.5455,0.2698,-0.1636,430
SARS-CoV-2,minority_E,GradPeak(p=0.2),GradPeak,4982,753,1259,25,154,252,0.0373,0.0474,0.0246,0.68,1.2372,0.474,0.2839,-0.0948,692
SARS-CoV-2,minority_E,GradPeak(p=0.5),GradPeak,4982,753,1259,25,154,252,-0.0022,0.0366,0.0194,0.32,0.9779,0.2403,0.1898,-0.0355,412
SARS-CoV-2,minority_E,LocalContrast(z=1.0),LocalContrast,4982,753,1259,25,154,252,-0.0082,0.0326,0.0177,0.2,0.8929,0.2338,0.1798,-0.0376,282
SARS-CoV-2,minority_E,LocalContrast(z=1.5),LocalContrast,4982,753,1259,25,154,252,0.0679,0.0851,0.0909,0.08,4.5782,0.026,0.0,0.0773,22
SARS-CoV-2,minority_E,"CUSUM(d=0.3,h=3.0)",CUSUM,4982,753,1259,25,154,252,0.0277,0.0413,0.0211,0.96,1.0639,0.8961,0.3458,-0.2275,1136
SARS-CoV-2,minority_E,"CUSUM(d=0.5,h=4.0)",CUSUM,4982,753,1259,25,154,252,0.052,0.0564,0.0298,0.52,1.5016,0.0974,0.2529,0.0272,436
SARS-CoV-2,minority_E,"CUSUM(d=0.5,h=5.0)",CUSUM,4982,753,1259,25,154,252,0.0358,0.0528,0.0285,0.36,1.4343,0.0325,0.2218,0.043,316
SARS-CoV-2,minority_E,AdaptiveKnee,AdaptiveKnee,4982,753,1259,25,154,252,0.019,0.0396,0.0202,1.0,1.0178,1.0,0.3358,-0.2604,1237
SARS-CoV-2,minority_E,ScoreDBSCAN(ep=8),ScoreDBSCAN,4982,753,1259,25,154,252,0.0,0.0389,0.0199,1.0,1.0,1.0,0.3336,-0.2611,1259
SARS-CoV-2,minority_E,ScoreDBSCAN(ep=15),ScoreDBSCAN,4982,753,1259,25,154,252,0.0,0.0389,0.0199,1.0,1.0,1.0,0.3336,-0.2611,1259
SARS-CoV-2,minority_E,Spectral(z=1.5),Spectral,4982,753,1259,25,154,252,0.0082,0.0317,0.0263,0.04,1.3253,0.0195,0.0276,0.0259,38
SARS-CoV-2,minority_E,Spectral(z=2.0),Spectral,4982,753,1259,25,154,252,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
SARS-CoV-2,minority_E,Bayes(prior=0.1),Bayes,4982,753,1259,25,154,252,-0.0688,0.0099,0.0053,0.08,0.2651,0.4221,0.2468,-0.1167,380
SARS-CoV-2,minority_E,Bayes(prior=0.15),Bayes,4982,753,1259,25,154,252,-0.082,0.0113,0.0059,0.12,0.298,0.5584,0.2477,-0.1563,507
SARS-CoV-2,minority_E,Ensemble(v>=2),Ensemble,4982,753,1259,25,154,252,-0.0468,0.0135,0.0074,0.08,0.3717,0.2338,0.1989,-0.0566,271
SARS-CoV-2,minority_E,Ensemble(v>=3),Ensemble,4982,753,1259,25,154,252,-0.0051,0.0235,0.0167,0.04,0.8393,0.0519,0.0513,0.0079,60
SARS-CoV-2,minority_E,AdaptWin(s=90),AdaptWin,4982,753,1259,25,154,252,-0.0649,0.0248,0.0128,0.4,0.644,0.7078,0.2785,-0.1876,782
SARS-CoV-2,minority_E,AdaptWin(s=85),AdaptWin,4982,753,1259,25,154,252,-0.0961,0.0231,0.0119,0.44,0.5969,0.9545,0.2983,-0.2633,928
SARS-CoV-2,minority_E,FreqThresh(p=80),FreqThresh,4982,753,1259,25,154,252,-0.0682,0.01,0.0053,0.08,0.2672,0.4221,0.248,-0.1167,377
SARS-CoV-2,minority_E,FreqThresh(p=85),FreqThresh,4982,753,1259,25,154,252,-0.0468,0.0135,0.0074,0.08,0.3717,0.2338,0.1989,-0.0566,271
SARS-CoV-2,minority_E,FreqThresh(p=90),FreqThresh,4982,753,1259,25,154,252,-0.0468,0.0135,0.0074,0.08,0.3717,0.2338,0.1989,-0.0566,271
SARS-CoV-2,minority_E,FreqThresh(p=95),FreqThresh,4982,753,1259,25,154,252,-0.0051,0.0235,0.0167,0.04,0.8393,0.0519,0.0513,0.0079,60
SARS-CoV-2,minority_E,"SWAN(w=10,k=1.0)",SWAN,4982,753,1259,25,154,252,-0.0134,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,11
SARS-CoV-2,minority_E,MutClust-Orig(g=10),MutClust-Orig,4982,753,1259,25,154,252,0.0,0.0389,0.0199,1.0,1.0,1.0,0.3336,-0.2611,1259
SARS-CoV-2,P*minority_E,Wavelet(t=1.0),Wavelet,4982,753,1259,25,154,252,-0.0276,0.03,0.0157,0.36,0.7882,0.7078,0.237,-0.1823,575
SARS-CoV-2,P*minority_E,Wavelet(t=1.5),Wavelet,4982,753,1259,25,154,252,0.0255,0.0496,0.0276,0.24,1.3924,0.4026,0.162,-0.0712,217
SARS-CoV-2,P*minority_E,Wavelet(t=2.0),Wavelet,4982,753,1259,25,154,252,-0.0051,0.0235,0.0167,0.04,0.8393,0.0519,0.0385,0.0079,60
SARS-CoV-2,P*minority_E,KDE(p=75),KDE,4982,753,1259,25,154,252,-0.0691,0.0059,0.0032,0.04,0.1599,0.6429,0.1446,-0.187,315
SARS-CoV-2,P*minority_E,KDE(p=80),KDE,4982,753,1259,25,154,252,-0.057,0.0072,0.004,0.04,0.1998,0.4675,0.1071,-0.133,252
SARS-CoV-2,P*minority_E,KDE(p=85),KDE,4982,753,1259,25,154,252,-0.0439,0.0093,0.0053,0.04,0.2665,0.2338,0.0635,-0.0608,189
SARS-CoV-2,P*minority_E,GradPeak(p=0.2),GradPeak,4982,753,1259,25,154,252,0.0627,0.0616,0.0327,0.52,1.6491,0.4351,0.2404,-0.0689,397
