target,pathogen_label,source_type,is_labeled,n_positions,top10pct_count,score_mean_full_sample_sign,score_std_full_sample_sign,score_min_full_sample_sign,score_max_full_sample_sign,score_constant_full_sample_sign,ground_truth_available,mean_freq,std_freq,mean_entropy,std_entropy,variable_pos_frac,inside_labeled_envelope
Dengue,Dengue,feature_matrix,1,490,49,6.887914275225461e-17,0.9952833217921733,-0.797461539093163,3.2838966769499995,0,1,0.10767936819767837,0.13975509404657876,0.3912823468137615,0.47554479651172,0.746938775510204,
EV-A71,EV-A71,feature_matrix,1,261,27,0.0,0.9894617276784409,-0.33446962887172177,9.531062350934072,0,1,0.010359081752920473,0.03931237039026783,0.06096688115997821,0.15085225699053348,0.6245210727969349,
H3N2,H3N2,feature_matrix,1,543,55,-7.851300947625416e-17,0.9904214167493179,-1.8432064828553698,6.108460927074724,0,1,0.10587673216992013,0.06904446977014567,0.501866464692032,0.23347406320789366,0.992633517495396,
HCV,HCV,feature_matrix,1,340,34,8.359326303060002e-17,0.9931622108094326,-0.6310871405590892,4.405568899349376,0,1,0.09363926293408925,0.16082021267333074,0.39958239255615213,0.5484041743786425,1.0,
HIV-1,HIV-1,feature_matrix,1,450,45,0.0,0.9927158637484536,-1.7665684034502172,1.4755594621453354,0,1,0.41014770558459873,0.24112168571406034,1.685531566015785,0.9219572630603377,0.9888888888888889,
Influenza_B,Influenza_B,feature_matrix,1,560,56,0.0,0.986318445206079,-0.5169613719553453,10.644147886431469,0,1,0.01521748507003328,0.04264418211110881,0.10237813133394907,0.15141304494189023,0.9982142857142857,
MERS,MERS,feature_matrix,1,1330,133,7.746518547760491e-17,0.9955782799104618,-1.9406401448938624,15.585220070079805,0,1,0.014193825967160479,0.00857254043686172,0.11514919774230031,0.05177363949673134,0.9894736842105263,
Norovirus,Norovirus,feature_matrix,1,536,54,2.6512788647764932e-17,0.9886722846195438,-0.36532443251714,6.527319884035183,0,1,0.02704025762180216,0.08268319811661773,0.115394586759779,0.28638690701647473,0.6007462686567164,
RSV,RSV,feature_matrix,1,550,55,-5.1675835328007286e-17,0.9971896308929138,-0.3822447914420768,4.081900410164423,0,1,0.04812294980794938,0.13538388535864074,0.1322813876175581,0.32395011903686155,0.8163636363636364,
Rabies,Rabies,feature_matrix,1,491,50,-2.894267762770265e-17,0.9920002855325383,-0.4890846499158752,5.306607321008212,0,1,0.04832575463926076,0.10971388439377626,0.21120885713581106,0.39353099350916393,0.8513238289205702,
