pathogen,scoring,detector,family,mcc,precision,recall,f1,n_detected
SARS-CoV-2,freq,Wavelet(t=1.0),Wavelet,-0.009179,0.016,0.08,0.026667,125
SARS-CoV-2,freq,Wavelet(t=1.5),Wavelet,-0.014118,0.012346,0.04,0.018868,81
SARS-CoV-2,freq,Wavelet(t=2.0),Wavelet,0.000208,0.02,0.04,0.026667,50
SARS-CoV-2,freq,KDE(p=75),KDE,0.075518,0.038095,0.48,0.070588,315
SARS-CoV-2,freq,KDE(p=80),KDE,0.056861,0.035714,0.36,0.064982,252
SARS-CoV-2,freq,KDE(p=85),KDE,-0.012002,0.015873,0.12,0.028037,189
SARS-CoV-2,freq,SlidingTest(p=0.01),SlidingTest,0.025918,0.047619,0.04,0.043478,21
SARS-CoV-2,freq,SlidingTest(p=0.05),SlidingTest,0.025918,0.047619,0.04,0.043478,21
SARS-CoV-2,freq,GradPeak(p=0.2),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,freq,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,freq,LocalContrast(z=1.0),LocalContrast,0.032972,0.043478,0.08,0.056338,46
SARS-CoV-2,freq,LocalContrast(z=1.5),LocalContrast,0.033932,0.044444,0.08,0.057143,45
SARS-CoV-2,freq,LocalContrast(z=2.0),LocalContrast,0.008943,0.027027,0.04,0.032258,37
SARS-CoV-2,freq,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,AdaptiveKnee,AdaptiveKnee,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.07282,0.166667,0.04,0.064516,6
SARS-CoV-2,freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.032678,0.058824,0.04,0.047619,17
SARS-CoV-2,freq,Spectral(z=1.5),Spectral,0.047815,0.090909,0.04,0.055556,11
SARS-CoV-2,freq,Spectral(z=2.0),Spectral,0.055503,0.111111,0.04,0.058824,9
SARS-CoV-2,freq,Bayes(prior=0.1),Bayes,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,freq,Bayes(prior=0.15),Bayes,0.031124,0.041667,0.08,0.054795,48
SARS-CoV-2,freq,AdaptWin(s=90),AdaptWin,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,freq,AdaptWin(s=85),AdaptWin,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,freq,FreqThresh(p=80),FreqThresh,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,freq,FreqThresh(p=85),FreqThresh,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,freq,FreqThresh(p=90),FreqThresh,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,freq,FreqThresh(p=95),FreqThresh,-0.006956,0.0,0.0,0.0,3
SARS-CoV-2,freq,"SWAN(w=10,k=1.0)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"SWAN(w=10,k=1.5)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"SWAN(w=10,k=2.0)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"SWAN(w=20,k=1.0)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"SWAN(w=20,k=1.5)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,freq,"SWAN(w=20,k=2.0)",SWAN,-0.004013,0.0,0.0,0.0,1
