target,n_positions,n_layer_a_prime,prevalence,pearson_freq_layer_a_prime,pearson_entropy_layer_a_prime,sign_freq_other9,sign_entropy_other9,mcc_top10_other9_signed_2core
lassa_gpc,491,10,0.020366598778004074,-0.049881542455685705,-0.05946770274173203,-1,-1,0.0468026240616597
measles_virus_h,620,90,0.14516129032258066,-0.06823238826140603,-0.06491449185127458,-1,-1,-0.13736056394868904
mumps_virus_hn,582,14,0.024054982817869417,-0.026949840549494307,-0.03436312688330714,-1,-1,-0.0527308790589915
hcov-229e_spike,1173,157,0.13384484228473997,-0.06774351535792913,-0.06982343271679045,-1,-1,-0.13146730070622137
hcov-nl63_spike,1356,157,0.11578171091445427,-0.049758341456670206,-0.05523768169350762,-1,-1,-0.12081748013625335
yfv_e,499,14,0.028056112224448898,-0.03576068467267888,-0.03574906283161786,-1,-1,-0.05669633426109881
wnv_e,501,14,0.027944111776447105,-0.04265840640857321,-0.04802909347752904,-1,-1,-0.05707926450723766
japanese_encephalitis_virus_e,506,14,0.02766798418972332,-0.008025143434876912,0.007601384080284588,-1,-1,0.06359437348843675
tick-borne_encephalitis_virus_e,496,14,0.028225806451612902,-0.03969736838463023,-0.04726881600668131,-1,-1,-0.05706345609666355
eastern_equine_encephalitis_virus_e2,420,10,0.023809523809523808,-0.06369643736454747,-0.06613348748168252,-1,-1,-0.052057920629535355
