pathogen,surface_protein,reference_accession,taxon_id,query_string,length_filter_nt,exclusion_clauses,query_date,total_hits,unique_after_dedup,mafft_mode
SARS-CoV-2,Spike,NC_045512.2,2697049,"(\"Severe acute respiratory syndrome coronavirus 2\"[Organism] OR txid2697049[Organism]) AND spike[Gene Name] AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",3500-4000,"partial[Title] OR laboratory[Title]",2024-12-09,4982,753,FFT-NS-2
H3N2,HA,CY045572,119210,"(\"Influenza A virus\"[Organism] AND H3N2[All Fields]) AND hemagglutinin[Gene Name] AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1650-1800,"partial[Title] OR laboratory[Title]",2024-12-09,2644,2562,FFT-NS-2
Norovirus,VP1,KC576909,142786,"(\"Norovirus GII\"[Organism] OR txid142786[Organism]) AND (VP1[Gene Name] OR \"capsid protein\"[Protein Name]) AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1500-1700,"partial[Title] OR laboratory[Title]",2024-11-22,1500,791,FFT-NS-2
HIV-1,Env gp120,K03455,11676,"(\"Human immunodeficiency virus 1\"[Organism] OR txid11676[Organism]) AND (env[Gene Name] OR gp120[Protein Name]) AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1300-1500,"partial[Title] OR laboratory[Title]",2024-11-22,3000,2256,FFT-NS-2
Dengue,E protein,NC_001474.2,11060,"(\"Dengue virus 2\"[Organism] OR txid11060[Organism]) AND (E[Gene Name] OR \"envelope protein\"[Protein Name]) AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1450-1550,"partial[Title] OR laboratory[Title]",2024-11-25,2000,796,FFT-NS-2
RSV,F protein,KT992094,11250,"(\"Human respiratory syncytial virus A\"[Organism] OR txid11250[Organism]) AND (F[Gene Name] OR \"fusion glycoprotein\"[Protein Name]) AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1650-1800,"partial[Title] OR laboratory[Title]",2024-12-09,5070,4779,FFT-NS-2
Influenza B,HA,CY018765,11520,"(\"Influenza B virus\"[Organism] OR txid11520[Organism]) AND hemagglutinin[Gene Name] AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1650-1800,"partial[Title] OR laboratory[Title]",2024-12-09,5325,5019,FFT-NS-2
MERS,Spike,NC_019843.3,1335626,"(\"Middle East respiratory syndrome-related coronavirus\"[Organism] OR txid1335626[Organism]) AND spike[Gene Name] AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",3900-4100,"partial[Title] OR laboratory[Title]",2024-11-22,1311,530,FFT-NS-2
HCV,E2,NC_004102.1,11103,"(\"Hepacivirus C\"[Organism] OR txid11103[Organism]) AND (E2[Gene Name] OR \"envelope glycoprotein E2\"[Protein Name]) AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1000-1200,"partial[Title] OR laboratory[Title]",2024-11-22,1362,1067,FFT-NS-2
Rabies,G protein,NC_001542.1,11292,"(\"Rabies lyssavirus\"[Organism] OR txid11292[Organism]) AND (G[Gene Name] OR \"glycoprotein\"[Protein Name]) AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",1450-1600,"partial[Title] OR laboratory[Title]",2024-11-25,2038,2038,FFT-NS-2
EV-A71,VP1,AB204852,39054,"(\"Enterovirus A71\"[Organism] OR txid39054[Organism]) AND VP1[Gene Name] AND \"complete cds\"[Properties] NOT (partial[Title] OR laboratory[Title])",780-900,"partial[Title] OR laboratory[Title]",2024-11-25,662,662,L-INS-i
