target,uniprot_acc,length,chain_label,chain_start,chain_end,n_features_in_chain,n_layer_a_relevant,feature_breakdown,classification
yfv_e,P03314,3411,Envelope protein E,286,778,63,3,"Beta strand=31, Chain=2, Disulfide bond=6, Helix=6, Natural variant=8, Region=1, Site=2, Topological domain=2, Transmembrane=2, Turn=3",B
lassa_gpc,P08669,491,,,,81,10,"Beta strand=16, Binding site=7, Chain=4, Disulfide bond=6, Glycosylation=11, Helix=16, Initiator methionine=1, Lipidation=1, Mutagenesis=4, Site=3, Topological domain=4, Transmembrane=2, Turn=6",A
wnv_e,P06935,3430,Envelope protein E,291,787,25,3,"Beta strand=10, Chain=2, Disulfide bond=6, Region=1, Site=2, Topological domain=2, Transmembrane=2",B
japanese_encephalitis_virus_e,P27395,3432,Envelope protein E,295,794,59,3,"Beta strand=30, Chain=2, Cross-link=2, Disulfide bond=6, Glycosylation=1, Helix=8, Region=1, Site=2, Topological domain=2, Transmembrane=2, Turn=3",B
tick-borne_encephalitis_virus_e,P14336,3414,Envelope protein E,281,776,66,3,"Beta strand=35, Chain=2, Disulfide bond=6, Glycosylation=1, Helix=9, Mutagenesis=3, Region=1, Site=2, Topological domain=2, Transmembrane=2, Turn=3",B
marburg_virus_gp,P35253,681,,,,48,5,"Chain=3, Compositional bias=5, Disulfide bond=5, Glycosylation=21, Lipidation=2, Mutagenesis=2, Natural variant=1, Region=4, Signal=1, Site=1, Topological domain=2, Transmembrane=1",A
hendra_virus_g,O89343,604,,,,59,0,"Beta strand=34, Chain=1, Glycosylation=7, Helix=8, Topological domain=2, Transmembrane=1, Turn=6",C
nipah_virus_g,Q9IH62,602,,,,87,2,"Beta strand=36, Chain=1, Disulfide bond=10, Glycosylation=7, Helix=10, Natural variant=11, Region=2, Topological domain=2, Transmembrane=1, Turn=7",B
measles_virus_h,P08362,617,,,,75,14,"Beta strand=34, Chain=1, Disulfide bond=7, Glycosylation=5, Helix=5, Mutagenesis=2, Region=2, Site=12, Topological domain=2, Transmembrane=1, Turn=4",A
mumps_virus_hn,P30924,861,,,,6,5,"Active site=2, Binding site=2, Chain=1, Site=1",A
chikungunya_virus_e2,Q8JUX5,1248,Envelope protein E2,,,83,26,"Active site=3, Chain=6, Compositional bias=5, Disulfide bond=19, Domain=1, Glycosylation=5, Helix=1, Lipidation=5, Motif=2, Mutagenesis=2, Region=15, Sequence conflict=2, Site=6, Topological domain=6, Transmembrane=4, Turn=1",A
eastern_equine_encephalitis_virus_e2,P08768,1239,Envelope protein E2,,,188,27,"Active site=3, Beta strand=70, Chain=6, Compositional bias=2, Disulfide bond=17, Domain=1, Glycosylation=5, Helix=16, Lipidation=4, Modified residue=2, Motif=2, Mutagenesis=2, Natural variant=21, Region=11, Site=11, Topological domain=6, Transmembrane=4, Turn=5",A
venezuelan_equine_encephalitis_virus_e2,P05674,1254,Envelope protein E2,,,172,24,"Active site=3, Beta strand=85, Chain=6, Compositional bias=2, Disulfide bond=8, Domain=1, Glycosylation=4, Helix=18, Lipidation=3, Modified residue=4, Motif=2, Region=7, Site=12, Topological domain=6, Transmembrane=4, Turn=7",A
western_equine_encephalitis_virus_e2,P13897,1236,Envelope protein E2,,,161,22,"Active site=3, Beta strand=74, Chain=6, Compositional bias=1, Disulfide bond=16, Domain=1, Glycosylation=6, Helix=11, Lipidation=3, Modified residue=2, Motif=2, Region=11, Sequence conflict=4, Site=6, Topological domain=5, Transmembrane=4, Turn=6",A
hcov-229e_spike,P15423,1173,,,,139,8,"Beta strand=54, Chain=1, Coiled coil=2, Helix=18, Motif=1, Natural variant=44, Region=7, Signal=1, Topological domain=2, Transmembrane=1, Turn=8",A
hcov-nl63_spike,Q6Q1S2,1356,,,,203,8,"Beta strand=69, Chain=1, Coiled coil=2, Disulfide bond=15, Glycosylation=32, Helix=28, Motif=1, Natural variant=35, Region=7, Signal=1, Topological domain=2, Transmembrane=1, Turn=9",A
