combo,mean_mcc,ci_lower,ci_upper,ci_width,z0,acceleration,n_pathogens
"E_only + SWAN(w=10,k=1.5)",0.0345,0.0,0.1036,0.1036,-0.4138,0.1375,9
"H-score + SWAN(w=10,k=1.5)",0.0294,0.0,0.0883,0.0883,-0.374,0.1375,9
"P*minority_E + SWAN(w=50,k=1.0)",0.0229,0.0,0.0688,0.0688,-0.3864,0.1375,9
"E_only + SWAN(w=20,k=1.0)",0.0157,0.0,0.047,0.047,-0.4051,0.1375,9
"P*E + SWAN(w=10,k=2.0)",0.015,0.0,0.045,0.045,-0.3856,0.1375,9
P*E + Wavelet(t=1.5),0.1244,0.047,0.2022,0.1552,-0.0153,0.0053,9
H-score + Wavelet(t=1.5),0.1189,0.0297,0.2411,0.2114,0.0419,0.0338,9
"P*E + SWAN(w=20,k=1.0)",0.0129,0.0,0.0387,0.0387,-0.3937,0.1375,9
P*minority_E + Wavelet(t=1.5),0.1149,0.0513,0.1845,0.1332,0.0008,0.0103,9
"P*minority_E + SWAN(w=10,k=2.0)",0.0127,0.0,0.038,0.038,-0.3748,0.1375,9
P*E + Wavelet(t=1.0),0.1103,0.0409,0.1967,0.1558,0.0231,0.0236,9
E_only + Wavelet(t=1.5),0.109,0.0391,0.2009,0.1618,0.0389,0.0289,9
P*E^2 + AdaptWin(s=90),0.1059,0.0437,0.1868,0.1431,0.0155,0.0302,9
"P*minority_E + SWAN(w=10,k=1.5)",0.0234,-0.0067,0.1037,0.1104,-0.1241,0.1334,9
"P*minority_E + SWAN(w=10,k=1.0)",0.057,0.016,0.1182,0.1022,0.0313,0.0503,9
P*E^2 + Wavelet(t=1.0),0.0998,0.0306,0.1777,0.1471,0.0351,0.0068,9
P*minority_E + AdaptiveKnee,0.0994,0.0439,0.2037,0.1598,0.0836,0.0729,9
"P*E + SWAN(w=10,k=1.5)",0.0219,-0.0017,0.0901,0.0918,-0.1224,0.1371,9
P*E^2 + Wavelet(t=1.5),0.0978,0.0408,0.1467,0.1059,-0.0135,-0.0182,9
"P*minority_E + SWAN(w=20,k=1.0)",0.0324,-0.0017,0.1096,0.1113,0.0343,0.1105,9
