pathogen,n_positions,n_layer_a_pos,layer_a_prev,sign_freq,sign_entropy,mcc_top10,mcc_window10,precision_at_20,tp_at_20,tp_at_50,tp_at_80,enrichment_top10,top_bottom_decile_delta,spearman_decile_rho,callability_d1_pass,callability_like_notes,historical_4core_mcc_top10,delta_2core_minus_4core,historical_4core_source
SARS-CoV-2,1259,25,0.019857029388403495,1,1,0.04739066884256888,0.4241482299595896,0.05,1,2,5,1.9984126984126982,-0.007809523809523808,-0.531509589558614,0,D1 2/11 training pathogens pass; quorum=7/11,0.04739066884256888,0.0,recomputed in Wave 4
H3N2,543,25,0.04604051565377532,1,1,0.10100065263293784,0.596665231228128,0.15,3,6,6,2.3694545454545453,0.09292929292929292,0.018819969800246025,0,D1 2/11 training pathogens pass; quorum=7/11,0.07187513251627016,0.029125520116667677,recomputed in Wave 4
Norovirus,536,15,0.027985074626865673,1,1,0.28144431327384084,0.7650421654176844,0.15,3,8,10,5.955555555555555,0.16981132075471697,0.5579242433157581,0,D1 2/11 training pathogens pass; quorum=7/11,0.3566083152244032,-0.07516400195056239,recomputed in Wave 4
HIV-1,450,23,0.051111111111111114,1,1,0.09081647771175144,0.8290268785379954,0.05,1,6,9,2.1739130434782608,0.1111111111111111,0.8334762598987157,0,D1 2/11 training pathogens pass; quorum=7/11,-0.010090719745750161,0.1009071974575016,recomputed in Wave 4
Dengue,490,24,0.04897959183673469,1,1,0.018911736861805844,0.6800456152533814,0.1,2,3,7,1.25,0.04081632653061225,0.37043389328831805,0,D1 2/11 training pathogens pass; quorum=7/11,0.018911736861805844,0.0,recomputed in Wave 4
RSV,550,20,0.03636363636363636,1,1,-0.06475239082381762,0.07432241108125312,0.0,0,0,1,0.0,-0.16363636363636364,-0.5321681029763117,0,D1 2/11 training pathogens pass; quorum=7/11,-0.06475239082381762,0.0,recomputed in Wave 4
Influenza_B,560,17,0.030357142857142857,1,1,0.18387819815639672,0.6204804056998207,0.2,4,5,8,4.11764705882353,0.10714285714285715,0.828986331140832,0,D1 2/11 training pathogens pass; quorum=7/11,0.21857219780854706,-0.03469399965215034,recomputed in Wave 4
MERS,1330,9,0.006766917293233083,1,1,0.003057074917215283,0.30933228713809885,0.0,0,0,1,1.1111111111111112,0.0,0.16162704595880897,0,D1 2/11 training pathogens pass; quorum=7/11,-0.027513674254937545,0.030570749172152828,recomputed in Wave 4
HCV,340,54,0.1588235294117647,1,1,0.3647856596866466,0.8062775189910552,0.45,9,22,28,3.5185185185185186,0.23529411764705882,0.5015501596686753,0,D1 2/11 training pathogens pass; quorum=7/11,0.15020585987097215,0.21457979981567446,recomputed in Wave 4
Zika,452,27,0.059734513274336286,1,1,-0.02308864363138913,0.40182703414419985,0.05,1,2,2,0.7278582930756843,0.022705314009661838,0.38158362203593144,0,D1 2/11 training pathogens pass; quorum=7/11,-0.02308864363138913,0.0,recomputed in Wave 4
Rabies,491,39,0.07942973523421588,1,1,-0.04909864869034983,0.1086846974208793,0.05,1,2,3,0.5035897435897436,-0.09918367346938778,-0.7301163117764201,0,D1 3/11 training pathogens pass; quorum=7/11,-0.04909864869034983,0.0,recomputed in Wave 4
EV-A71,261,27,0.10344827586206896,1,1,-0.03276353276353276,0.32408801219356614,0.05,1,5,9,0.7160493827160493,-0.03418803418803418,0.29109003770288283,0,D1 2/11 training pathogens pass; quorum=7/11,0.04985754985754986,-0.08262108262108261,recomputed in Wave 4
