pathogen,family,null_type,method,p_one_sided_primary,observed,observed_percentile,significant_at_0.05
Dengue,P1,iid,3-core,0.02375,0.113470421170835,99.368,True
Dengue,P1,iid,4-core,0.00553,0.1449899826071781,99.902,True
Dengue,P1,circular_shift,3-core,0.03095,0.113470421170835,99.186,True
Dengue,P1,circular_shift,4-core,0.02268,0.1449899826071781,99.366,True
Dengue,P1,protein_block_shuffle,3-core,0.10387,0.113470421170835,96.444,False
Dengue,P1,protein_block_shuffle,4-core,0.07132,0.1449899826071781,97.733,False
Dengue,P1,local_burden_preserving,3-core,0.17457,0.113470421170835,93.005,False
Dengue,P1,local_burden_preserving,4-core,0.07627,0.1449899826071781,97.425,False
Dengue,P6,sasa_strat,3-core,0.0228297717022829,0.113470421170835,99.47,True
Dengue,P6,sasa_strat,4-core,0.0069399306006939,0.1449899826071781,99.863,True
Dengue,P6,plddt_strat,3-core,0.0695193048069519,0.113470421170835,97.857,False
Dengue,P6,plddt_strat,4-core,0.0419495805041949,0.1449899826071781,98.753,True
Dengue,P6,sasa_freq_joint,3-core,0.0419295807041929,0.113470421170835,99.101,True
Dengue,P6,sasa_freq_joint,4-core,0.0107798922010779,0.1449899826071781,99.816,True
Dengue,P6,plddt_ent_joint,3-core,0.1038689613103868,0.113470421170835,96.994,False
Dengue,P6,plddt_ent_joint,4-core,0.0336496635033649,0.1449899826071781,99.411,True
EV-A71,P1,iid,3-core,0.2984,0.0498575498575498,87.043,False
EV-A71,P1,iid,4-core,0.29875,0.0498575498575498,87.064,False
EV-A71,P1,circular_shift,3-core,0.31728,0.0498575498575498,81.759,False
EV-A71,P1,circular_shift,4-core,0.31683,0.0498575498575498,84.45,False
EV-A71,P1,protein_block_shuffle,3-core,0.06681,0.0498575498575498,98.711,False
EV-A71,P1,protein_block_shuffle,4-core,0.08642,0.0498575498575498,98.086,False
EV-A71,P1,local_burden_preserving,3-core,0.46847,0.0498575498575498,76.524,False
EV-A71,P1,local_burden_preserving,4-core,0.45219,0.0498575498575498,77.737,False
EV-A71,P6,sasa_strat,3-core,0.3256167438325617,0.0498575498575498,85.733,False
EV-A71,P6,sasa_strat,4-core,0.3286567134328657,0.0498575498575498,85.44699999999999,False
EV-A71,P6,plddt_strat,3-core,0.5723842761572384,0.0498575498575498,66.278,False
EV-A71,P6,plddt_strat,4-core,0.4784652153478465,0.0498575498575498,74.36399999999999,False
EV-A71,P6,sasa_freq_joint,3-core,0.4584754152458475,0.0498575498575498,77.23299999999999,False
EV-A71,P6,sasa_freq_joint,4-core,0.4061359386406136,0.0498575498575498,80.944,False
EV-A71,P6,plddt_ent_joint,3-core,0.4910550894491055,0.0498575498575498,74.958,False
EV-A71,P6,plddt_ent_joint,4-core,0.4298657013429866,0.0498575498575498,79.499,False
H3N2,P1,iid,3-core,0.09763,0.0718751325162701,96.747,False
H3N2,P1,iid,4-core,0.00177,0.1592516928662732,99.972,True
H3N2,P1,circular_shift,3-core,0.19578,0.0718751325162701,88.913,False
H3N2,P1,circular_shift,4-core,0.0804,0.1592516928662732,95.167,False
H3N2,P1,protein_block_shuffle,3-core,0.70933,0.0718751325162701,51.08200000000001,False
H3N2,P1,protein_block_shuffle,4-core,0.3687,0.1592516928662732,80.271,False
H3N2,P1,local_burden_preserving,3-core,0.81725,0.0718751325162701,35.358000000000004,False
H3N2,P1,local_burden_preserving,4-core,0.24578,0.1592516928662732,88.18599999999999,False
H3N2,P6,sasa_strat,3-core,0.0498495015049849,0.0718751325162701,98.689,True
