pathogen,method,combo,mcc,f1,precision,recall,enrichment
SARS-CoV-2,Ours (best),rank(P*E)+ScoreDBSCAN(ep=8),0.2653923855747802,0.22580645161290322,0.6086956521739131,0.13861386138613863,7.587602238484719
SARS-CoV-2,FreqThresh,P*E+FreqThresh(p=90),0.1513619687889329,0.21649484536082472,0.22580645161290322,0.2079207920792079,2.8147556691152986
SARS-CoV-2,MutClust-Orig,E_only+MutClust-Orig(g=10),0.15394477382526683,0.18515123739688358,0.10202020202020202,1.0,1.2717171717171718
SARS-CoV-2,SWAN,"E*rare+SWAN(w=10,k=1.0)",0.10545811704076782,0.1388888888888889,0.23255813953488372,0.09900990099009901,2.89891779875662
H3N2,Ours (best),H-score+KDE(p=85),0.3739069638513725,0.396551724137931,0.2839506172839506,0.6571428571428571,4.380952380952381
H3N2,FreqThresh,P*minority_E+FreqThresh(p=90),0.1679179346207624,0.1923076923076923,0.29411764705882354,0.14285714285714285,4.537815126050421
H3N2,MutClust-Orig,P*minority_E+MutClust-Orig(g=10),0.10325988922137513,0.13916500994035785,0.07478632478632478,1.0,1.153846153846154
H3N2,SWAN,"E*rare+SWAN(w=10,k=1.5)",0.0,0.0,0.0,0.0,0.0
Norovirus,Ours (best),minority_E+KDE(p=85),0.7067684505193735,0.725925925925926,0.6049382716049383,0.9074074074074074,6.004572473708277
Norovirus,FreqThresh,P*minority_E+FreqThresh(p=90),0.5387683057890724,0.5617977528089888,0.7142857142857143,0.46296296296296297,7.08994708994709
Norovirus,MutClust-Orig,P*minority_E+MutClust-Orig(g=10),0.3497452368453956,0.37860082304526743,0.24338624338624337,0.8518518518518519,2.4158338232412304
Norovirus,SWAN,"E_only+SWAN(w=10,k=1.5)",0.6668319862566654,0.6813186813186813,0.8378378378378378,0.5740740740740741,8.316316316316316
HIV-1,Ours (best),rank(P*E)+SlidingTest(p=0.05),0.35754288560000935,0.4097859327217125,0.25769230769230766,1.0,1.7307692307692308
HIV-1,FreqThresh,E*rare+FreqThresh(p=90),0.24896382865716976,0.347107438016529,0.3888888888888889,0.31343283582089554,2.611940298507463
HIV-1,MutClust-Orig,P*E*rare+MutClust-Orig(g=10),0.22212735919034604,0.32057416267942584,0.1908831908831909,1.0,1.2820512820512822
HIV-1,SWAN,"E*rare+SWAN(w=10,k=1.0)",0.19468890217439722,0.3216783216783216,0.3026315789473684,0.34328358208955223,2.032600157109191
Dengue,Ours (best),P*E*rare+AdaptWin(s=90),0.2716463397852154,0.35593220338983045,0.3181818181818182,0.40384615384615385,2.9982517482517483
Dengue,FreqThresh,P*E^2+FreqThresh(p=80),0.22272109148724345,0.3170731707317073,0.23214285714285715,0.5,2.1875
Dengue,MutClust-Orig,P*minority_E+MutClust-Orig(g=10),0.10686736045985225,0.20841683366733466,0.116331096196868,1.0,1.0961968680089484
Dengue,SWAN,"H-score+SWAN(w=10,k=1.0)",0.37204053101062845,0.2903225806451613,0.9,0.17307692307692307,8.480769230769232
RSV,Ours (best),"E_only+CUSUM(d=0.3,h=3.0)",0.27706346168873097,0.42599277978339345,0.3333333333333333,0.59,1.8866666666666665
RSV,FreqThresh,minority_E+FreqThresh(p=80),0.1611893966892961,0.3418181818181818,0.26857142857142857,0.47,1.5201142857142858
RSV,MutClust-Orig,rank(P*E)+MutClust-Orig(g=10),0.027585603365577284,0.30120481927710846,0.1773049645390071,1.0,1.00354609929078
RSV,SWAN,"P*E^2+SWAN(w=10,k=1.5)",0.11784967318611672,0.16923076923076924,0.36666666666666664,0.11,2.075333333333333
Influenza_B,Ours (best),E_only+Wavelet(t=1.5),0.5886356628792724,0.5962732919254659,0.44036697247706424,0.9230769230769231,4.742413549753
Influenza_B,FreqThresh,minority_E+FreqThresh(p=85),0.2843320882902694,0.3561643835616438,0.2765957446808511,0.5,2.978723404255319
Influenza_B,MutClust-Orig,E*rare+MutClust-Orig(g=10),0.20733768480530826,0.25882352941176473,0.3333333333333333,0.21153846153846154,3.5897435897435894
Influenza_B,SWAN,"minority_E+SWAN(w=20,k=1.0)",0.21171611761366105,0.29457364341085274,0.24675324675324675,0.36538461538461536,2.657342657342657
MERS,Ours (best),H-score+KDE(p=75),0.3128134274689921,0.3534675615212528,0.23723723723723725,0.6929824561403509,2.7677677677677677
MERS,FreqThresh,minority_E+FreqThresh(p=80),0.16430500801347842,0.24813895781637713,0.17301038062283736,0.43859649122807015,2.0184544405997693
MERS,MutClust-Orig,E*rare+MutClust-Orig(g=10),0.07042331133262134,0.17821782178217824,0.1018867924528302,0.7105263157894737,1.1886792452830188
MERS,SWAN,"P*E*rare+SWAN(w=10,k=1.0)",0.06802624764789282,0.13333333333333333,0.16049382716049382,0.11403508771929824,1.8724279835390945
HCV,Ours (best),H-score+Wavelet(t=1.5),0.360367279425559,0.4583333333333333,0.673469387755102,0.3473684210526316,2.4103114930182596
HCV,FreqThresh,P*E^2+FreqThresh(p=85),0.2902751132480055,0.39716312056737585,0.6086956521739131,0.29473684210526313,2.1784897025171626
HCV,MutClust-Orig,E*rare+MutClust-Orig(g=10),0.0,0.4367816091954023,0.27941176470588236,1.0,1.0
HCV,SWAN,"E*rare+SWAN(w=10,k=1.5)",0.0,0.0,0.0,0.0,0.0
