pathogen,scoring,detector,family,mcc_layer_a,mcc_layer_c,f1_layer_a,f1_layer_c,n_detected,n_gt_a,n_gt_c
H3N2,freq,Wavelet(t=1.0),Wavelet,0.071724,-0.109318,0.124031,0.111111,104,25,112
H3N2,freq,Wavelet(t=1.5),Wavelet,0.013624,-0.095708,0.075,0.05988,55,25,112
H3N2,freq,Wavelet(t=2.0),Wavelet,-0.040678,-0.01812,0.0,0.046154,18,25,112
H3N2,freq,KDE(p=75),KDE,0.380043,-0.074075,0.310559,0.169355,136,25,112
H3N2,freq,KDE(p=80),KDE,0.438366,-0.039572,0.373134,0.171946,109,25,112
H3N2,freq,KDE(p=85),KDE,0.520893,-0.011611,0.46729,0.164948,82,25,112
H3N2,freq,SlidingTest(p=0.01),SlidingTest,0.320868,0.023102,0.342105,0.147239,51,25,112
H3N2,freq,SlidingTest(p=0.05),SlidingTest,0.302775,0.002002,0.309278,0.163043,72,25,112
H3N2,freq,GradPeak(p=0.2),GradPeak,-0.013357,0.04414,0.0,0.017544,2,25,112
H3N2,freq,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0,25,112
H3N2,freq,LocalContrast(z=1.0),LocalContrast,0.065743,-0.031506,0.117647,0.090323,43,25,112
H3N2,freq,LocalContrast(z=1.5),LocalContrast,0.05446,-0.053468,0.103448,0.055172,33,25,112
H3N2,freq,LocalContrast(z=2.0),LocalContrast,0.030599,-0.032854,0.076923,0.057554,27,25,112
H3N2,freq,"CUSUM(d=0.3,h=3.0)",CUSUM,0.111886,-0.013236,0.142857,0.046512,17,25,112
H3N2,freq,"CUSUM(d=0.5,h=4.0)",CUSUM,0.093161,0.023621,0.111111,0.04878,11,25,112
H3N2,freq,"CUSUM(d=0.5,h=5.0)",CUSUM,0.109138,0.076421,0.117647,0.066116,9,25,112
H3N2,freq,AdaptiveKnee,AdaptiveKnee,0.112388,-0.004928,0.16,0.123457,50,25,112
H3N2,freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.063402,0.08677,0.075789,0.355872,450,25,112
H3N2,freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.052745,0.022471,0.079681,0.339559,477,25,112
H3N2,freq,Spectral(z=1.5),Spectral,0.118056,-0.026076,0.163934,0.081081,36,25,112
H3N2,freq,Spectral(z=2.0),Spectral,0.071024,-0.011915,0.115385,0.071942,27,25,112
H3N2,freq,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,freq,Bayes(prior=0.15),Bayes,0.109138,0.040771,0.117647,0.049587,9,25,112
H3N2,freq,AdaptWin(s=90),AdaptWin,0.104015,0.055457,0.110092,0.344168,411,25,112
H3N2,freq,AdaptWin(s=85),AdaptWin,0.068898,0.014162,0.098969,0.335664,460,25,112
H3N2,freq,FreqThresh(p=80),FreqThresh,0.022623,-0.094369,0.090226,0.127273,108,25,112
H3N2,freq,FreqThresh(p=85),FreqThresh,0.05601,-0.072914,0.113208,0.11399,81,25,112
H3N2,freq,FreqThresh(p=90),FreqThresh,0.103179,-0.01731,0.151899,0.120482,54,25,112
H3N2,freq,FreqThresh(p=95),FreqThresh,0.071024,0.029962,0.115385,0.100719,27,25,112
H3N2,freq,"SWAN(w=10,k=1.0)",SWAN,0.114826,-0.033467,0.162162,0.099379,49,25,112
H3N2,freq,"SWAN(w=10,k=1.5)",SWAN,0.111962,0.002891,0.15873,0.106667,38,25,112
H3N2,freq,"SWAN(w=10,k=2.0)",SWAN,0.128022,0.022734,0.172414,0.110345,33,25,112
H3N2,freq,"SWAN(w=20,k=1.0)",SWAN,0.112388,-0.02067,0.16,0.111111,50,25,112
H3N2,freq,"SWAN(w=20,k=1.5)",SWAN,0.133758,0.005742,0.179104,0.116883,42,25,112
H3N2,freq,"SWAN(w=20,k=2.0)",SWAN,0.18719,0.025205,0.226415,0.1,28,25,112
H3N2,freq,"SWAN(w=50,k=1.0)",SWAN,0.119885,-0.011238,0.166667,0.113208,47,25,112
H3N2,freq,"SWAN(w=50,k=1.5)",SWAN,0.119885,-0.011238,0.166667,0.113208,47,25,112
H3N2,freq,"SWAN(w=50,k=2.0)",SWAN,0.164803,0.022734,0.206897,0.110345,33,25,112
H3N2,freq,MutClust-Orig(g=10),MutClust-Orig,0.118887,-0.028596,0.11236,0.315789,420,25,112
H3N2,entropy,Wavelet(t=1.0),Wavelet,-0.070458,-0.144452,0.018182,0.060914,85,25,112
H3N2,entropy,Wavelet(t=1.5),Wavelet,-0.079589,-0.127831,0.0,0.045714,63,25,112
H3N2,entropy,Wavelet(t=2.0),Wavelet,-0.065235,-0.101335,0.0,0.038462,44,25,112
H3N2,entropy,KDE(p=75),KDE,0.380043,-0.06357,0.310559,0.177419,136,25,112
H3N2,entropy,KDE(p=80),KDE,0.438366,-0.050935,0.373134,0.162896,109,25,112
H3N2,entropy,KDE(p=85),KDE,0.520893,-0.024323,0.46729,0.154639,82,25,112
H3N2,entropy,SlidingTest(p=0.01),SlidingTest,0.31267,0.031717,0.333333,0.157576,53,25,112
H3N2,entropy,SlidingTest(p=0.05),SlidingTest,0.265734,0.015727,0.27027,0.191919,86,25,112
H3N2,entropy,GradPeak(p=0.2),GradPeak,0.123823,0.025163,0.15,0.062992,15,25,112
H3N2,entropy,GradPeak(p=0.5),GradPeak,-0.018925,0.009312,0.0,0.017241,4,25,112
H3N2,entropy,LocalContrast(z=1.0),LocalContrast,0.075796,-0.014291,0.128205,0.121212,53,25,112
H3N2,entropy,LocalContrast(z=1.5),LocalContrast,0.075026,-0.053663,0.125,0.066225,39,25,112
H3N2,entropy,LocalContrast(z=2.0),LocalContrast,0.033046,-0.02905,0.078431,0.057971,26,25,112
H3N2,entropy,"CUSUM(d=0.3,h=3.0)",CUSUM,0.106577,-0.01812,0.139535,0.046154,18,25,112
H3N2,entropy,"CUSUM(d=0.5,h=4.0)",CUSUM,0.165984,0.065585,0.171429,0.065574,10,25,112
H3N2,entropy,"CUSUM(d=0.5,h=5.0)",CUSUM,0.052794,0.062788,0.0625,0.05042,7,25,112
H3N2,entropy,AdaptiveKnee,AdaptiveKnee,0.101001,-0.020281,0.15,0.11976,55,25,112
H3N2,entropy,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.031242,0.06309,0.080357,0.347664,423,25,112
H3N2,entropy,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.054598,0.037034,0.078189,0.342059,461,25,112
H3N2,entropy,Spectral(z=1.5),Spectral,0.077818,-0.042157,0.12987,0.097561,52,25,112
H3N2,entropy,Spectral(z=2.0),Spectral,0.056968,-0.011603,0.105263,0.083333,32,25,112
H3N2,entropy,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,entropy,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,entropy,AdaptWin(s=90),AdaptWin,0.104015,0.055457,0.110092,0.344168,411,25,112
H3N2,entropy,AdaptWin(s=85),AdaptWin,0.068898,0.014162,0.098969,0.335664,460,25,112
H3N2,entropy,FreqThresh(p=80),FreqThresh,0.044637,-0.082967,0.105263,0.136364,108,25,112
H3N2,entropy,FreqThresh(p=85),FreqThresh,0.05601,-0.060138,0.113208,0.124352,81,25,112
H3N2,entropy,FreqThresh(p=90),FreqThresh,0.103179,-0.01731,0.151899,0.120482,54,25,112
H3N2,entropy,FreqThresh(p=95),FreqThresh,0.071024,0.009023,0.115385,0.086331,27,25,112
H3N2,entropy,"SWAN(w=10,k=1.0)",SWAN,0.121396,-0.051681,0.164948,0.119565,72,25,112
